"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"115
Polk","138",".30%","95.17%","7",".25%","4.83%","145",".30%"
"116
Pulaski","96",".21%","91.43%","9",".32%","8.57%","105",".22%"
"117
Putnam","130",".28%","94.20%","8",".28%","5.80%","138",".28%"
"118
Quitman","11",".02%","100.00%","","","","11",".02%"
"119
Rabun","63",".14%","92.65%","5",".18%","7.35%","68",".14%"
"120
Randolph","69",".15%","95.83%","3",".11%","4.17%","72",".15%"
"121
Richmond","1,818","3.98%","94.20%","112","3.95%","5.80%","1,930","3.98%"
"122
Rockdale","386",".85%","95.07%","20",".71%","4.93%","406",".84%"
"123
Schley","25",".05%","92.59%","2",".07%","7.41%","27",".06%"
"124
Screven","126",".28%","93.33%","9",".32%","6.67%","135",".28%"
"125
Seminole","75",".16%","91.46%","7",".25%","8.54%","82",".17%"
"126
Spalding","579","1.27%","92.64%","46","1.62%","7.36%","625","1.29%"
"127
Stephens","163",".36%","93.68%","11",".39%","6.32%","174",".36%"
"128
Stewart","37",".08%","94.87%","2",".07%","5.13%","39",".08%"
"129
Sumter","236",".52%","95.16%","12",".42%","4.84%","248",".51%"
"130
Talbot","45",".10%","93.75%","3",".11%","6.25%","48",".10%"
"131
Taliaferro","12",".03%","92.31%","1",".04%","7.69%","13",".03%"
"132
Tattnall","160",".35%","95.24%","8",".28%","4.76%","168",".35%"
"133
Taylor","75",".16%","96.15%","3",".11%","3.85%","78",".16%"
"134
Telfair","133",".29%","91.10%","13",".46%","8.90%","146",".30%"
"135
Terrell","77",".17%","96.25%","3",".11%","3.75%","80",".17%"
"136
Thomas","316",".69%","96.64%","11",".39%","3.36%","327",".67%"
"137
Tift","322",".71%","95.27%","16",".56%","4.73%","338",".70%"
"138
Toombs","281",".62%","92.43%","23",".81%","7.57%","304",".63%"
"139
Towns","25",".05%","96.15%","1",".04%","3.85%","26",".05%"
"140
Treutlen","49",".11%","90.74%","5",".18%","9.26%","54",".11%"
"141
Troup","587","1.29%","94.07%","37","1.31%","5.93%","624","1.29%"
"142
Turner","77",".17%","95.06%","4",".14%","4.94%","81",".17%"
"143
Twiggs","43",".09%","93.48%","3",".11%","6.52%","46",".09%"
"144
Union","44",".10%","89.80%","5",".18%","10.20%","49",".10%"
"145
Upson","201",".44%","95.71%","9",".32%","4.29%","210",".43%"
"146
Walker","345",".76%","89.84%","39","1.38%","10.16%","384",".79%"
"147
Walton","313",".69%","96.31%","12",".42%","3.69%","325",".67%"
"148
Ware","352",".77%","94.37%","21",".74%","5.63%","373",".77%"
"149
Warren","44",".10%","95.65%","2",".07%","4.35%","46",".09%"
"150
Washington","118",".26%","95.93%","5",".18%","4.07%","123",".25%"
"151
Wayne","159",".35%","92.98%","12",".42%","7.02%","171",".35%"
"152
Webster","12",".03%","92.31%","1",".04%","7.69%","13",".03%"
