"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","191",".41%","95.50%","9",".27%","4.50%","200",".40%"
"001
Appling County","108",".23%","95.58%","5",".15%","4.42%","113",".22%"
"002
Atkinson County","45",".10%","88.24%","6",".18%","11.76%","51",".10%"
"003
Bacon County","77",".16%","95.06%","4",".12%","4.94%","81",".16%"
"004
Baker County","13",".03%","81.25%","3",".09%","18.75%","16",".03%"
"005
Baldwin County","286",".61%","92.26%","24",".71%","7.74%","310",".61%"
"006
Banks County","65",".14%","91.55%","6",".18%","8.45%","71",".14%"
"007
Barrow County","312",".66%","89.66%","36","1.06%","10.34%","348",".69%"
"008
Bartow County","574","1.22%","87.77%","80","2.36%","12.23%","654","1.30%"
"009
Ben Hill County","225",".48%","94.94%","12",".35%","5.06%","237",".47%"
"010
Berrien County","96",".20%","96.97%","3",".09%","3.03%","99",".20%"
"011
Bibb County","1,059","2.25%","95.06%","55","1.62%","4.94%","1,114","2.21%"
"012
Bleckley County","56",".12%","88.89%","7",".21%","11.11%","63",".12%"
"013
Brantley County","85",".18%","87.63%","12",".35%","12.37%","97",".19%"
"014
Brooks County","46",".10%","97.87%","1",".03%","2.13%","47",".09%"
"015
Bryan County","41",".09%","97.62%","1",".03%","2.38%","42",".08%"
"016
Bulloch County","487","1.03%","93.65%","33",".97%","6.35%","520","1.03%"
"017
Burke County","215",".46%","94.30%","13",".38%","5.70%","228",".45%"
"018
Butts County","123",".26%","92.48%","10",".30%","7.52%","133",".26%"
"019
Calhoun County","23",".05%","85.19%","4",".12%","14.81%","27",".05%"
"020
Camden County","173",".37%","93.01%","13",".38%","6.99%","186",".37%"
"021
Candler County","102",".22%","91.89%","9",".27%","8.11%","111",".22%"
"022
Carroll County","550","1.17%","91.21%","53","1.56%","8.79%","603","1.20%"
"023
Catoosa County","320",".68%","91.17%","31",".91%","8.83%","351",".70%"
"024
Charlton County","63",".13%","87.50%","9",".27%","12.50%","72",".14%"
"025
Chatham County","1,776","3.77%","96.10%","72","2.12%","3.90%","1,848","3.66%"
"026
Chattahoochee County","19",".04%","100.00%","","","","19",".04%"
"027
Chattooga County","218",".46%","90.46%","23",".68%","9.54%","241",".48%"
"028
Cherokee County","535","1.14%","90.52%","56","1.65%","9.48%","591","1.17%"
"029
Clarke County","506","1.08%","92.50%","41","1.21%","7.50%","547","1.08%"
"030
Clay County","20",".04%","83.33%","4",".12%","16.67%","24",".05%"
"031
Clayton County","1,263","2.68%","92.80%","98","2.89%","7.20%","1,361","2.70%"
"032
Clinch County","42",".09%","89.36%","5",".15%","10.64%","47",".09%"
"033
Cobb County","2,374","5.04%","92.77%","185","5.46%","7.23%","2,559","5.07%"
"034
Coffee County","218",".46%","93.56%","15",".44%","6.44%","233",".46%"
"035
Colquitt County","215",".46%","95.98%","9",".27%","4.02%","224",".44%"
"036
Columbia County","388",".82%","90.44%","41","1.21%","9.56%","429",".85%"
"037
Cook County","112",".24%","92.56%","9",".27%","7.44%","121",".24%"
