"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Webster County","15",".03%","100.00%","","","","15",".03%"
"Wheeler County","31",".06%","81.58%","7",".18%","18.42%","38",".07%"
"White County","96",".20%","94.12%","6",".16%","5.88%","102",".20%"
"Whitfield County","807","1.68%","87.34%","117","3.08%","12.66%","924","1.79%"
"Wilcox County","60",".13%","92.31%","5",".13%","7.69%","65",".13%"
"Wilkes County","68",".14%","97.14%","2",".05%","2.86%","70",".14%"
"Wilkinson County","36",".08%","97.30%","1",".03%","2.70%","37",".07%"
"Worth County","116",".24%","92.06%","10",".26%","7.94%","126",".24%"
"Total Rported","47,901","100%","92.64%","3,803","100%","7.36%","51,704","100%"
