"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","5",".01%","100.00%","","","","5",".01%"
"153
Wheeler County","21",".05%","80.77%","5",".15%","19.23%","26",".05%"
"154
White County","80",".18%","94.12%","5",".15%","5.88%","85",".17%"
"155
Whitfield County","819","1.80%","88.54%","106","3.15%","11.46%","925","1.90%"
"156
Wilcox County","61",".13%","89.71%","7",".21%","10.29%","68",".14%"
"157
Wilkes County","67",".15%","97.10%","2",".06%","2.90%","69",".14%"
"158
Wilkinson County","39",".09%","95.12%","2",".06%","4.88%","41",".08%"
"159
Worth County","125",".28%","92.59%","10",".30%","7.41%","135",".28%"
"Total Rported","45,419","100%","93.1%","3,366","100%","6.9%","48,785","100%"
