"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","202",".39%","93.52%","14",".35%","6.48%","216",".39%"
"001
Appling County","117",".23%","95.12%","6",".15%","4.88%","123",".22%"
"002
Atkinson County","59",".11%","89.39%","7",".17%","10.61%","66",".12%"
"003
Bacon County","89",".17%","90.82%","9",".22%","9.18%","98",".18%"
"004
Baker County","11",".02%","84.62%","2",".05%","15.38%","13",".02%"
"005
Baldwin County","316",".62%","92.67%","25",".62%","7.33%","341",".62%"
"006
Banks County","75",".15%","92.59%","6",".15%","7.41%","81",".15%"
"007
Barrow County","360",".70%","92.07%","31",".77%","7.93%","391",".71%"
"008
Bartow County","636","1.24%","86.65%","98","2.44%","13.35%","734","1.32%"
"009
Ben Hill County","247",".48%","93.92%","16",".40%","6.08%","263",".47%"
"010
Berrien County","90",".18%","96.77%","3",".07%","3.23%","93",".17%"
"011
Bibb County","1,168","2.27%","94.27%","71","1.76%","5.73%","1,239","2.24%"
"012
Bleckley County","68",".13%","93.15%","5",".12%","6.85%","73",".13%"
"013
Brantley County","89",".17%","83.18%","18",".45%","16.82%","107",".19%"
"014
Brooks County","53",".10%","98.15%","1",".02%","1.85%","54",".10%"
"015
Bryan County","57",".11%","95.00%","3",".07%","5.00%","60",".11%"
"016
Bulloch County","534","1.04%","92.87%","41","1.02%","7.13%","575","1.04%"
"017
Burke County","242",".47%","97.19%","7",".17%","2.81%","249",".45%"
"018
Butts County","121",".24%","92.37%","10",".25%","7.63%","131",".24%"
"019
Calhoun County","30",".06%","88.24%","4",".10%","11.76%","34",".06%"
"020
Camden County","204",".40%","92.31%","17",".42%","7.69%","221",".40%"
"021
Candler County","111",".22%","92.50%","9",".22%","7.50%","120",".22%"
"022
Carroll County","632","1.23%","91.73%","57","1.42%","8.27%","689","1.24%"
"023
Catoosa County","369",".72%","90.00%","41","1.02%","10.00%","410",".74%"
"024
Charlton County","71",".14%","92.21%","6",".15%","7.79%","77",".14%"
"025
Chatham County","1,919","3.74%","94.67%","108","2.68%","5.33%","2,027","3.66%"
"026
Chattahoochee County","24",".05%","100.00%","","","","24",".04%"
"027
Chattooga County","240",".47%","87.59%","34",".84%","12.41%","274",".49%"
"028
Cherokee County","579","1.13%","90.75%","59","1.47%","9.25%","638","1.15%"
"029
Clarke County","573","1.12%","92.87%","44","1.09%","7.13%","617","1.11%"
"030
Clay County","24",".05%","85.71%","4",".10%","14.29%","28",".05%"
"031
Clayton County","1,398","2.72%","93.39%","99","2.46%","6.61%","1,497","2.70%"
"032
Clinch County","46",".09%","90.20%","5",".12%","9.80%","51",".09%"
"033
Cobb County","2,580","5.02%","92.18%","219","5.44%","7.82%","2,799","5.05%"
"034
Coffee County","227",".44%","94.19%","14",".35%","5.81%","241",".44%"
"035
Colquitt County","225",".44%","96.15%","9",".22%","3.85%","234",".42%"
"036
Columbia County","429",".84%","90.70%","44","1.09%","9.30%","473",".85%"
"037
Cook County","117",".23%","92.86%","9",".22%","7.14%","126",".23%"
