"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","512","1.03%","93.09%","38","1.07%","6.91%","550","1.03%"
"Crawford County","23",".05%","95.83%","1",".03%","4.17%","24",".05%"
"Crisp County","266",".53%","95.68%","12",".34%","4.32%","278",".52%"
"Dade County","92",".18%","92.00%","8",".23%","8.00%","100",".19%"
"Dawson County","99",".20%","91.67%","9",".25%","8.33%","108",".20%"
"Decatur County","259",".52%","92.83%","20",".56%","7.17%","279",".52%"
"Dekalb County","2,993","6.01%","94.60%","171","4.83%","5.40%","3,164","5.94%"
"Dodge County","132",".27%","93.62%","9",".25%","6.38%","141",".26%"
"Dooly County","85",".17%","94.44%","5",".14%","5.56%","90",".17%"
"Dougherty County","934","1.88%","93.03%","70","1.98%","6.97%","1,004","1.88%"
"Douglas County","1,130","2.27%","90.91%","113","3.19%","9.09%","1,243","2.33%"
"Early County","89",".18%","95.70%","4",".11%","4.30%","93",".17%"
"Echols County","10",".02%","90.91%","1",".03%","9.09%","11",".02%"
"Effingham County","176",".35%","93.62%","12",".34%","6.38%","188",".35%"
"Elbert County","121",".24%","92.37%","10",".28%","7.63%","131",".25%"
"Emanuel County","159",".32%","92.98%","12",".34%","7.02%","171",".32%"
"Evans County","92",".18%","95.83%","4",".11%","4.17%","96",".18%"
"Fannin County","91",".18%","86.67%","14",".40%","13.33%","105",".20%"
"Fayette County","342",".69%","90.48%","36","1.02%","9.52%","378",".71%"
"Floyd County","807","1.62%","89.97%","90","2.54%","10.03%","897","1.68%"
"Forsyth County","356",".72%","91.99%","31",".87%","8.01%","387",".73%"
"Franklin County","131",".26%","92.25%","11",".31%","7.75%","142",".27%"
"Fulton County","4,523","9.09%","96.25%","176","4.97%","3.75%","4,699","8.81%"
"Gilmer County","92",".18%","87.62%","13",".37%","12.38%","105",".20%"
"Glascock County","4",".01%","80.00%","1",".03%","20.00%","5",".01%"
"Glynn County","486",".98%","93.46%","34",".96%","6.54%","520",".98%"
"Gordon County","372",".75%","89.00%","46","1.30%","11.00%","418",".78%"
"Grady County","170",".34%","95.51%","8",".23%","4.49%","178",".33%"
"Greene County","113",".23%","91.13%","11",".31%","8.87%","124",".23%"
"Gwinnett County","2,238","4.50%","93.17%","164","4.63%","6.83%","2,402","4.51%"
"Habersham County","101",".20%","93.52%","7",".20%","6.48%","108",".20%"
"Hall County","678","1.36%","91.99%","59","1.66%","8.01%","737","1.38%"
"Hancock County","36",".07%","92.31%","3",".08%","7.69%","39",".07%"
"Haralson County","164",".33%","93.71%","11",".31%","6.29%","175",".33%"
"Harris County","94",".19%","92.16%","8",".23%","7.84%","102",".19%"
"Hart County","161",".32%","96.41%","6",".17%","3.59%","167",".31%"
"Heard County","48",".10%","90.57%","5",".14%","9.43%","53",".10%"
"Henry County","489",".98%","90.39%","52","1.47%","9.61%","541","1.01%"
