"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","596","1.27%","94.75%","33",".90%","5.25%","629","1.24%"
"039
Crawford County","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"040
Crisp County","377",".80%","92.40%","31",".85%","7.60%","408",".81%"
"041
Dade County","86",".18%","85.15%","15",".41%","14.85%","101",".20%"
"042
Dawson County","132",".28%","89.19%","16",".44%","10.81%","148",".29%"
"043
Decatur County","296",".63%","90.80%","30",".82%","9.20%","326",".64%"
"044
Dekalb County","2,363","5.03%","95.67%","107","2.93%","4.33%","2,470","4.88%"
"045
Dodge County","141",".30%","89.81%","16",".44%","10.19%","157",".31%"
"046
Dooly County","141",".30%","88.68%","18",".49%","11.32%","159",".31%"
"047
Dougherty County","755","1.61%","95.45%","36",".99%","4.55%","791","1.56%"
"048
Douglas County","859","1.83%","90.61%","89","2.44%","9.39%","948","1.87%"
"049
Early County","86",".18%","97.73%","2",".05%","2.27%","88",".17%"
"050
Echols County","10",".02%","76.92%","3",".08%","23.08%","13",".03%"
"051
Effingham County","339",".72%","88.98%","42","1.15%","11.02%","381",".75%"
"052
Elbert County","136",".29%","93.15%","10",".27%","6.85%","146",".29%"
"053
Emanuel County","189",".40%","91.75%","17",".47%","8.25%","206",".41%"
"054
Evans County","76",".16%","92.68%","6",".16%","7.32%","82",".16%"
"055
Fannin County","96",".20%","91.43%","9",".25%","8.57%","105",".21%"
"056
Fayette County","376",".80%","90.38%","40","1.09%","9.62%","416",".82%"
"057
Floyd County","852","1.81%","90.25%","92","2.52%","9.75%","944","1.87%"
"058
Forsyth County","375",".80%","88.65%","48","1.31%","11.35%","423",".84%"
"059
Franklin County","167",".36%","87.43%","24",".66%","12.57%","191",".38%"
"060
Fulton County","4,296","9.15%","96.26%","167","4.57%","3.74%","4,463","8.82%"
"061
Gilmer County","97",".21%","88.99%","12",".33%","11.01%","109",".22%"
"062
Glascock County","15",".03%","100.00%","","","","15",".03%"
"063
Glynn County","533","1.13%","93.51%","37","1.01%","6.49%","570","1.13%"
"064
Gordon County","386",".82%","86.74%","59","1.62%","13.26%","445",".88%"
"065
Grady County","187",".40%","93.50%","13",".36%","6.50%","200",".40%"
"066
Greene County","112",".24%","86.82%","17",".47%","13.18%","129",".25%"
"067
Gwinnett County","2,420","5.15%","93.18%","177","4.85%","6.82%","2,597","5.13%"
"068
Habersham County","131",".28%","88.51%","17",".47%","11.49%","148",".29%"
"069
Hall County","649","1.38%","91.67%","59","1.62%","8.33%","708","1.40%"
"070
Hancock County","43",".09%","95.56%","2",".05%","4.44%","45",".09%"
"071
Haralson County","182",".39%","92.39%","15",".41%","7.61%","197",".39%"
"072
Harris County","92",".20%","95.83%","4",".11%","4.17%","96",".19%"
"073
Hart County","174",".37%","92.55%","14",".38%","7.45%","188",".37%"
"074
Heard County","51",".11%","92.73%","4",".11%","7.27%","55",".11%"
"075
Henry County","734","1.56%","93.03%","55","1.51%","6.97%","789","1.56%"
