"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","37",".08%","92.50%","3",".09%","7.50%","40",".08%"
"115
Polk County","216",".47%","91.53%","20",".57%","8.47%","236",".48%"
"116
Pulaski County","33",".07%","89.19%","4",".11%","10.81%","37",".07%"
"117
Putnam County","151",".33%","95.57%","7",".20%","4.43%","158",".32%"
"118
Quitman County","8",".02%","100.00%","","","","8",".02%"
"119
Rabun County","66",".14%","88.00%","9",".26%","12.00%","75",".15%"
"120
Randolph County","49",".11%","96.08%","2",".06%","3.92%","51",".10%"
"121
Richmond County","1,580","3.44%","93.60%","108","3.07%","6.40%","1,688","3.41%"
"122
Rockdale County","456",".99%","92.12%","39","1.11%","7.88%","495","1.00%"
"123
Schley County","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"124
Screven County","115",".25%","95.83%","5",".14%","4.17%","120",".24%"
"125
Seminole County","67",".15%","89.33%","8",".23%","10.67%","75",".15%"
"126
Spalding County","467","1.02%","90.86%","47","1.34%","9.14%","514","1.04%"
"127
Stephens County","121",".26%","98.37%","2",".06%","1.63%","123",".25%"
"128
Stewart County","24",".05%","88.89%","3",".09%","11.11%","27",".05%"
"129
Sumter County","189",".41%","94.03%","12",".34%","5.97%","201",".41%"
"130
Talbot County","20",".04%","90.91%","2",".06%","9.09%","22",".04%"
"131
Taliaferro County","21",".05%","100.00%","","","","21",".04%"
"132
Tattnall County","184",".40%","85.98%","30",".85%","14.02%","214",".43%"
"133
Taylor County","44",".10%","95.65%","2",".06%","4.35%","46",".09%"
"134
Telfair County","98",".21%","92.45%","8",".23%","7.55%","106",".21%"
"135
Terrell County","62",".13%","95.38%","3",".09%","4.62%","65",".13%"
"136
Thomas County","237",".52%","95.56%","11",".31%","4.44%","248",".50%"
"137
Tift County","306",".67%","95.03%","16",".45%","4.97%","322",".65%"
"138
Toombs County","273",".59%","92.54%","22",".63%","7.46%","295",".60%"
"139
Towns County","65",".14%","78.31%","18",".51%","21.69%","83",".17%"
"140
Treutlen County","66",".14%","91.67%","6",".17%","8.33%","72",".15%"
"141
Troup County","598","1.30%","92.00%","52","1.48%","8.00%","650","1.31%"
"142
Turner County","57",".12%","93.44%","4",".11%","6.56%","61",".12%"
"143
Twiggs County","40",".09%","90.91%","4",".11%","9.09%","44",".09%"
"144
Union County","80",".17%","86.02%","13",".37%","13.98%","93",".19%"
"145
Upson County","182",".40%","91.92%","16",".45%","8.08%","198",".40%"
"146
Walker County","432",".94%","91.14%","42","1.19%","8.86%","474",".96%"
"147
Walton County","618","1.34%","91.83%","55","1.56%","8.17%","673","1.36%"
"148
Ware County","274",".60%","90.13%","30",".85%","9.87%","304",".61%"
"149
Warren County","29",".06%","87.88%","4",".11%","12.12%","33",".07%"
"150
Washington County","180",".39%","92.31%","15",".43%","7.69%","195",".39%"
"151
Wayne County","183",".40%","89.27%","22",".63%","10.73%","205",".41%"
