"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","178",".36%","93.19%","13",".35%","6.81%","191",".35%"
"Appling County","92",".18%","94.85%","5",".13%","5.15%","97",".18%"
"Atkinson County","43",".09%","89.58%","5",".13%","10.42%","48",".09%"
"Bacon County","70",".14%","92.11%","6",".16%","7.89%","76",".14%"
"Baker County","9",".02%","90.00%","1",".03%","10.00%","10",".02%"
"Baldwin County","284",".57%","93.11%","21",".56%","6.89%","305",".57%"
"Banks County","52",".10%","92.86%","4",".11%","7.14%","56",".10%"
"Barrow County","259",".52%","91.20%","25",".67%","8.80%","284",".53%"
"Bartow County","644","1.29%","88.34%","85","2.27%","11.66%","729","1.35%"
"Ben Hill County","246",".49%","92.83%","19",".51%","7.17%","265",".49%"
"Berrien County","93",".19%","95.88%","4",".11%","4.12%","97",".18%"
"Bibb County","1,136","2.27%","94.35%","68","1.81%","5.65%","1,204","2.24%"
"Bleckley County","60",".12%","93.75%","4",".11%","6.25%","64",".12%"
"Brantley County","53",".11%","92.98%","4",".11%","7.02%","57",".11%"
"Brooks County","70",".14%","95.89%","3",".08%","4.11%","73",".14%"
"Bryan County","84",".17%","97.67%","2",".05%","2.33%","86",".16%"
"Bulloch County","550","1.10%","94.34%","33",".88%","5.66%","583","1.08%"
"Burke County","213",".43%","95.95%","9",".24%","4.05%","222",".41%"
"Butts County","108",".22%","94.74%","6",".16%","5.26%","114",".21%"
"Calhoun County","31",".06%","96.88%","1",".03%","3.13%","32",".06%"
"Camden County","192",".38%","96.48%","7",".19%","3.52%","199",".37%"
"Candler County","113",".23%","92.62%","9",".24%","7.38%","122",".23%"
"Carroll County","543","1.08%","90.65%","56","1.49%","9.35%","599","1.11%"
"Catoosa County","345",".69%","89.61%","40","1.07%","10.39%","385",".72%"
"Charlton County","62",".12%","93.94%","4",".11%","6.06%","66",".12%"
"Chatham County","1,986","3.97%","95.99%","83","2.21%","4.01%","2,069","3.84%"
"Chattahoochee County","31",".06%","93.94%","2",".05%","6.06%","33",".06%"
"Chattooga County","258",".52%","86.58%","40","1.07%","13.42%","298",".55%"
"Cherokee County","546","1.09%","89.07%","67","1.79%","10.93%","613","1.14%"
"Clarke County","489",".98%","93.68%","33",".88%","6.32%","522",".97%"
"Clay County","27",".05%","87.10%","4",".11%","12.90%","31",".06%"
"Clayton County","1,477","2.95%","93.78%","98","2.61%","6.22%","1,575","2.93%"
"Clinch County","42",".08%","93.33%","3",".08%","6.67%","45",".08%"
"Cobb County","2,562","5.12%","91.30%","244","6.51%","8.70%","2,806","5.21%"
"Coffee County","248",".50%","92.88%","19",".51%","7.12%","267",".50%"
"Colquitt County","221",".44%","95.67%","10",".27%","4.33%","231",".43%"
"Columbia County","413",".82%","89.98%","46","1.23%","10.02%","459",".85%"
"Cook County","133",".27%","93.66%","9",".24%","6.34%","142",".26%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","575","1.15%","94.42%","34",".91%","5.58%","609","1.13%"
"Crawford County","21",".04%","100.00%","","","","21",".04%"
"Crisp County","283",".57%","94.33%","17",".45%","5.67%","300",".56%"
"Dade County","94",".19%","93.07%","7",".19%","6.93%","101",".19%"
"Dawson County","95",".19%","91.35%","9",".24%","8.65%","104",".19%"
"Decatur County","246",".49%","96.09%","10",".27%","3.91%","256",".48%"
"Dekalb County","3,136","6.26%","95.03%","164","4.37%","4.97%","3,300","6.13%"
"Dodge County","168",".34%","93.33%","12",".32%","6.67%","180",".33%"
"Dooly County","99",".20%","95.19%","5",".13%","4.81%","104",".19%"
"Dougherty County","974","1.95%","94.75%","54","1.44%","5.25%","1,028","1.91%"
"Douglas County","1,120","2.24%","89.67%","129","3.44%","10.33%","1,249","2.32%"
"Early County","96",".19%","93.20%","7",".19%","6.80%","103",".19%"
"Echols County","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
"Effingham County","211",".42%","92.14%","18",".48%","7.86%","229",".43%"
"Elbert County","130",".26%","92.20%","11",".29%","7.80%","141",".26%"
"Emanuel County","175",".35%","94.59%","10",".27%","5.41%","185",".34%"
"Evans County","91",".18%","94.79%","5",".13%","5.21%","96",".18%"
"Fannin County","90",".18%","87.38%","13",".35%","12.62%","103",".19%"
"Fayette County","348",".70%","87.88%","48","1.28%","12.12%","396",".74%"
"Floyd County","913","1.82%","89.69%","105","2.80%","10.31%","1,018","1.89%"
"Forsyth County","376",".75%","89.74%","43","1.15%","10.26%","419",".78%"
"Franklin County","146",".29%","94.19%","9",".24%","5.81%","155",".29%"
"Fulton County","4,925","9.84%","96.04%","203","5.41%","3.96%","5,128","9.53%"
"Gilmer County","99",".20%","95.19%","5",".13%","4.81%","104",".19%"
"Glascock County","7",".01%","87.50%","1",".03%","12.50%","8",".01%"
"Glynn County","542","1.08%","92.65%","43","1.15%","7.35%","585","1.09%"
"Gordon County","386",".77%","88.13%","52","1.39%","11.87%","438",".81%"
"Grady County","157",".31%","94.58%","9",".24%","5.42%","166",".31%"
"Greene County","115",".23%","94.26%","7",".19%","5.74%","122",".23%"
"Gwinnett County","2,407","4.81%","92.54%","194","5.17%","7.46%","2,601","4.83%"
"Habersham County","96",".19%","90.57%","10",".27%","9.43%","106",".20%"
"Hall County","690","1.38%","91.15%","67","1.79%","8.85%","757","1.41%"
"Hancock County","30",".06%","93.75%","2",".05%","6.25%","32",".06%"
