"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","2,458","4.94%","92.27%","206","5.82%","7.73%","2,664","5.00%"
"001
Appling County","95",".19%","90.48%","10",".28%","9.52%","105",".20%"
"002
Atkinson County","53",".11%","92.98%","4",".11%","7.02%","57",".11%"
"003
Bacon County","86",".17%","93.48%","6",".17%","6.52%","92",".17%"
"004
Baker County","10",".02%","83.33%","2",".06%","16.67%","12",".02%"
"005
Baldwin County","289",".58%","92.33%","24",".68%","7.67%","313",".59%"
"006
Banks County","60",".12%","90.91%","6",".17%","9.09%","66",".12%"
"007
Barrow County","268",".54%","92.41%","22",".62%","7.59%","290",".54%"
"008
Bartow County","587","1.18%","86.83%","89","2.52%","13.17%","676","1.27%"
"009
Ben Hill County","243",".49%","94.55%","14",".40%","5.45%","257",".48%"
"010
Berrien County","69",".14%","94.52%","4",".11%","5.48%","73",".14%"
"011
Bibb County","985","1.98%","94.89%","53","1.50%","5.11%","1,038","1.95%"
"012
Bleckley County","57",".11%","93.44%","4",".11%","6.56%","61",".11%"
"013
Brantley County","59",".12%","96.72%","2",".06%","3.28%","61",".11%"
"014
Brooks County","68",".14%","95.77%","3",".08%","4.23%","71",".13%"
"015
Bryan County","80",".16%","97.56%","2",".06%","2.44%","82",".15%"
"016
Bulloch County","494",".99%","93.74%","33",".93%","6.26%","527",".99%"
"017
Burke County","207",".42%","96.28%","8",".23%","3.72%","215",".40%"
"018
Butts County","139",".28%","95.86%","6",".17%","4.14%","145",".27%"
"019
Calhoun County","31",".06%","93.94%","2",".06%","6.06%","33",".06%"
"020
Camden County","191",".38%","95.02%","10",".28%","4.98%","201",".38%"
"021
Candler County","118",".24%","89.39%","14",".40%","10.61%","132",".25%"
"022
Carroll County","508","1.02%","91.04%","50","1.41%","8.96%","558","1.05%"
"023
Catoosa County","330",".66%","90.91%","33",".93%","9.09%","363",".68%"
"024
Charlton County","64",".13%","94.12%","4",".11%","5.88%","68",".13%"
"025
Chatham County","1,935","3.89%","97.04%","59","1.67%","2.96%","1,994","3.74%"
"026
Chattahoochee County","34",".07%","97.14%","1",".03%","2.86%","35",".07%"
"027
Chattooga County","233",".47%","91.37%","22",".62%","8.63%","255",".48%"
"028
Cherokee County","532","1.07%","91.57%","49","1.39%","8.43%","581","1.09%"
"029
Clarke County","413",".83%","94.94%","22",".62%","5.06%","435",".82%"
"030
Clay County","24",".05%","85.71%","4",".11%","14.29%","28",".05%"
"031
Clayton County","1,424","2.86%","93.87%","93","2.63%","6.13%","1,517","2.85%"
"032
Clinch County","49",".10%","90.74%","5",".14%","9.26%","54",".10%"
"033
Cobb County","2,452","4.93%","91.80%","219","6.19%","8.20%","2,671","5.02%"
"034
Coffee County","234",".47%","95.51%","11",".31%","4.49%","245",".46%"
"035
Colquitt County","222",".45%","94.87%","12",".34%","5.13%","234",".44%"
"036
Columbia County","382",".77%","90.52%","40","1.13%","9.48%","422",".79%"
"037
Cook County","112",".23%","96.55%","4",".11%","3.45%","116",".22%"
