"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","2,568","5.11%","92.21%","217","6.00%","7.79%","2,785","5.17%"
"Appling County","88",".18%","91.67%","8",".22%","8.33%","96",".18%"
"Atkinson County","55",".11%","91.67%","5",".14%","8.33%","60",".11%"
"Bacon County","81",".16%","93.10%","6",".17%","6.90%","87",".16%"
"Baker County","12",".02%","92.31%","1",".03%","7.69%","13",".02%"
"Baldwin County","289",".58%","93.23%","21",".58%","6.77%","310",".58%"
"Banks County","63",".13%","90.00%","7",".19%","10.00%","70",".13%"
"Barrow County","256",".51%","92.75%","20",".55%","7.25%","276",".51%"
"Bartow County","591","1.18%","87.04%","88","2.43%","12.96%","679","1.26%"
"Ben Hill County","242",".48%","93.80%","16",".44%","6.20%","258",".48%"
"Berrien County","77",".15%","95.06%","4",".11%","4.94%","81",".15%"
"Bibb County","1,024","2.04%","94.81%","56","1.55%","5.19%","1,080","2.00%"
"Bleckley County","52",".10%","94.55%","3",".08%","5.45%","55",".10%"
"Brantley County","61",".12%","95.31%","3",".08%","4.69%","64",".12%"
"Brooks County","68",".14%","94.44%","4",".11%","5.56%","72",".13%"
"Bryan County","88",".18%","98.88%","1",".03%","1.12%","89",".17%"
"Bulloch County","510","1.01%","93.41%","36","1.00%","6.59%","546","1.01%"
"Burke County","207",".41%","96.28%","8",".22%","3.72%","215",".40%"
"Butts County","131",".26%","96.32%","5",".14%","3.68%","136",".25%"
"Calhoun County","29",".06%","90.63%","3",".08%","9.38%","32",".06%"
"Camden County","184",".37%","95.83%","8",".22%","4.17%","192",".36%"
"Candler County","120",".24%","88.24%","16",".44%","11.76%","136",".25%"
"Carroll County","516","1.03%","90.05%","57","1.58%","9.95%","573","1.06%"
"Catoosa County","329",".65%","91.39%","31",".86%","8.61%","360",".67%"
"Charlton County","65",".13%","94.20%","4",".11%","5.80%","69",".13%"
"Chatham County","1,947","3.87%","96.72%","66","1.82%","3.28%","2,013","3.74%"
"Chattahoochee County","32",".06%","96.97%","1",".03%","3.03%","33",".06%"
"Chattooga County","234",".47%","90.00%","26",".72%","10.00%","260",".48%"
"Cherokee County","555","1.10%","91.43%","52","1.44%","8.57%","607","1.13%"
"Clarke County","416",".83%","93.91%","27",".75%","6.09%","443",".82%"
"Clay County","26",".05%","86.67%","4",".11%","13.33%","30",".06%"
"Clayton County","1,412","2.81%","93.51%","98","2.71%","6.49%","1,510","2.80%"
"Clinch County","47",".09%","88.68%","6",".17%","11.32%","53",".10%"
"Cobb County","2,486","4.95%","91.50%","231","6.39%","8.50%","2,717","5.04%"
"Coffee County","243",".48%","95.67%","11",".30%","4.33%","254",".47%"
"Colquitt County","224",".45%","95.32%","11",".30%","4.68%","235",".44%"
"Columbia County","400",".80%","89.89%","45","1.24%","10.11%","445",".83%"
"Cook County","127",".25%","96.21%","5",".14%","3.79%","132",".25%"
"Coweta County","533","1.06%","93.35%","38","1.05%","6.65%","571","1.06%"
"Crawford County","25",".05%","100.00%","","","","25",".05%"
"Crisp County","288",".57%","94.74%","16",".44%","5.26%","304",".56%"
"Dade County","92",".18%","92.93%","7",".19%","7.07%","99",".18%"
"Dawson County","98",".20%","91.59%","9",".25%","8.41%","107",".20%"
"Decatur County","257",".51%","94.83%","14",".39%","5.17%","271",".50%"
"Dekalb County","2,946","5.86%","94.67%","166","4.59%","5.33%","3,112","5.78%"
"Dodge County","133",".26%","93.66%","9",".25%","6.34%","142",".26%"
"Dooly County","88",".18%","94.62%","5",".14%","5.38%","93",".17%"
"Dougherty County","915","1.82%","93.75%","61","1.69%","6.25%","976","1.81%"
"Douglas County","1,142","2.27%","89.92%","128","3.54%","10.08%","1,270","2.36%"
"Early County","102",".20%","95.33%","5",".14%","4.67%","107",".20%"
"Echols County","10",".02%","83.33%","2",".06%","16.67%","12",".02%"
"Effingham County","168",".33%","92.82%","13",".36%","7.18%","181",".34%"
"Elbert County","125",".25%","92.59%","10",".28%","7.41%","135",".25%"
"Emanuel County","165",".33%","94.29%","10",".28%","5.71%","175",".32%"
"Evans County","100",".20%","95.24%","5",".14%","4.76%","105",".19%"
"Fannin County","90",".18%","86.54%","14",".39%","13.46%","104",".19%"
"Fayette County","341",".68%","88.34%","45","1.24%","11.66%","386",".72%"
"Floyd County","863","1.72%","90.46%","91","2.52%","9.54%","954","1.77%"
"Forsyth County","370",".74%","91.36%","35",".97%","8.64%","405",".75%"
"Franklin County","132",".26%","93.62%","9",".25%","6.38%","141",".26%"
"Fulton County","4,534","9.02%","96.30%","174","4.81%","3.70%","4,708","8.74%"
"Gilmer County","91",".18%","91.92%","8",".22%","8.08%","99",".18%"
"Glascock County","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Glynn County","486",".97%","92.75%","38","1.05%","7.25%","524",".97%"
"Gordon County","369",".73%","87.03%","55","1.52%","12.97%","424",".79%"
"Grady County","169",".34%","94.94%","9",".25%","5.06%","178",".33%"
"Greene County","109",".22%","92.37%","9",".25%","7.63%","118",".22%"
"Gwinnett County","2,250","4.48%","92.44%","184","5.09%","7.56%","2,434","4.52%"
"Habersham County","103",".20%","93.64%","7",".19%","6.36%","110",".20%"
"Hall County","687","1.37%","91.84%","61","1.69%","8.16%","748","1.39%"
"Hancock County","33",".07%","91.67%","3",".08%","8.33%","36",".07%"
"Haralson County","166",".33%","94.86%","9",".25%","5.14%","175",".32%"
"Harris County","95",".19%","93.14%","7",".19%","6.86%","102",".19%"
"Hart County","166",".33%","95.95%","7",".19%","4.05%","173",".32%"
"Heard County","51",".10%","91.07%","5",".14%","8.93%","56",".10%"
"Henry County","493",".98%","91.47%","46","1.27%","8.53%","539","1.00%"
"Houston County","712","1.42%","95.44%","34",".94%","4.56%","746","1.38%"
"Irwin County","66",".13%","98.51%","1",".03%","1.49%","67",".12%"
"Jackson County","247",".49%","92.86%","19",".53%","7.14%","266",".49%"
"Jasper County","65",".13%","95.59%","3",".08%","4.41%","68",".13%"
"Jeff Davis County","84",".17%","95.45%","4",".11%","4.55%","88",".16%"
"Jefferson County","142",".28%","97.26%","4",".11%","2.74%","146",".27%"
"Jenkins County","67",".13%","95.71%","3",".08%","4.29%","70",".13%"
"Johnson County","42",".08%","97.67%","1",".03%","2.33%","43",".08%"
"Jones County","181",".36%","90.95%","18",".50%","9.05%","199",".37%"
"Lamar County","72",".14%","92.31%","6",".17%","7.69%","78",".14%"
"Lanier County","45",".09%","97.83%","1",".03%","2.17%","46",".09%"
"Laurens County","274",".55%","94.81%","15",".41%","5.19%","289",".54%"
"Lee County","57",".11%","93.44%","4",".11%","6.56%","61",".11%"
