"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","7",".01%","100.00%","","","","7",".01%"
"153
Wheeler County","26",".05%","100.00%","","","","26",".05%"
"154
White County","87",".18%","87.00%","13",".37%","13.00%","100",".19%"
"155
Whitfield County","527","1.06%","89.78%","60","1.73%","10.22%","587","1.10%"
"156
Wilcox County","40",".08%","93.02%","3",".09%","6.98%","43",".08%"
"157
Wilkes County","78",".16%","93.98%","5",".14%","6.02%","83",".16%"
"158
Wilkinson County","37",".07%","97.37%","1",".03%","2.63%","38",".07%"
"159
Worth County","119",".24%","93.70%","8",".23%","6.30%","127",".24%"
"Total Rported","49,655","100%","93.46%","3,476","100%","6.54%","53,131","100%"
