"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"027   Chattooga County","174","0.35%","89.69%","20","0.49%","10.31%","194","0.36%"
"028   Cherokee County","671","1.36%","92.81%","52","1.29%","7.19%","723","1.36%"
"029   Clarke County","539","1.09%","93.41%","38","0.94%","6.59%","577","1.08%"
"030   Clay County","12","0.02%","92.31%","1","0.02%","7.69%","13","0.02%"
"031   Clayton County","1,162","2.36%","92.52%","94","2.32%","7.48%","1,256","2.35%"
"032   Clinch County","41","0.08%","93.18%","3","0.07%","6.82%","44","0.08%"
"033   Cobb County","2,165","4.39%","93.4%","153","3.78%","6.6%","2,318","4.35%"
"034   Coffee County","304","0.62%","92.4%","25","0.62%","7.6%","329","0.62%"
"035   Colquitt County","202","0.41%","96.19%","8","0.2%","3.81%","210","0.39%"
"036   Columbia County","520","1.05%","87.99%","71","1.75%","12.01%","591","1.11%"
"037   Cook County","132","0.27%","91.67%","12","0.3%","8.33%","144","0.27%"
"038   Coweta County","726","1.47%","93.32%","52","1.29%","6.68%","778","1.46%"
"039   Crawford County","29","0.06%","93.55%","2","0.05%","6.45%","31","0.06%"
"040   Crisp County","372","0.75%","90.07%","41","1.01%","9.93%","413","0.77%"
"041   Dade County","94","0.19%","88.68%","12","0.3%","11.32%","106","0.2%"
"042   Dawson County","129","0.26%","84.87%","23","0.57%","15.13%","152","0.28%"
"043   Decatur County","313","0.63%","88.42%","41","1.01%","11.58%","354","0.66%"
"044   Dekalb County","2,691","5.46%","94.82%","147","3.63%","5.18%","2,838","5.32%"
"045   Dodge County","129","0.26%","90.85%","13","0.32%","9.15%","142","0.27%"
"046   Dooly County","127","0.26%","88.81%","16","0.4%","11.19%","143","0.27%"
"047   Dougherty County","722","1.46%","96.27%","28","0.69%","3.73%","750","1.41%"
"048   Douglas County","858","1.74%","90.7%","88","2.17%","9.3%","946","1.77%"
"049   Early County","68","0.14%","97.14%","2","0.05%","2.86%","70","0.13%"
"050   Echols County","13","0.03%","92.86%","1","0.02%","7.14%","14","0.03%"
"051   Effingham County","344","0.7%","88.43%","45","1.11%","11.57%","389","0.73%"
"052   Elbert County","143","0.29%","91.67%","13","0.32%","8.33%","156","0.29%"
"053   Emanuel County","226","0.46%","93.39%","16","0.4%","6.61%","242","0.45%"
