"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","523","1.19%","94.92%","28",".92%","5.08%","551","1.17%"
"039
Crawford County","23",".05%","95.83%","1",".03%","4.17%","24",".05%"
"040
Crisp County","341",".78%","93.17%","25",".82%","6.83%","366",".78%"
"041
Dade County","80",".18%","91.95%","7",".23%","8.05%","87",".19%"
"042
Dawson County","98",".22%","93.33%","7",".23%","6.67%","105",".22%"
"043
Decatur County","228",".52%","95.00%","12",".40%","5.00%","240",".51%"
"044
Dekalb County","2,325","5.29%","95.52%","109","3.59%","4.48%","2,434","5.18%"
"045
Dodge County","102",".23%","87.93%","14",".46%","12.07%","116",".25%"
"046
Dooly County","125",".28%","96.15%","5",".16%","3.85%","130",".28%"
"047
Dougherty County","719","1.63%","95.23%","36","1.19%","4.77%","755","1.61%"
"048
Douglas County","882","2.01%","92.45%","72","2.37%","7.55%","954","2.03%"
"049
Early County","83",".19%","97.65%","2",".07%","2.35%","85",".18%"
"050
Echols County","11",".03%","100.00%","","","","11",".02%"
"051
Effingham County","217",".49%","88.93%","27",".89%","11.07%","244",".52%"
"052
Elbert County","127",".29%","95.49%","6",".20%","4.51%","133",".28%"
"053
Emanuel County","155",".35%","93.37%","11",".36%","6.63%","166",".35%"
"054
Evans County","73",".17%","94.81%","4",".13%","5.19%","77",".16%"
"055
Fannin County","99",".23%","88.39%","13",".43%","11.61%","112",".24%"
"056
Fayette County","320",".73%","94.67%","18",".59%","5.33%","338",".72%"
"057
Floyd County","865","1.97%","90.29%","93","3.07%","9.71%","958","2.04%"
"058
Forsyth County","355",".81%","91.26%","34","1.12%","8.74%","389",".83%"
"059
Franklin County","144",".33%","87.80%","20",".66%","12.20%","164",".35%"
"060
Fulton County","4,221","9.60%","96.37%","159","5.24%","3.63%","4,380","9.32%"
"061
Gilmer County","98",".22%","92.45%","8",".26%","7.55%","106",".23%"
"062
Glascock County","8",".02%","100.00%","","","","8",".02%"
"063
Glynn County","477","1.08%","95.59%","22",".73%","4.41%","499","1.06%"
"064
Gordon County","346",".79%","90.81%","35","1.15%","9.19%","381",".81%"
"065
Grady County","149",".34%","95.51%","7",".23%","4.49%","156",".33%"
"066
Greene County","98",".22%","96.08%","4",".13%","3.92%","102",".22%"
"067
Gwinnett County","2,261","5.14%","93.82%","149","4.91%","6.18%","2,410","5.13%"
"068
Habersham County","103",".23%","88.03%","14",".46%","11.97%","117",".25%"
"069
Hall County","624","1.42%","92.72%","49","1.62%","7.28%","673","1.43%"
"070
Hancock County","42",".10%","95.45%","2",".07%","4.55%","44",".09%"
"071
Haralson County","117",".27%","90.70%","12",".40%","9.30%","129",".27%"
"072
Harris County","85",".19%","93.41%","6",".20%","6.59%","91",".19%"
"073
Hart County","156",".35%","91.76%","14",".46%","8.24%","170",".36%"
"074
Heard County","41",".09%","95.35%","2",".07%","4.65%","43",".09%"
"075
Henry County","575","1.31%","92.30%","48","1.58%","7.70%","623","1.32%"
