"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","178",".35%","93.19%","13",".33%","6.81%","191",".35%"
"001
Appling County","117",".23%","95.12%","6",".15%","4.88%","123",".22%"
"002
Atkinson County","58",".11%","86.57%","9",".23%","13.43%","67",".12%"
"003
Bacon County","78",".15%","91.76%","7",".18%","8.24%","85",".15%"
"004
Baker County","13",".03%","92.86%","1",".03%","7.14%","14",".03%"
"005
Baldwin County","319",".63%","92.73%","25",".63%","7.27%","344",".63%"
"006
Banks County","74",".15%","91.36%","7",".18%","8.64%","81",".15%"
"007
Barrow County","347",".68%","91.32%","33",".84%","8.68%","380",".69%"
"008
Bartow County","623","1.22%","87.99%","85","2.16%","12.01%","708","1.29%"
"009
Ben Hill County","267",".52%","93.36%","19",".48%","6.64%","286",".52%"
"010
Berrien County","88",".17%","97.78%","2",".05%","2.22%","90",".16%"
"011
Bibb County","1,138","2.24%","94.13%","71","1.80%","5.87%","1,209","2.20%"
"012
Bleckley County","73",".14%","91.25%","7",".18%","8.75%","80",".15%"
"013
Brantley County","78",".15%","86.67%","12",".30%","13.33%","90",".16%"
"014
Brooks County","56",".11%","96.55%","2",".05%","3.45%","58",".11%"
"015
Bryan County","59",".12%","95.16%","3",".08%","4.84%","62",".11%"
"016
Bulloch County","529","1.04%","92.64%","42","1.07%","7.36%","571","1.04%"
"017
Burke County","238",".47%","97.54%","6",".15%","2.46%","244",".44%"
"018
Butts County","124",".24%","94.66%","7",".18%","5.34%","131",".24%"
"019
Calhoun County","33",".06%","94.29%","2",".05%","5.71%","35",".06%"
"020
Camden County","213",".42%","93.01%","16",".41%","6.99%","229",".42%"
"021
Candler County","113",".22%","93.39%","8",".20%","6.61%","121",".22%"
"022
Carroll County","638","1.25%","92.20%","54","1.37%","7.80%","692","1.26%"
"023
Catoosa County","378",".74%","89.57%","44","1.12%","10.43%","422",".77%"
"024
Charlton County","57",".11%","90.48%","6",".15%","9.52%","63",".11%"
"025
Chatham County","1,870","3.67%","94.92%","100","2.54%","5.08%","1,970","3.59%"
"026
Chattahoochee County","26",".05%","100.00%","","","","26",".05%"
"027
Chattooga County","215",".42%","86.35%","34",".86%","13.65%","249",".45%"
"028
Cherokee County","558","1.10%","92.85%","43","1.09%","7.15%","601","1.10%"
"029
Clarke County","573","1.13%","92.72%","45","1.14%","7.28%","618","1.13%"
"030
Clay County","30",".06%","88.24%","4",".10%","11.76%","34",".06%"
"031
Clayton County","1,363","2.68%","92.97%","103","2.61%","7.03%","1,466","2.67%"
"032
Clinch County","46",".09%","86.79%","7",".18%","13.21%","53",".10%"
"033
Cobb County","2,537","4.98%","91.95%","222","5.64%","8.05%","2,759","5.03%"
"034
Coffee County","224",".44%","94.12%","14",".36%","5.88%","238",".43%"
"035
Colquitt County","209",".41%","95.00%","11",".28%","5.00%","220",".40%"
"036
Columbia County","442",".87%","91.51%","41","1.04%","8.49%","483",".88%"
"037
Cook County","118",".23%","92.19%","10",".25%","7.81%","128",".23%"
