"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","5",".01%","71.43%","2",".05%","28.57%","7",".01%"
"153
Wheeler County","20",".04%","95.24%","1",".03%","4.76%","21",".04%"
"154
White County","99",".19%","85.34%","17",".43%","14.66%","116",".21%"
"155
Whitfield County","803","1.57%","88.63%","103","2.59%","11.37%","906","1.65%"
"156
Wilcox County","53",".10%","94.64%","3",".08%","5.36%","56",".10%"
"157
Wilkes County","67",".13%","94.37%","4",".10%","5.63%","71",".13%"
"158
Wilkinson County","48",".09%","94.12%","3",".08%","5.88%","51",".09%"
"159
Worth County","120",".23%","91.60%","11",".28%","8.40%","131",".24%"
"Total Rported","51,070","100%","92.78%","3,977","100%","7.22%","55,047","100%"
