"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","43",".08%","93.48%","3",".08%","6.52%","46",".08%"
"115
Polk County","191",".37%","90.09%","21",".53%","9.91%","212",".39%"
"116
Pulaski County","45",".09%","93.75%","3",".08%","6.25%","48",".09%"
"117
Putnam County","161",".32%","92.53%","13",".33%","7.47%","174",".32%"
"118
Quitman County","13",".03%","100.00%","","","","13",".02%"
"119
Rabun County","64",".13%","90.14%","7",".18%","9.86%","71",".13%"
"120
Randolph County","64",".13%","95.52%","3",".08%","4.48%","67",".12%"
"121
Richmond County","1,927","3.77%","93.09%","143","3.63%","6.91%","2,070","3.76%"
"122
Rockdale County","511","1.00%","92.07%","44","1.12%","7.93%","555","1.01%"
"123
Schley County","12",".02%","92.31%","1",".03%","7.69%","13",".02%"
"124
Screven County","128",".25%","97.71%","3",".08%","2.29%","131",".24%"
"125
Seminole County","79",".15%","88.76%","10",".25%","11.24%","89",".16%"
"126
Spalding County","487",".95%","91.89%","43","1.09%","8.11%","530",".96%"
"127
Stephens County","161",".32%","87.03%","24",".61%","12.97%","185",".34%"
"128
Stewart County","31",".06%","96.88%","1",".03%","3.13%","32",".06%"
"129
Sumter County","204",".40%","95.77%","9",".23%","4.23%","213",".39%"
"130
Talbot County","28",".05%","93.33%","2",".05%","6.67%","30",".05%"
"131
Taliaferro County","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"132
Tattnall County","207",".41%","89.61%","24",".61%","10.39%","231",".42%"
"133
Taylor County","70",".14%","93.33%","5",".13%","6.67%","75",".14%"
"134
Telfair County","113",".22%","94.17%","7",".18%","5.83%","120",".22%"
"135
Terrell County","88",".17%","94.62%","5",".13%","5.38%","93",".17%"
"136
Thomas County","212",".41%","96.80%","7",".18%","3.20%","219",".40%"
"137
Tift County","327",".64%","93.70%","22",".56%","6.30%","349",".63%"
"138
Toombs County","325",".64%","88.56%","42","1.07%","11.44%","367",".67%"
"139
Towns County","53",".10%","74.65%","18",".46%","25.35%","71",".13%"
"140
Treutlen County","73",".14%","92.41%","6",".15%","7.59%","79",".14%"
"141
Troup County","687","1.34%","92.21%","58","1.47%","7.79%","745","1.35%"
"142
Turner County","67",".13%","98.53%","1",".03%","1.47%","68",".12%"
"143
Twiggs County","52",".10%","98.11%","1",".03%","1.89%","53",".10%"
"144
Union County","115",".23%","84.56%","21",".53%","15.44%","136",".25%"
"145
Upson County","176",".34%","92.63%","14",".36%","7.37%","190",".35%"
"146
Walker County","421",".82%","89.96%","47","1.19%","10.04%","468",".85%"
"147
Walton County","628","1.23%","90.75%","64","1.62%","9.25%","692","1.26%"
"148
Ware County","311",".61%","92.84%","24",".61%","7.16%","335",".61%"
"149
Warren County","43",".08%","93.48%","3",".08%","6.52%","46",".08%"
"150
Washington County","206",".40%","91.56%","19",".48%","8.44%","225",".41%"
"151
Wayne County","178",".35%","90.82%","18",".46%","9.18%","196",".36%"
