"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","187",".42%","93.97%","12",".37%","6.03%","199",".42%"
"001
Appling County","109",".24%","97.32%","3",".09%","2.68%","112",".23%"
"002
Atkinson County","41",".09%","93.18%","3",".09%","6.82%","44",".09%"
"003
Bacon County","73",".16%","94.81%","4",".12%","5.19%","77",".16%"
"004
Baker County","14",".03%","93.33%","1",".03%","6.67%","15",".03%"
"005
Baldwin County","285",".64%","92.23%","24",".73%","7.77%","309",".64%"
"006
Banks County","44",".10%","86.27%","7",".21%","13.73%","51",".11%"
"007
Barrow County","349",".78%","91.84%","31",".95%","8.16%","380",".79%"
"008
Bartow County","613","1.37%","87.82%","85","2.60%","12.18%","698","1.46%"
"009
Ben Hill County","248",".56%","93.94%","16",".49%","6.06%","264",".55%"
"010
Berrien County","95",".21%","94.06%","6",".18%","5.94%","101",".21%"
"011
Bibb County","947","2.12%","95.56%","44","1.35%","4.44%","991","2.07%"
"012
Bleckley County","59",".13%","93.65%","4",".12%","6.35%","63",".13%"
"013
Brantley County","73",".16%","87.95%","10",".31%","12.05%","83",".17%"
"014
Brooks County","47",".11%","97.92%","1",".03%","2.08%","48",".10%"
"015
Bryan County","45",".10%","91.84%","4",".12%","8.16%","49",".10%"
"016
Bulloch County","450","1.01%","93.56%","31",".95%","6.44%","481","1.00%"
"017
Burke County","200",".45%","97.09%","6",".18%","2.91%","206",".43%"
"018
Butts County","142",".32%","93.42%","10",".31%","6.58%","152",".32%"
"019
Calhoun County","24",".05%","88.89%","3",".09%","11.11%","27",".06%"
"020
Camden County","179",".40%","94.21%","11",".34%","5.79%","190",".40%"
"021
Candler County","88",".20%","94.62%","5",".15%","5.38%","93",".19%"
"022
Carroll County","576","1.29%","93.51%","40","1.22%","6.49%","616","1.29%"
"023
Catoosa County","332",".74%","90.96%","33","1.01%","9.04%","365",".76%"
"024
Charlton County","61",".14%","87.14%","9",".28%","12.86%","70",".15%"
"025
Chatham County","1,529","3.42%","95.80%","67","2.05%","4.20%","1,596","3.33%"
"026
Chattahoochee County","18",".04%","100.00%","","","","18",".04%"
"027
Chattooga County","165",".37%","89.67%","19",".58%","10.33%","184",".38%"
"028
Cherokee County","532","1.19%","92.52%","43","1.32%","7.48%","575","1.20%"
"029
Clarke County","459","1.03%","95.63%","21",".64%","4.38%","480","1.00%"
"030
Clay County","15",".03%","88.24%","2",".06%","11.76%","17",".04%"
"031
Clayton County","1,099","2.46%","94.17%","68","2.08%","5.83%","1,167","2.44%"
"032
Clinch County","38",".09%","92.68%","3",".09%","7.32%","41",".09%"
"033
Cobb County","2,123","4.75%","93.24%","154","4.71%","6.76%","2,277","4.75%"
"034
Coffee County","276",".62%","93.24%","20",".61%","6.76%","296",".62%"
"035
Colquitt County","235",".53%","95.53%","11",".34%","4.47%","246",".51%"
"036
Columbia County","339",".76%","89.21%","41","1.25%","10.79%","380",".79%"
"037
Cook County","112",".25%","91.06%","11",".34%","8.94%","123",".26%"
