"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000 
Unknown","220",".46%","94.02%","14",".37%","5.98%","234",".45%"
"001 
Appling County","125",".26%","94.70%","7",".18%","5.30%","132",".26%"
"002 
Atkinson County","46",".10%","93.88%","3",".08%","6.12%","49",".09%"
"003 
Bacon County","84",".18%","91.30%","8",".21%","8.70%","92",".18%"
"004 
Baker County","20",".04%","95.24%","1",".03%","4.76%","21",".04%"
"005 
Baldwin County","308",".64%","90.86%","31",".82%","9.14%","339",".66%"
"006 
Banks County","66",".14%","83.54%","13",".34%","16.46%","79",".15%"
"007 
Barrow County","386",".81%","90.40%","41","1.08%","9.60%","427",".83%"
"008 
Bartow County","569","1.19%","88.35%","75","1.97%","11.65%","644","1.25%"
"009 
Ben Hill County","252",".53%","90.97%","25",".66%","9.03%","277",".54%"
"010 
Berrien County","123",".26%","93.89%","8",".21%","6.11%","131",".25%"
"011 
Bibb County","939","1.96%","95.14%","48","1.26%","4.86%","987","1.91%"
"012 
Bleckley County","56",".12%","91.80%","5",".13%","8.20%","61",".12%"
"013 
Brantley County","64",".13%","84.21%","12",".32%","15.79%","76",".15%"
"014 
Brooks County","50",".10%","96.15%","2",".05%","3.85%","52",".10%"
"015 
Bryan County","83",".17%","95.40%","4",".11%","4.60%","87",".17%"
"016 
Bulloch County","560","1.17%","92.41%","46","1.21%","7.59%","606","1.17%"
"017 
Burke County","212",".44%","96.36%","8",".21%","3.64%","220",".43%"
"018 
Butts County","137",".29%","89.54%","16",".42%","10.46%","153",".30%"
"019 
Calhoun County","20",".04%","95.24%","1",".03%","4.76%","21",".04%"
"020 
Camden County","184",".38%","92.00%","16",".42%","8.00%","200",".39%"
"021 
Candler County","86",".18%","93.48%","6",".16%","6.52%","92",".18%"
"022 
Carroll County","650","1.36%","91.94%","57","1.50%","8.06%","707","1.37%"
"023 
Catoosa County","370",".77%","85.85%","61","1.60%","14.15%","431",".83%"
"024 
Charlton County","56",".12%","90.32%","6",".16%","9.68%","62",".12%"
"025 
Chatham County","1,424","2.97%","95.31%","70","1.84%","4.69%","1,494","2.89%"
"026 
Chattahoochee County","12",".03%","100.00%","","","","12",".02%"
"027 
Chattooga County","158",".33%","91.33%","15",".39%","8.67%","173",".33%"
"028 
Cherokee County","633","1.32%","94.20%","39","1.03%","5.80%","672","1.30%"
"029 
Clarke County","505","1.05%","93.17%","37",".97%","6.83%","542","1.05%"
"030 
Clay County","12",".03%","100.00%","","","","12",".02%"
"031 
Clayton County","1,105","2.31%","93.01%","83","2.18%","6.99%","1,188","2.30%"
"032 
Clinch County","43",".09%","93.48%","3",".08%","6.52%","46",".09%"
"033 
Cobb County","2,110","4.40%","92.99%","159","4.18%","7.01%","2,269","4.39%"
"034 
Coffee County","311",".65%","93.39%","22",".58%","6.61%","333",".64%"
"035 
Colquitt County","214",".45%","97.27%","6",".16%","2.73%","220",".43%"
"036 
Columbia County","474",".99%","89.77%","54","1.42%","10.23%","528","1.02%"
"037 
Cook County","123",".26%","92.48%","10",".26%","7.52%","133",".26%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038 
Coweta County","627","1.31%","94.00%","40","1.05%","6.00%","667","1.29%"
"039 
Crawford County","25",".05%","92.59%","2",".05%","7.41%","27",".05%"
"040 
Crisp County","387",".81%","91.27%","37",".97%","8.73%","424",".82%"
"041 
Dade County","88",".18%","88.89%","11",".29%","11.11%","99",".19%"
"042 
Dawson County","142",".30%","86.59%","22",".58%","13.41%","164",".32%"
"043 
Decatur County","306",".64%","91.89%","27",".71%","8.11%","333",".64%"
"044 
Dekalb County","2,563","5.35%","95.28%","127","3.34%","4.72%","2,690","5.20%"
"045 
Dodge County","125",".26%","88.03%","17",".45%","11.97%","142",".27%"
"046 
Dooly County","135",".28%","91.22%","13",".34%","8.78%","148",".29%"
"047 
Dougherty County","729","1.52%","95.80%","32",".84%","4.20%","761","1.47%"
"048 
Douglas County","827","1.73%","90.19%","90","2.37%","9.81%","917","1.77%"
"049 
Early County","86",".18%","97.73%","2",".05%","2.27%","88",".17%"
"050 
Echols County","10",".02%","83.33%","2",".05%","16.67%","12",".02%"
"051 
Effingham County","357",".75%","89.47%","42","1.10%","10.53%","399",".77%"
"052 
Elbert County","139",".29%","90.26%","15",".39%","9.74%","154",".30%"
"053 
Emanuel County","210",".44%","92.92%","16",".42%","7.08%","226",".44%"
"054 
Evans County","84",".18%","91.30%","8",".21%","8.70%","92",".18%"
"055 
Fannin County","103",".22%","88.79%","13",".34%","11.21%","116",".22%"
