"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"000   Unknown","264","0.54%","96.35%","10","0.25%","3.65%","274","0.51%"
"001   Appling County","117","0.24%","94.35%","7","0.17%","5.65%","124","0.23%"
"002   Atkinson County","41","0.08%","95.35%","2","0.05%","4.65%","43","0.08%"
"003   Bacon County","84","0.17%","93.33%","6","0.15%","6.67%","90","0.17%"
"004   Baker County","14","0.03%","82.35%","3","0.07%","17.65%","17","0.03%"
"005   Baldwin County","338","0.69%","89.42%","40","0.98%","10.58%","378","0.71%"
"006   Banks County","99","0.2%","88.39%","13","0.32%","11.61%","112","0.21%"
"007   Barrow County","393","0.8%","89.52%","46","1.13%","10.48%","439","0.82%"
"008   Bartow County","538","1.09%","89.52%","63","1.55%","10.48%","601","1.13%"
"009   Ben Hill County","234","0.48%","91.05%","23","0.57%","8.95%","257","0.48%"
"010   Berrien County","144","0.29%","91.72%","13","0.32%","8.28%","157","0.29%"
"011   Bibb County","961","1.95%","95.15%","49","1.21%","4.85%","1,010","1.9%"
"012   Bleckley County","63","0.13%","92.65%","5","0.12%","7.35%","68","0.13%"
"013   Brantley County","71","0.14%","86.59%","11","0.27%","13.41%","82","0.15%"
"014   Brooks County","65","0.13%","94.2%","4","0.1%","5.8%","69","0.13%"
"015   Bryan County","115","0.23%","91.27%","11","0.27%","8.73%","126","0.24%"
"016   Bulloch County","566","1.15%","93.71%","38","0.94%","6.29%","604","1.13%"
"017   Burke County","211","0.43%","95.91%","9","0.22%","4.09%","220","0.41%"
"018   Butts County","151","0.31%","89.35%","18","0.44%","10.65%","169","0.32%"
"019   Calhoun County","31","0.06%","96.88%","1","0.02%","3.13%","32","0.06%"
"020   Camden County","181","0.37%","91.41%","17","0.42%","8.59%","198","0.37%"
"021   Candler County","93","0.19%","93.0%","7","0.17%","7.0%","100","0.19%"
"022   Carroll County","636","1.29%","92.44%","52","1.28%","7.56%","688","1.29%"
"023   Catoosa County","391","0.79%","85.19%","68","1.67%","14.81%","459","0.86%"
"024   Charlton County","61","0.12%","87.14%","9","0.22%","12.86%","70","0.13%"
"025   Chatham County","1,397","2.84%","95.16%","71","1.75%","4.84%","1,468","2.76%"
"026   Chattahoochee County","15","0.03%","100.0%","","","","15","0.03%"
