"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"39
Crawford","24",".05%","85.71%","4",".11%","14.29%","28",".05%"
"40
Crisp","310",".61%","95.09%","16",".45%","4.91%","326",".60%"
"41
Dade","145",".29%","96.67%","5",".14%","3.33%","150",".28%"
"42
Dawson","94",".19%","90.38%","10",".28%","9.62%","104",".19%"
"43
Decatur","321",".63%","93.04%","24",".68%","6.96%","345",".64%"
"44
Dekalb","3,016","5.95%","95.35%","147","4.17%","4.65%","3,163","5.84%"
"45
Dodge","149",".29%","90.85%","15",".43%","9.15%","164",".30%"
"46
Dooly","108",".21%","94.74%","6",".17%","5.26%","114",".21%"
"47
Dougherty","1,036","2.04%","95.31%","51","1.45%","4.69%","1,087","2.01%"
"48
Douglas","1,090","2.15%","91.52%","101","2.87%","8.48%","1,191","2.20%"
"49
Early","81",".16%","98.78%","1",".03%","1.22%","82",".15%"
"50
Echols","11",".02%","100.00%","","","","11",".02%"
"51
Effingham","146",".29%","91.25%","14",".40%","8.75%","160",".30%"
"52
Elbert","154",".30%","94.48%","9",".26%","5.52%","163",".30%"
"53
Emanuel","165",".33%","97.06%","5",".14%","2.94%","170",".31%"
"54
Evans","93",".18%","98.94%","1",".03%","1.06%","94",".17%"
"55
Fannin","111",".22%","92.50%","9",".26%","7.50%","120",".22%"
"56
Fayette","331",".65%","90.93%","33",".94%","9.07%","364",".67%"
"57
Floyd","881","1.74%","91.01%","87","2.47%","8.99%","968","1.79%"
"58
Forsyth","308",".61%","87.75%","43","1.22%","12.25%","351",".65%"
"59
Franklin","174",".34%","92.06%","15",".43%","7.94%","189",".35%"
"60
Fulton","4,252","8.39%","96.42%","158","4.49%","3.58%","4,410","8.14%"
"61
Gilmer","95",".19%","87.96%","13",".37%","12.04%","108",".20%"
"62
Glascock","7",".01%","87.50%","1",".03%","12.50%","8",".01%"
"63
Glynn","442",".87%","95.67%","20",".57%","4.33%","462",".85%"
"64
Gordon","295",".58%","92.48%","24",".68%","7.52%","319",".59%"
"65
Grady","248",".49%","95.02%","13",".37%","4.98%","261",".48%"
"66
Greene","112",".22%","97.39%","3",".09%","2.61%","115",".21%"
"67
Gwinnett","1,836","3.62%","93.48%","128","3.63%","6.52%","1,964","3.62%"
"68
Habersham","120",".24%","94.49%","7",".20%","5.51%","127",".23%"
"69
Hall","800","1.58%","92.38%","66","1.87%","7.62%","866","1.60%"
"70
Hancock","32",".06%","94.12%","2",".06%","5.88%","34",".06%"
"71
Haralson","91",".18%","94.79%","5",".14%","5.21%","96",".18%"
"72
Harris","135",".27%","95.74%","6",".17%","4.26%","141",".26%"
"73
Hart","115",".23%","94.26%","7",".20%","5.74%","122",".23%"
"74
Heard","60",".12%","84.51%","11",".31%","15.49%","71",".13%"
"75
Henry","587","1.16%","91.15%","57","1.62%","8.85%","644","1.19%"
"76
Houston","649","1.28%","93.65%","44","1.25%","6.35%","693","1.28%"
