"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"115
Polk","145",".29%","96.67%","5",".14%","3.33%","150",".28%"
"116
Pulaski","81",".16%","91.01%","8",".23%","8.99%","89",".16%"
"117
Putnam","140",".28%","97.90%","3",".09%","2.10%","143",".26%"
"118
Quitman","15",".03%","93.75%","1",".03%","6.25%","16",".03%"
"119
Rabun","61",".12%","93.85%","4",".12%","6.15%","65",".12%"
"120
Randolph","52",".10%","91.23%","5",".14%","8.77%","57",".11%"
"121
Richmond","1,879","3.70%","93.90%","122","3.52%","6.10%","2,001","3.69%"
"122
Rockdale","473",".93%","93.29%","34",".98%","6.71%","507",".93%"
"123
Schley","25",".05%","100.00%","","","","25",".05%"
"124
Screven","121",".24%","95.28%","6",".17%","4.72%","127",".23%"
"125
Seminole","83",".16%","91.21%","8",".23%","8.79%","91",".17%"
"126
Spalding","617","1.21%","92.92%","47","1.36%","7.08%","664","1.22%"
"127
Stephens","189",".37%","90.87%","19",".55%","9.13%","208",".38%"
"128
Stewart","33",".06%","91.67%","3",".09%","8.33%","36",".07%"
"129
Sumter","274",".54%","96.14%","11",".32%","3.86%","285",".53%"
"130
Talbot","38",".07%","92.68%","3",".09%","7.32%","41",".08%"
"131
Taliaferro","22",".04%","91.67%","2",".06%","8.33%","24",".04%"
"132
Tattnall","168",".33%","95.45%","8",".23%","4.55%","176",".32%"
"133
Taylor","98",".19%","95.15%","5",".14%","4.85%","103",".19%"
"134
Telfair","142",".28%","93.42%","10",".29%","6.58%","152",".28%"
"135
Terrell","88",".17%","98.88%","1",".03%","1.12%","89",".16%"
"136
Thomas","303",".60%","93.23%","22",".64%","6.77%","325",".60%"
"137
Tift","319",".63%","96.08%","13",".38%","3.92%","332",".61%"
"138
Toombs","290",".57%","93.85%","19",".55%","6.15%","309",".57%"
"139
Towns","47",".09%","88.68%","6",".17%","11.32%","53",".10%"
"140
Treutlen","82",".16%","96.47%","3",".09%","3.53%","85",".16%"
"141
Troup","712","1.40%","90.93%","71","2.05%","9.07%","783","1.44%"
"142
Turner","73",".14%","94.81%","4",".12%","5.19%","77",".14%"
"143
Twiggs","52",".10%","92.86%","4",".12%","7.14%","56",".10%"
"144
Union","78",".15%","95.12%","4",".12%","4.88%","82",".15%"
"145
Upson","225",".44%","92.21%","19",".55%","7.79%","244",".45%"
"146
Walker","411",".81%","91.13%","40","1.16%","8.87%","451",".83%"
"147
Walton","378",".74%","93.10%","28",".81%","6.90%","406",".75%"
"148
Ware","379",".75%","94.28%","23",".66%","5.72%","402",".74%"
"149
Warren","52",".10%","96.30%","2",".06%","3.70%","54",".10%"
"150
Washington","119",".23%","92.97%","9",".26%","7.03%","128",".24%"
"151
Wayne","173",".34%","90.10%","19",".55%","9.90%","192",".35%"
"152
Webster","12",".02%","100.00%","","","","12",".02%"
