"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","36",".08%","94.74%","2",".06%","5.26%","38",".08%"
"115
Polk County","217",".47%","91.18%","21",".60%","8.82%","238",".48%"
"116
Pulaski County","32",".07%","94.12%","2",".06%","5.88%","34",".07%"
"117
Putnam County","150",".33%","96.15%","6",".17%","3.85%","156",".32%"
"118
Quitman County","7",".02%","100.00%","","","","7",".01%"
"119
Rabun County","65",".14%","87.84%","9",".26%","12.16%","74",".15%"
"120
Randolph County","45",".10%","95.74%","2",".06%","4.26%","47",".10%"
"121
Richmond County","1,565","3.41%","93.54%","108","3.07%","6.46%","1,673","3.38%"
"122
Rockdale County","441",".96%","92.45%","36","1.02%","7.55%","477",".97%"
"123
Schley County","20",".04%","100.00%","","","","20",".04%"
"124
Screven County","113",".25%","95.76%","5",".14%","4.24%","118",".24%"
"125
Seminole County","66",".14%","89.19%","8",".23%","10.81%","74",".15%"
"126
Spalding County","466","1.01%","90.84%","47","1.34%","9.16%","513","1.04%"
"127
Stephens County","121",".26%","98.37%","2",".06%","1.63%","123",".25%"
"128
Stewart County","25",".05%","89.29%","3",".09%","10.71%","28",".06%"
"129
Sumter County","190",".41%","93.60%","13",".37%","6.40%","203",".41%"
"130
Talbot County","19",".04%","90.48%","2",".06%","9.52%","21",".04%"
"131
Taliaferro County","19",".04%","100.00%","","","","19",".04%"
"132
Tattnall County","186",".41%","85.71%","31",".88%","14.29%","217",".44%"
"133
Taylor County","44",".10%","93.62%","3",".09%","6.38%","47",".10%"
"134
Telfair County","100",".22%","91.74%","9",".26%","8.26%","109",".22%"
"135
Terrell County","61",".13%","95.31%","3",".09%","4.69%","64",".13%"
"136
Thomas County","237",".52%","95.56%","11",".31%","4.44%","248",".50%"
"137
Tift County","305",".66%","95.02%","16",".46%","4.98%","321",".65%"
"138
Toombs County","273",".59%","92.23%","23",".65%","7.77%","296",".60%"
"139
Towns County","66",".14%","75.86%","21",".60%","24.14%","87",".18%"
"140
Treutlen County","63",".14%","91.30%","6",".17%","8.70%","69",".14%"
"141
Troup County","597","1.30%","92.27%","50","1.42%","7.73%","647","1.31%"
"142
Turner County","56",".12%","93.33%","4",".11%","6.67%","60",".12%"
"143
Twiggs County","39",".08%","92.86%","3",".09%","7.14%","42",".08%"
"144
Union County","80",".17%","86.02%","13",".37%","13.98%","93",".19%"
"145
Upson County","189",".41%","91.30%","18",".51%","8.70%","207",".42%"
"146
Walker County","440",".96%","91.29%","42","1.19%","8.71%","482",".98%"
"147
Walton County","626","1.36%","92.06%","54","1.54%","7.94%","680","1.38%"
"148
Ware County","266",".58%","90.17%","29",".82%","9.83%","295",".60%"
"149
Warren County","32",".07%","91.43%","3",".09%","8.57%","35",".07%"
"150
Washington County","181",".39%","92.82%","14",".40%","7.18%","195",".39%"
"151
Wayne County","183",".40%","90.15%","20",".57%","9.85%","203",".41%"
