"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","545","1.10%","93.00%","41","1.16%","7.00%","586","1.10%"
"039
Crawford County","20",".04%","100.00%","","","","20",".04%"
"040
Crisp County","274",".55%","94.81%","15",".43%","5.19%","289",".54%"
"041
Dade County","98",".20%","94.23%","6",".17%","5.77%","104",".20%"
"042
Dawson County","94",".19%","87.85%","13",".37%","12.15%","107",".20%"
"043
Decatur County","268",".54%","92.73%","21",".60%","7.27%","289",".54%"
"044
Dekalb County","3,163","6.38%","94.93%","169","4.80%","5.07%","3,332","6.28%"
"045
Dodge County","140",".28%","93.33%","10",".28%","6.67%","150",".28%"
"046
Dooly County","87",".18%","93.55%","6",".17%","6.45%","93",".18%"
"047
Dougherty County","979","1.98%","92.88%","75","2.13%","7.12%","1,054","1.99%"
"048
Douglas County","1,188","2.40%","90.76%","121","3.44%","9.24%","1,309","2.47%"
"049
Early County","98",".20%","97.03%","3",".09%","2.97%","101",".19%"
"050
Echols County","12",".02%","92.31%","1",".03%","7.69%","13",".02%"
"051
Effingham County","188",".38%","94.00%","12",".34%","6.00%","200",".38%"
"052
Elbert County","137",".28%","93.84%","9",".26%","6.16%","146",".28%"
"053
Emanuel County","168",".34%","92.31%","14",".40%","7.69%","182",".34%"
"054
Evans County","90",".18%","94.74%","5",".14%","5.26%","95",".18%"
"055
Fannin County","91",".18%","86.67%","14",".40%","13.33%","105",".20%"
"056
Fayette County","342",".69%","90.96%","34",".97%","9.04%","376",".71%"
"057
Floyd County","802","1.62%","89.51%","94","2.67%","10.49%","896","1.69%"
"058
Forsyth County","357",".72%","91.54%","33",".94%","8.46%","390",".73%"
"059
Franklin County","142",".29%","93.42%","10",".28%","6.58%","152",".29%"
"060
Fulton County","4,903","9.89%","96.10%","199","5.65%","3.90%","5,102","9.61%"
"061
Gilmer County","109",".22%","91.60%","10",".28%","8.40%","119",".22%"
"062
Glascock County","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"063
Glynn County","503","1.01%","93.84%","33",".94%","6.16%","536","1.01%"
"064
Gordon County","389",".78%","88.21%","52","1.48%","11.79%","441",".83%"
"065
Grady County","174",".35%","95.60%","8",".23%","4.40%","182",".34%"
"066
Greene County","126",".25%","91.97%","11",".31%","8.03%","137",".26%"
"067
Gwinnett County","2,298","4.64%","93.19%","168","4.77%","6.81%","2,466","4.65%"
"068
Habersham County","100",".20%","97.09%","3",".09%","2.91%","103",".19%"
"069
Hall County","731","1.47%","91.15%","71","2.02%","8.85%","802","1.51%"
"070
Hancock County","38",".08%","95.00%","2",".06%","5.00%","40",".08%"
"071
Haralson County","171",".35%","93.44%","12",".34%","6.56%","183",".34%"
"072
Harris County","107",".22%","92.24%","9",".26%","7.76%","116",".22%"
"073
Hart County","157",".32%","95.15%","8",".23%","4.85%","165",".31%"
"074
Heard County","50",".10%","92.59%","4",".11%","7.41%","54",".10%"
"075
Henry County","509","1.03%","91.22%","49","1.39%","8.78%","558","1.05%"
