"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152 
Webster County","10",".02%","100.00%","","","","10",".02%"
"153 
Wheeler County","27",".06%","84.38%","5",".14%","15.63%","32",".06%"
"154 
White County","84",".18%","92.31%","7",".19%","7.69%","91",".18%"
"155 
Whitfield County","803","1.72%","85.88%","132","3.67%","14.12%","935","1.86%"
"156 
Wilcox County","71",".15%","88.75%","9",".25%","11.25%","80",".16%"
"157 
Wilkes County","60",".13%","98.36%","1",".03%","1.64%","61",".12%"
"158 
Wilkinson County","46",".10%","95.83%","2",".06%","4.17%","48",".10%"
"159 
Worth County","131",".28%","90.97%","13",".36%","9.03%","144",".29%"
"Total Rported","46,697","100%","92.84%","3,601","100%","7.16%","50,298","100%"
