"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"39
Crawford","22",".04%","84.62%","4",".11%","15.38%","26",".05%"
"40
Crisp","289",".57%","93.23%","21",".59%","6.77%","310",".57%"
"41
Dade","152",".30%","96.20%","6",".17%","3.80%","158",".29%"
"42
Dawson","92",".18%","89.32%","11",".31%","10.68%","103",".19%"
"43
Decatur","314",".62%","92.63%","25",".70%","7.37%","339",".63%"
"44
Dekalb","3,030","5.99%","95.07%","157","4.41%","4.93%","3,187","5.88%"
"45
Dodge","163",".32%","92.61%","13",".36%","7.39%","176",".32%"
"46
Dooly","101",".20%","94.39%","6",".17%","5.61%","107",".20%"
"47
Dougherty","1,048","2.07%","95.36%","51","1.43%","4.64%","1,099","2.03%"
"48
Douglas","1,116","2.20%","90.44%","118","3.31%","9.56%","1,234","2.28%"
"49
Early","83",".16%","100.00%","","","","83",".15%"
"50
Echols","10",".02%","100.00%","","","","10",".02%"
"51
Effingham","143",".28%","91.08%","14",".39%","8.92%","157",".29%"
"52
Elbert","142",".28%","92.81%","11",".31%","7.19%","153",".28%"
"53
Emanuel","168",".33%","95.45%","8",".22%","4.55%","176",".32%"
"54
Evans","87",".17%","97.75%","2",".06%","2.25%","89",".16%"
"55
Fannin","117",".23%","92.86%","9",".25%","7.14%","126",".23%"
"56
Fayette","322",".64%","92.26%","27",".76%","7.74%","349",".64%"
"57
Floyd","869","1.72%","89.77%","99","2.78%","10.23%","968","1.79%"
"58
Forsyth","314",".62%","88.70%","40","1.12%","11.30%","354",".65%"
"59
Franklin","172",".34%","93.48%","12",".34%","6.52%","184",".34%"
"60
Fulton","4,276","8.45%","96.74%","144","4.04%","3.26%","4,420","8.16%"
"61
Gilmer","113",".22%","90.40%","12",".34%","9.60%","125",".23%"
"62
Glascock","4",".01%","80.00%","1",".03%","20.00%","5",".01%"
"63
Glynn","444",".88%","95.90%","19",".53%","4.10%","463",".85%"
"64
Gordon","328",".65%","91.62%","30",".84%","8.38%","358",".66%"
"65
Grady","244",".48%","94.94%","13",".36%","5.06%","257",".47%"
"66
Greene","114",".23%","94.21%","7",".20%","5.79%","121",".22%"
"67
Gwinnett","1,816","3.59%","93.08%","135","3.79%","6.92%","1,951","3.60%"
"68
Habersham","127",".25%","93.38%","9",".25%","6.62%","136",".25%"
"69
Hall","808","1.60%","92.03%","70","1.96%","7.97%","878","1.62%"
"70
Hancock","32",".06%","91.43%","3",".08%","8.57%","35",".06%"
"71
Haralson","93",".18%","94.90%","5",".14%","5.10%","98",".18%"
"72
Harris","135",".27%","95.74%","6",".17%","4.26%","141",".26%"
"73
Hart","107",".21%","94.69%","6",".17%","5.31%","113",".21%"
"74
Heard","59",".12%","84.29%","11",".31%","15.71%","70",".13%"
"75
Henry","617","1.22%","91.68%","56","1.57%","8.32%","673","1.24%"
"76
Houston","643","1.27%","93.87%","42","1.18%","6.13%","685","1.26%"
