"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","6",".01%","75.00%","2",".07%","25.00%","8",".02%"
"153
Wheeler County","18",".04%","94.74%","1",".03%","5.26%","19",".04%"
"154
White County","79",".18%","95.18%","4",".14%","4.82%","83",".18%"
"155
Whitfield County","657","1.51%","87.95%","90","3.05%","12.05%","747","1.61%"
"156
Wilcox County","50",".12%","94.34%","3",".10%","5.66%","53",".11%"
"157
Wilkes County","57",".13%","96.61%","2",".07%","3.39%","59",".13%"
"158
Wilkinson County","38",".09%","97.44%","1",".03%","2.56%","39",".08%"
"159
Worth County","123",".28%","89.78%","14",".48%","10.22%","137",".30%"
"Total Rported","43,369","100%","93.64%","2,946","100%","6.36%","46,315","100%"
