"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","38",".07%","90.48%","4",".10%","9.52%","42",".08%"
"115
Polk County","179",".35%","94.71%","10",".26%","5.29%","189",".35%"
"116
Pulaski County","47",".09%","95.92%","2",".05%","4.08%","49",".09%"
"117
Putnam County","152",".30%","92.68%","12",".31%","7.32%","164",".30%"
"118
Quitman County","11",".02%","100.00%","","","","11",".02%"
"119
Rabun County","56",".11%","87.50%","8",".21%","12.50%","64",".12%"
"120
Randolph County","69",".14%","94.52%","4",".10%","5.48%","73",".13%"
"121
Richmond County","2,006","3.96%","94.27%","122","3.20%","5.73%","2,128","3.91%"
"122
Rockdale County","470",".93%","91.98%","41","1.08%","8.02%","511",".94%"
"123
Schley County","13",".03%","100.00%","","","","13",".02%"
"124
Screven County","135",".27%","97.12%","4",".10%","2.88%","139",".26%"
"125
Seminole County","71",".14%","83.53%","14",".37%","16.47%","85",".16%"
"126
Spalding County","508","1.00%","92.70%","40","1.05%","7.30%","548","1.01%"
"127
Stephens County","165",".33%","91.67%","15",".39%","8.33%","180",".33%"
"128
Stewart County","35",".07%","97.22%","1",".03%","2.78%","36",".07%"
"129
Sumter County","190",".37%","95.48%","9",".24%","4.52%","199",".37%"
"130
Talbot County","44",".09%","95.65%","2",".05%","4.35%","46",".08%"
"131
Taliaferro County","17",".03%","94.44%","1",".03%","5.56%","18",".03%"
"132
Tattnall County","188",".37%","90.38%","20",".52%","9.62%","208",".38%"
"133
Taylor County","70",".14%","94.59%","4",".10%","5.41%","74",".14%"
"134
Telfair County","108",".21%","90.76%","11",".29%","9.24%","119",".22%"
"135
Terrell County","96",".19%","95.05%","5",".13%","4.95%","101",".19%"
"136
Thomas County","226",".45%","94.17%","14",".37%","5.83%","240",".44%"
"137
Tift County","350",".69%","94.09%","22",".58%","5.91%","372",".68%"
"138
Toombs County","321",".63%","91.71%","29",".76%","8.29%","350",".64%"
"139
Towns County","33",".07%","68.75%","15",".39%","31.25%","48",".09%"
"140
Treutlen County","76",".15%","95.00%","4",".10%","5.00%","80",".15%"
"141
Troup County","596","1.18%","92.69%","47","1.23%","7.31%","643","1.18%"
"142
Turner County","71",".14%","97.26%","2",".05%","2.74%","73",".13%"
"143
Twiggs County","58",".11%","95.08%","3",".08%","4.92%","61",".11%"
"144
Union County","75",".15%","92.59%","6",".16%","7.41%","81",".15%"
"145
Upson County","170",".34%","92.39%","14",".37%","7.61%","184",".34%"
"146
Walker County","430",".85%","88.66%","55","1.44%","11.34%","485",".89%"
"147
Walton County","527","1.04%","91.81%","47","1.23%","8.19%","574","1.05%"
"148
Ware County","385",".76%","91.02%","38","1.00%","8.98%","423",".78%"
"149
Warren County","34",".07%","100.00%","","","","34",".06%"
"150
Washington County","181",".36%","90.50%","19",".50%","9.50%","200",".37%"
"151
Wayne County","137",".27%","91.95%","12",".31%","8.05%","149",".27%"
