"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"115
Polk","149",".30%","94.30%","9",".24%","5.70%","158",".30%"
"116
Pulaski","83",".17%","89.25%","10",".27%","10.75%","93",".17%"
"117
Putnam","138",".28%","94.52%","8",".21%","5.48%","146",".27%"
"118
Quitman","17",".03%","89.47%","2",".05%","10.53%","19",".04%"
"119
Rabun","46",".09%","76.67%","14",".37%","23.33%","60",".11%"
"120
Randolph","57",".12%","93.44%","4",".11%","6.56%","61",".11%"
"121
Richmond","1,705","3.44%","93.73%","114","3.05%","6.27%","1,819","3.41%"
"122
Rockdale","459",".93%","90.18%","50","1.34%","9.82%","509",".96%"
"123
Schley","26",".05%","100.00%","","","","26",".05%"
"124
Screven","126",".25%","92.65%","10",".27%","7.35%","136",".26%"
"125
Seminole","65",".13%","87.84%","9",".24%","12.16%","74",".14%"
"126
Spalding","577","1.16%","91.59%","53","1.42%","8.41%","630","1.18%"
"127
Stephens","172",".35%","89.58%","20",".54%","10.42%","192",".36%"
"128
Stewart","34",".07%","91.89%","3",".08%","8.11%","37",".07%"
"129
Sumter","251",".51%","96.91%","8",".21%","3.09%","259",".49%"
"130
Talbot","62",".13%","93.94%","4",".11%","6.06%","66",".12%"
"131
Taliaferro","26",".05%","92.86%","2",".05%","7.14%","28",".05%"
"132
Tattnall","179",".36%","93.72%","12",".32%","6.28%","191",".36%"
"133
Taylor","84",".17%","92.31%","7",".19%","7.69%","91",".17%"
"134
Telfair","109",".22%","91.60%","10",".27%","8.40%","119",".22%"
"135
Terrell","76",".15%","96.20%","3",".08%","3.80%","79",".15%"
"136
Thomas","264",".53%","92.31%","22",".59%","7.69%","286",".54%"
"137
Tift","319",".64%","95.22%","16",".43%","4.78%","335",".63%"
"138
Toombs","306",".62%","91.89%","27",".72%","8.11%","333",".63%"
"139
Towns","46",".09%","92.00%","4",".11%","8.00%","50",".09%"
"140
Treutlen","82",".17%","95.35%","4",".11%","4.65%","86",".16%"
"141
Troup","697","1.41%","91.47%","65","1.74%","8.53%","762","1.43%"
"142
Turner","72",".15%","98.63%","1",".03%","1.37%","73",".14%"
"143
Twiggs","64",".13%","85.33%","11",".29%","14.67%","75",".14%"
"144
Union","80",".16%","82.47%","17",".46%","17.53%","97",".18%"
"145
Upson","211",".43%","90.95%","21",".56%","9.05%","232",".44%"
"146
Walker","407",".82%","88.67%","52","1.39%","11.33%","459",".86%"
"147
Walton","438",".88%","91.25%","42","1.12%","8.75%","480",".90%"
"148
Ware","315",".64%","95.17%","16",".43%","4.83%","331",".62%"
"149
Warren","48",".10%","94.12%","3",".08%","5.88%","51",".10%"
"150
Washington","124",".25%","92.54%","10",".27%","7.46%","134",".25%"
"151
Wayne","168",".34%","91.80%","15",".40%","8.20%","183",".34%"
"152
Webster","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
