"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","36",".07%","85.71%","6",".15%","14.29%","42",".08%"
"115
Polk County","194",".38%","93.72%","13",".33%","6.28%","207",".38%"
"116
Pulaski County","50",".10%","94.34%","3",".08%","5.66%","53",".10%"
"117
Putnam County","156",".31%","89.66%","18",".46%","10.34%","174",".32%"
"118
Quitman County","15",".03%","100.00%","","","","15",".03%"
"119
Rabun County","63",".12%","90.00%","7",".18%","10.00%","70",".13%"
"120
Randolph County","61",".12%","95.31%","3",".08%","4.69%","64",".12%"
"121
Richmond County","1,952","3.83%","93.85%","128","3.26%","6.15%","2,080","3.79%"
"122
Rockdale County","493",".97%","92.50%","40","1.02%","7.50%","533",".97%"
"123
Schley County","12",".02%","80.00%","3",".08%","20.00%","15",".03%"
"124
Screven County","118",".23%","96.72%","4",".10%","3.28%","122",".22%"
"125
Seminole County","73",".14%","86.90%","11",".28%","13.10%","84",".15%"
"126
Spalding County","533","1.05%","92.37%","44","1.12%","7.63%","577","1.05%"
"127
Stephens County","179",".35%","86.89%","27",".69%","13.11%","206",".38%"
"128
Stewart County","33",".06%","97.06%","1",".03%","2.94%","34",".06%"
"129
Sumter County","199",".39%","94.31%","12",".31%","5.69%","211",".38%"
"130
Talbot County","35",".07%","92.11%","3",".08%","7.89%","38",".07%"
"131
Taliaferro County","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"132
Tattnall County","194",".38%","93.72%","13",".33%","6.28%","207",".38%"
"133
Taylor County","70",".14%","92.11%","6",".15%","7.89%","76",".14%"
"134
Telfair County","98",".19%","94.23%","6",".15%","5.77%","104",".19%"
"135
Terrell County","91",".18%","94.79%","5",".13%","5.21%","96",".17%"
"136
Thomas County","197",".39%","96.57%","7",".18%","3.43%","204",".37%"
"137
Tift County","309",".61%","94.50%","18",".46%","5.50%","327",".60%"
"138
Toombs County","335",".66%","90.30%","36",".92%","9.70%","371",".68%"
"139
Towns County","57",".11%","77.03%","17",".43%","22.97%","74",".13%"
"140
Treutlen County","74",".15%","94.87%","4",".10%","5.13%","78",".14%"
"141
Troup County","685","1.34%","91.82%","61","1.55%","8.18%","746","1.36%"
"142
Turner County","65",".13%","97.01%","2",".05%","2.99%","67",".12%"
"143
Twiggs County","55",".11%","96.49%","2",".05%","3.51%","57",".10%"
"144
Union County","93",".18%","83.78%","18",".46%","16.22%","111",".20%"
"145
Upson County","168",".33%","95.45%","8",".20%","4.55%","176",".32%"
"146
Walker County","424",".83%","90.79%","43","1.09%","9.21%","467",".85%"
"147
Walton County","563","1.11%","90.08%","62","1.58%","9.92%","625","1.14%"
"148
Ware County","319",".63%","92.73%","25",".64%","7.27%","344",".63%"
"149
Warren County","42",".08%","95.45%","2",".05%","4.55%","44",".08%"
"150
Washington County","198",".39%","90.00%","22",".56%","10.00%","220",".40%"
"151
Wayne County","171",".34%","91.94%","15",".38%","8.06%","186",".34%"
