"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"135   Terrell County","53","0.11%","94.64%","3","0.07%","5.36%","56","0.1%"
"136   Thomas County","223","0.45%","94.89%","12","0.3%","5.11%","235","0.44%"
"137   Tift County","274","0.55%","95.8%","12","0.3%","4.2%","286","0.53%"
"138   Toombs County","301","0.61%","92.9%","23","0.57%","7.1%","324","0.6%"
"139   Towns County","49","0.1%","79.03%","13","0.32%","20.97%","62","0.12%"
"140   Treutlen County","64","0.13%","95.52%","3","0.07%","4.48%","67","0.13%"
"141   Troup County","618","1.25%","91.96%","54","1.34%","8.04%","672","1.25%"
"142   Turner County","68","0.14%","94.44%","4","0.1%","5.56%","72","0.13%"
"143   Twiggs County","36","0.07%","87.8%","5","0.12%","12.2%","41","0.08%"
"144   Union County","86","0.17%","87.76%","12","0.3%","12.24%","98","0.18%"
"145   Upson County","219","0.44%","92.8%","17","0.42%","7.2%","236","0.44%"
"146   Walker County","387","0.78%","91.49%","36","0.9%","8.51%","423","0.79%"
"147   Walton County","661","1.33%","90.92%","66","1.64%","9.08%","727","1.36%"
"148   Ware County","268","0.54%","89.63%","31","0.77%","10.37%","299","0.56%"
"149   Warren County","32","0.06%","96.97%","1","0.02%","3.03%","33","0.06%"
"150   Washington County","177","0.36%","93.16%","13","0.32%","6.84%","190","0.35%"
"151   Wayne County","181","0.37%","87.02%","27","0.67%","12.98%","208","0.39%"
"152   Webster County","13","0.03%","100.0%","","","","13","0.02%"
"153   Wheeler County","25","0.05%","92.59%","2","0.05%","7.41%","27","0.05%"
"154   White County","99","0.2%","91.67%","9","0.22%","8.33%","108","0.2%"
"155   Whitfield County","734","1.48%","87.28%","107","2.66%","12.72%","841","1.57%"
"156   Wilcox County","59","0.12%","92.19%","5","0.12%","7.81%","64","0.12%"
"157   Wilkes County","79","0.16%","97.53%","2","0.05%","2.47%","81","0.15%"
"158   Wilkinson County","38","0.08%","97.44%","1","0.02%","2.56%","39","0.07%"
"159   Worth County","132","0.27%","91.03%","13","0.32%","8.97%","145","0.27%"
"Total Reported","49,574","100.00%","92.51%","4,016","100.00%","7.49%","53,590","100.00%"
