"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","7",".02%","77.78%","2",".06%","22.22%","9",".02%"
"153
Wheeler County","15",".03%","100.00%","","","","15",".03%"
"154
White County","92",".20%","92.00%","8",".24%","8.00%","100",".20%"
"155
Whitfield County","673","1.45%","87.29%","98","2.94%","12.71%","771","1.55%"
"156
Wilcox County","53",".11%","94.64%","3",".09%","5.36%","56",".11%"
"157
Wilkes County","57",".12%","96.61%","2",".06%","3.39%","59",".12%"
"158
Wilkinson County","42",".09%","95.45%","2",".06%","4.55%","44",".09%"
"159
Worth County","124",".27%","91.85%","11",".33%","8.15%","135",".27%"
"Total Rported","46,524","100%","93.32%","3,330","100%","6.68%","49,854","100%"
