"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","542","1.02%","91.55%","50","1.28%","8.45%","592","1.04%"
"039
Crawford County","21",".04%","95.45%","1",".03%","4.55%","22",".04%"
"040
Crisp County","268",".51%","92.41%","22",".56%","7.59%","290",".51%"
"041
Dade County","138",".26%","90.79%","14",".36%","9.21%","152",".27%"
"042
Dawson County","121",".23%","92.37%","10",".26%","7.63%","131",".23%"
"043
Decatur County","307",".58%","90.56%","32",".82%","9.44%","339",".60%"
"044
Dekalb County","3,168","5.98%","94.99%","167","4.27%","5.01%","3,335","5.86%"
"045
Dodge County","166",".31%","94.32%","10",".26%","5.68%","176",".31%"
"046
Dooly County","92",".17%","94.85%","5",".13%","5.15%","97",".17%"
"047
Dougherty County","1,034","1.95%","94.95%","55","1.41%","5.05%","1,089","1.91%"
"048
Douglas County","1,271","2.40%","88.76%","161","4.12%","11.24%","1,432","2.52%"
"049
Early County","105",".20%","97.22%","3",".08%","2.78%","108",".19%"
"050
Echols County","8",".02%","100.00%","","","","8",".01%"
"051
Effingham County","174",".33%","92.06%","15",".38%","7.94%","189",".33%"
"052
Elbert County","147",".28%","91.88%","13",".33%","8.13%","160",".28%"
"053
Emanuel County","177",".33%","92.67%","14",".36%","7.33%","191",".34%"
"054
Evans County","111",".21%","97.37%","3",".08%","2.63%","114",".20%"
"055
Fannin County","111",".21%","91.74%","10",".26%","8.26%","121",".21%"
"056
Fayette County","402",".76%","91.78%","36",".92%","8.22%","438",".77%"
"057
Floyd County","814","1.54%","89.85%","92","2.35%","10.15%","906","1.59%"
"058
Forsyth County","324",".61%","85.49%","55","1.41%","14.51%","379",".67%"
"059
Franklin County","139",".26%","90.85%","14",".36%","9.15%","153",".27%"
"060
Fulton County","5,193","9.80%","95.94%","220","5.62%","4.06%","5,413","9.51%"
"061
Gilmer County","131",".25%","90.97%","13",".33%","9.03%","144",".25%"
"062
Glascock County","7",".01%","87.50%","1",".03%","12.50%","8",".01%"
"063
Glynn County","414",".78%","94.31%","25",".64%","5.69%","439",".77%"
"064
Gordon County","325",".61%","89.29%","39","1.00%","10.71%","364",".64%"
"065
Grady County","227",".43%","93.80%","15",".38%","6.20%","242",".43%"
"066
Greene County","156",".29%","91.76%","14",".36%","8.24%","170",".30%"
"067
Gwinnett County","2,460","4.64%","92.55%","198","5.06%","7.45%","2,658","4.67%"
"068
Habersham County","111",".21%","94.87%","6",".15%","5.13%","117",".21%"
"069
Hall County","736","1.39%","92.46%","60","1.53%","7.54%","796","1.40%"
"070
Hancock County","40",".08%","100.00%","","","","40",".07%"
"071
Haralson County","107",".20%","93.04%","8",".20%","6.96%","115",".20%"
"072
Harris County","118",".22%","95.93%","5",".13%","4.07%","123",".22%"
"073
Hart County","118",".22%","95.16%","6",".15%","4.84%","124",".22%"
"074
Heard County","58",".11%","92.06%","5",".13%","7.94%","63",".11%"
"075
Henry County","616","1.16%","89.80%","70","1.79%","10.20%","686","1.21%"
