"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","88",".19%","94.62%","5",".15%","5.38%","93",".18%"
"Atkinson","40",".08%","97.56%","1",".03%","2.44%","41",".08%"
"Bacon","57",".12%","98.28%","1",".03%","1.72%","58",".11%"
"Baker","10",".02%","90.91%","1",".03%","9.09%","11",".02%"
"Baldwin
1 2 3 4 5 6 7 8 9 1","346",".73%","96.11%","14",".41%","3.89%","360",".71%"
"Banks","73",".15%","91.25%","7",".21%","8.75%","80",".16%"
"Barrow","240",".51%","95.24%","12",".35%","4.76%","252",".50%"
"Bartow","532","1.12%","89.86%","60","1.77%","10.14%","592","1.17%"
"Ben Hill","243",".51%","94.55%","14",".41%","5.45%","257",".51%"
"0
Berrien","82",".17%","88.17%","11",".32%","11.83%","93",".18%"
"11
Bibb","1,016","2.15%","95.04%","53","1.56%","4.96%","1,069","2.11%"
"12
Bleckley","104",".22%","88.14%","14",".41%","11.86%","118",".23%"
"13
Brantley","57",".12%","95.00%","3",".09%","5.00%","60",".12%"
"14
Brooks","69",".15%","100.00%","","","","69",".14%"
"15
Bryan","94",".20%","92.16%","8",".24%","7.84%","102",".20%"
"16
Bulloch","468",".99%","94.35%","28",".82%","5.65%","496",".98%"
"17
Burke","200",".42%","94.34%","12",".35%","5.66%","212",".42%"
"18
Butts","140",".30%","95.89%","6",".18%","4.11%","146",".29%"
"19
Calhoun","37",".08%","92.50%","3",".09%","7.50%","40",".08%"
"20
Camden","133",".28%","95.00%","7",".21%","5.00%","140",".28%"
"21
Candler","81",".17%","94.19%","5",".15%","5.81%","86",".17%"
"22
Carroll","545","1.15%","91.44%","51","1.50%","8.56%","596","1.17%"
"23
Catoosa","259",".55%","91.20%","25",".74%","8.80%","284",".56%"
"24
Charlton","56",".12%","93.33%","4",".12%","6.67%","60",".12%"
"25
Chatham","2,324","4.91%","94.66%","131","3.86%","5.34%","2,455","4.84%"
"26
Chattahoochee","24",".05%","100.00%","","","","24",".05%"
"27
Chattooga","221",".47%","88.40%","29",".85%","11.60%","250",".49%"
"28
Cherokee","549","1.16%","91.50%","51","1.50%","8.50%","600","1.18%"
"29
Clarke","470",".99%","93.44%","33",".97%","6.56%","503",".99%"
"30
Clay","27",".06%","93.10%","2",".06%","6.90%","29",".06%"
"31
Clayton","1,521","3.21%","92.41%","125","3.68%","7.59%","1,646","3.24%"
"32
Clinch","44",".09%","91.67%","4",".12%","8.33%","48",".09%"
"33
Cobb","2,531","5.35%","91.47%","236","6.95%","8.53%","2,767","5.45%"
"34
Coffee","218",".46%","90.46%","23",".68%","9.54%","241",".47%"
"35
Colquitt","308",".65%","96.25%","12",".35%","3.75%","320",".63%"
"36
Columbia","284",".60%","93.11%","21",".62%","6.89%","305",".60%"
"37
Cook","132",".28%","96.35%","5",".15%","3.65%","137",".27%"
"38
Coweta","507","1.07%","93.37%","36","1.06%","6.63%","543","1.07%"
