"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","197",".45%","92.49%","16",".51%","7.51%","213",".45%"
"Appling County","110",".25%","98.21%","2",".06%","1.79%","112",".24%"
"Atkinson County","40",".09%","95.24%","2",".06%","4.76%","42",".09%"
"Bacon County","69",".16%","93.24%","5",".16%","6.76%","74",".16%"
"Baker County","15",".03%","88.24%","2",".06%","11.76%","17",".04%"
"Baldwin County","280",".64%","91.21%","27",".87%","8.79%","307",".65%"
"Banks County","50",".11%","83.33%","10",".32%","16.67%","60",".13%"
"Barrow County","341",".78%","91.42%","32","1.03%","8.58%","373",".79%"
"Bartow County","601","1.37%","89.17%","73","2.35%","10.83%","674","1.43%"
"Ben Hill County","244",".56%","93.13%","18",".58%","6.87%","262",".56%"
"Berrien County","93",".21%","94.90%","5",".16%","5.10%","98",".21%"
"Bibb County","940","2.14%","95.24%","47","1.51%","4.76%","987","2.10%"
"Bleckley County","56",".13%","93.33%","4",".13%","6.67%","60",".13%"
"Brantley County","88",".20%","88.89%","11",".35%","11.11%","99",".21%"
"Brooks County","42",".10%","97.67%","1",".03%","2.33%","43",".09%"
"Bryan County","45",".10%","93.75%","3",".10%","6.25%","48",".10%"
"Bulloch County","436",".99%","92.77%","34","1.09%","7.23%","470","1.00%"
"Burke County","197",".45%","96.57%","7",".23%","3.43%","204",".43%"
"Butts County","128",".29%","91.43%","12",".39%","8.57%","140",".30%"
"Calhoun County","27",".06%","93.10%","2",".06%","6.90%","29",".06%"
"Camden County","170",".39%","94.97%","9",".29%","5.03%","179",".38%"
"Candler County","95",".22%","95.00%","5",".16%","5.00%","100",".21%"
"Carroll County","563","1.28%","93.21%","41","1.32%","6.79%","604","1.28%"
"Catoosa County","348",".79%","93.80%","23",".74%","6.20%","371",".79%"
"Charlton County","59",".13%","85.51%","10",".32%","14.49%","69",".15%"
"Chatham County","1,521","3.46%","96.45%","56","1.80%","3.55%","1,577","3.35%"
"Chattahoochee County","13",".03%","100.00%","","","","13",".03%"
"Chattooga County","169",".38%","89.89%","19",".61%","10.11%","188",".40%"
"Cherokee County","481","1.09%","92.68%","38","1.22%","7.32%","519","1.10%"
"Clarke County","449","1.02%","94.13%","28",".90%","5.87%","477","1.01%"
"Clay County","13",".03%","81.25%","3",".10%","18.75%","16",".03%"
"Clayton County","1,082","2.46%","93.36%","77","2.48%","6.64%","1,159","2.46%"
"Clinch County","36",".08%","94.74%","2",".06%","5.26%","38",".08%"
"Cobb County","2,110","4.80%","93.99%","135","4.34%","6.01%","2,245","4.77%"
"Coffee County","289",".66%","94.14%","18",".58%","5.86%","307",".65%"
"Colquitt County","228",".52%","94.21%","14",".45%","5.79%","242",".51%"
"Columbia County","345",".79%","91.51%","32","1.03%","8.49%","377",".80%"
"Cook County","111",".25%","92.50%","9",".29%","7.50%","120",".26%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","539","1.23%","94.07%","34","1.09%","5.93%","573","1.22%"
"Crawford County","22",".05%","100.00%","","","","22",".05%"
"Crisp County","337",".77%","93.61%","23",".74%","6.39%","360",".77%"
"Dade County","83",".19%","89.25%","10",".32%","10.75%","93",".20%"
"Dawson County","100",".23%","90.09%","11",".35%","9.91%","111",".24%"
"Decatur County","234",".53%","94.74%","13",".42%","5.26%","247",".52%"
"Dekalb County","2,327","5.30%","95.41%","112","3.60%","4.59%","2,439","5.18%"
"Dodge County","100",".23%","86.21%","16",".51%","13.79%","116",".25%"
"Dooly County","126",".29%","91.30%","12",".39%","8.70%","138",".29%"
"Dougherty County","711","1.62%","95.44%","34","1.09%","4.56%","745","1.58%"
"Douglas County","891","2.03%","92.43%","73","2.35%","7.57%","964","2.05%"
"Early County","83",".19%","97.65%","2",".06%","2.35%","85",".18%"
"Echols County","13",".03%","100.00%","","","","13",".03%"
"Effingham County","215",".49%","90.34%","23",".74%","9.66%","238",".51%"
"Elbert County","127",".29%","95.49%","6",".19%","4.51%","133",".28%"
"Emanuel County","163",".37%","93.68%","11",".35%","6.32%","174",".37%"
