"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","81",".18%","96.43%","3",".11%","3.57%","84",".17%"
"Atkinson","39",".09%","95.12%","2",".07%","4.88%","41",".09%"
"Bacon","50",".11%","92.59%","4",".14%","7.41%","54",".11%"
"Baker","17",".04%","94.44%","1",".04%","5.56%","18",".04%"
"Baldwin
1 2 3 4 5 6 7 8 9 1","335",".74%","94.10%","21",".74%","5.90%","356",".74%"
"Banks","68",".15%","93.15%","5",".18%","6.85%","73",".15%"
"Barrow","207",".46%","95.83%","9",".32%","4.17%","216",".45%"
"Bartow","486","1.07%","90.84%","49","1.74%","9.16%","535","1.11%"
"Ben Hill","208",".46%","91.23%","20",".71%","8.77%","228",".47%"
"0
Berrien","80",".18%","89.89%","9",".32%","10.11%","89",".19%"
"11
Bibb","975","2.15%","94.94%","52","1.84%","5.06%","1,027","2.14%"
"12
Bleckley","103",".23%","91.15%","10",".35%","8.85%","113",".24%"
"13
Brantley","53",".12%","92.98%","4",".14%","7.02%","57",".12%"
"14
Brooks","70",".15%","100.00%","","","","70",".15%"
"15
Bryan","97",".21%","96.04%","4",".14%","3.96%","101",".21%"
"16
Bulloch","409",".90%","92.95%","31","1.10%","7.05%","440",".92%"
"17
Burke","194",".43%","98.48%","3",".11%","1.52%","197",".41%"
"18
Butts","117",".26%","96.69%","4",".14%","3.31%","121",".25%"
"19
Calhoun","33",".07%","91.67%","3",".11%","8.33%","36",".07%"
"20
Camden","112",".25%","98.25%","2",".07%","1.75%","114",".24%"
"21
Candler","67",".15%","98.53%","1",".04%","1.47%","68",".14%"
"22
Carroll","462","1.02%","92.40%","38","1.35%","7.60%","500","1.04%"
"23
Catoosa","229",".51%","90.16%","25",".89%","9.84%","254",".53%"
"24
Charlton","65",".14%","92.86%","5",".18%","7.14%","70",".15%"
"25
Chatham","2,294","5.07%","95.15%","117","4.15%","4.85%","2,411","5.02%"
"26
Chattahoochee","27",".06%","93.10%","2",".07%","6.90%","29",".06%"
"27
Chattooga","226",".50%","88.98%","28",".99%","11.02%","254",".53%"
"28
Cherokee","568","1.26%","91.47%","53","1.88%","8.53%","621","1.29%"
"29
Clarke","446",".99%","93.70%","30","1.06%","6.30%","476",".99%"
"30
Clay","27",".06%","96.43%","1",".04%","3.57%","28",".06%"
"31
Clayton","1,564","3.46%","93.93%","101","3.58%","6.07%","1,665","3.46%"
"32
Clinch","45",".10%","93.75%","3",".11%","6.25%","48",".10%"
"33
Cobb","2,301","5.09%","93.80%","152","5.39%","6.20%","2,453","5.10%"
"34
Coffee","210",".46%","90.13%","23",".82%","9.87%","233",".48%"
"35
Colquitt","273",".60%","96.13%","11",".39%","3.87%","284",".59%"
"36
Columbia","264",".58%","92.31%","22",".78%","7.69%","286",".59%"
"37
Cook","140",".31%","96.55%","5",".18%","3.45%","145",".30%"
"38
Coweta","473","1.05%","94.98%","25",".89%","5.02%","498","1.04%"
