"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","712","1.61%","91.28%","68","2.17%","8.72%","780","1.65%"
"077
Irwin County","59",".13%","98.33%","1",".03%","1.67%","60",".13%"
"078
Jackson County","243",".55%","91.01%","24",".77%","8.99%","267",".57%"
"079
Jasper County","54",".12%","96.43%","2",".06%","3.57%","56",".12%"
"080
Jeff Davis County","78",".18%","93.98%","5",".16%","6.02%","83",".18%"
"081
Jefferson County","135",".31%","93.10%","10",".32%","6.90%","145",".31%"
"082
Jenkins County","61",".14%","93.85%","4",".13%","6.15%","65",".14%"
"083
Johnson County","38",".09%","97.44%","1",".03%","2.56%","39",".08%"
"084
Jones County","163",".37%","87.63%","23",".73%","12.37%","186",".39%"
"085
Lamar County","76",".17%","87.36%","11",".35%","12.64%","87",".18%"
"086
Lanier County","52",".12%","92.86%","4",".13%","7.14%","56",".12%"
"087
Laurens County","254",".58%","92.03%","22",".70%","7.97%","276",".58%"
"088
Lee County","71",".16%","93.42%","5",".16%","6.58%","76",".16%"
"089
Liberty County","188",".43%","93.07%","14",".45%","6.93%","202",".43%"
"090
Lincoln County","35",".08%","92.11%","3",".10%","7.89%","38",".08%"
"091
Long County","63",".14%","92.65%","5",".16%","7.35%","68",".14%"
"092
Lowndes County","428",".97%","95.75%","19",".61%","4.25%","447",".95%"
"093
Lumpkin County","70",".16%","88.61%","9",".29%","11.39%","79",".17%"
"094
Macon County","42",".10%","91.30%","4",".13%","8.70%","46",".10%"
"095
Madison County","136",".31%","90.07%","15",".48%","9.93%","151",".32%"
"096
Marion County","23",".05%","95.83%","1",".03%","4.17%","24",".05%"
"097
Mcduffie County","164",".37%","94.80%","9",".29%","5.20%","173",".37%"
"098
Mcintosh County","55",".12%","91.67%","5",".16%","8.33%","60",".13%"
"099
Meriwether County","148",".34%","93.08%","11",".35%","6.92%","159",".34%"
"100
Miller County","32",".07%","100.00%","","","","32",".07%"
"101
Mitchell County","137",".31%","92.57%","11",".35%","7.43%","148",".31%"
"102
Monroe County","160",".36%","86.96%","24",".77%","13.04%","184",".39%"
"103
Montgomery County","25",".06%","96.15%","1",".03%","3.85%","26",".06%"
"104
Morgan County","142",".32%","90.45%","15",".48%","9.55%","157",".33%"
"105
Murray County","254",".58%","88.81%","32","1.02%","11.19%","286",".61%"
"106
Muscogee County","937","2.12%","94.93%","50","1.60%","5.07%","987","2.09%"
"107
Newton County","631","1.43%","92.12%","54","1.72%","7.88%","685","1.45%"
"108
Oconee County","45",".10%","100.00%","","","","45",".10%"
"109
Oglethorpe County","64",".15%","96.97%","2",".06%","3.03%","66",".14%"
"110
Paulding County","220",".50%","93.22%","16",".51%","6.78%","236",".50%"
"111
Peach County","58",".13%","93.55%","4",".13%","6.45%","62",".13%"
"112
Pickens County","98",".22%","89.09%","12",".38%","10.91%","110",".23%"
"113
Pierce County","108",".24%","95.58%","5",".16%","4.42%","113",".24%"
