"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152 
Webster County","15",".03%","93.75%","1",".03%","6.25%","16",".03%"
"153 
Wheeler County","25",".05%","80.65%","6",".15%","19.35%","31",".06%"
"154 
White County","98",".20%","93.33%","7",".18%","6.67%","105",".20%"
"155 
Whitfield County","805","1.65%","86.75%","123","3.12%","13.25%","928","1.76%"
"156 
Wilcox County","67",".14%","94.37%","4",".10%","5.63%","71",".13%"
"157 
Wilkes County","72",".15%","97.30%","2",".05%","2.70%","74",".14%"
"158 
Wilkinson County","38",".08%","97.44%","1",".03%","2.56%","39",".07%"
"159 
Worth County","128",".26%","92.75%","10",".25%","7.25%","138",".26%"
"Total Rported","48,763","100%","92.53%","3,937","100%","7.47%","52,700","100%"
