"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114 
Pike County","37",".08%","92.50%","3",".08%","7.50%","40",".08%"
"115 
Polk County","198",".41%","92.52%","16",".42%","7.48%","214",".41%"
"116 
Pulaski County","46",".10%","100.00%","","","","46",".09%"
"117 
Putnam County","152",".32%","92.68%","12",".32%","7.32%","164",".32%"
"118 
Quitman County","11",".02%","100.00%","","","","11",".02%"
"119 
Rabun County","57",".12%","86.36%","9",".24%","13.64%","66",".13%"
"120 
Randolph County","47",".10%","100.00%","","","","47",".09%"
"121 
Richmond County","1,622","3.39%","94.58%","93","2.45%","5.42%","1,715","3.32%"
"122 
Rockdale County","454",".95%","92.65%","36",".95%","7.35%","490",".95%"
"123 
Schley County","20",".04%","95.24%","1",".03%","4.76%","21",".04%"
"124 
Screven County","93",".19%","93.00%","7",".18%","7.00%","100",".19%"
"125 
Seminole County","66",".14%","92.96%","5",".13%","7.04%","71",".14%"
"126 
Spalding County","467",".97%","89.81%","53","1.39%","10.19%","520","1.01%"
"127 
Stephens County","118",".25%","94.40%","7",".18%","5.60%","125",".24%"
"128 
Stewart County","28",".06%","90.32%","3",".08%","9.68%","31",".06%"
"129 
Sumter County","201",".42%","96.17%","8",".21%","3.83%","209",".40%"
"130 
Talbot County","26",".05%","92.86%","2",".05%","7.14%","28",".05%"
"131 
Taliaferro County","16",".03%","94.12%","1",".03%","5.88%","17",".03%"
"132 
Tattnall County","216",".45%","90.38%","23",".60%","9.62%","239",".46%"
"133 
Taylor County","50",".10%","92.59%","4",".11%","7.41%","54",".10%"
"134 
Telfair County","98",".20%","89.09%","12",".32%","10.91%","110",".21%"
"135 
Terrell County","51",".11%","94.44%","3",".08%","5.56%","54",".10%"
"136 
Thomas County","229",".48%","95.82%","10",".26%","4.18%","239",".46%"
"137 
Tift County","330",".69%","95.10%","17",".45%","4.90%","347",".67%"
"138 
Toombs County","283",".59%","95.93%","12",".32%","4.07%","295",".57%"
"139 
Towns County","60",".13%","78.95%","16",".42%","21.05%","76",".15%"
"140 
Treutlen County","53",".11%","92.98%","4",".11%","7.02%","57",".11%"
"141 
Troup County","608","1.27%","92.54%","49","1.29%","7.46%","657","1.27%"
"142 
Turner County","61",".13%","95.31%","3",".08%","4.69%","64",".12%"
"143 
Twiggs County","42",".09%","91.30%","4",".11%","8.70%","46",".09%"
"144 
Union County","83",".17%","91.21%","8",".21%","8.79%","91",".18%"
"145 
Upson County","202",".42%","90.58%","21",".55%","9.42%","223",".43%"
"146 
Walker County","410",".86%","90.91%","41","1.08%","9.09%","451",".87%"
"147 
Walton County","662","1.38%","91.18%","64","1.68%","8.82%","726","1.40%"
"148 
Ware County","266",".56%","90.17%","29",".76%","9.83%","295",".57%"
"149 
Warren County","27",".06%","93.10%","2",".05%","6.90%","29",".06%"
"150 
Washington County","175",".37%","94.09%","11",".29%","5.91%","186",".36%"
"151 
Wayne County","196",".41%","89.91%","22",".58%","10.09%","218",".42%"
