"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","713","1.41%","94.06%","45","1.25%","5.94%","758","1.40%"
"077
Irwin County","76",".15%","93.83%","5",".14%","6.17%","81",".15%"
"078
Jackson County","261",".52%","92.23%","22",".61%","7.77%","283",".52%"
"079
Jasper County","58",".11%","89.23%","7",".19%","10.77%","65",".12%"
"080
Jeff Davis County","87",".17%","93.55%","6",".17%","6.45%","93",".17%"
"081
Jefferson County","174",".34%","97.75%","4",".11%","2.25%","178",".33%"
"082
Jenkins County","76",".15%","93.83%","5",".14%","6.17%","81",".15%"
"083
Johnson County","49",".10%","96.08%","2",".06%","3.92%","51",".09%"
"084
Jones County","220",".43%","88.71%","28",".78%","11.29%","248",".46%"
"085
Lamar County","74",".15%","91.36%","7",".19%","8.64%","81",".15%"
"086
Lanier County","47",".09%","97.92%","1",".03%","2.08%","48",".09%"
"087
Laurens County","306",".60%","94.74%","17",".47%","5.26%","323",".60%"
"088
Lee County","64",".13%","92.75%","5",".14%","7.25%","69",".13%"
"089
Liberty County","308",".61%","93.90%","20",".55%","6.10%","328",".60%"
"090
Lincoln County","30",".06%","93.75%","2",".06%","6.25%","32",".06%"
"091
Long County","81",".16%","94.19%","5",".14%","5.81%","86",".16%"
"092
Lowndes County","555","1.10%","95.20%","28",".78%","4.80%","583","1.07%"
"093
Lumpkin County","90",".18%","89.11%","11",".30%","10.89%","101",".19%"
"094
Macon County","61",".12%","95.31%","3",".08%","4.69%","64",".12%"
"095
Madison County","95",".19%","93.14%","7",".19%","6.86%","102",".19%"
"096
Marion County","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"097
Mcduffie County","199",".39%","96.14%","8",".22%","3.86%","207",".38%"
"098
Mcintosh County","80",".16%","90.91%","8",".22%","9.09%","88",".16%"
"099
Meriwether County","174",".34%","96.67%","6",".17%","3.33%","180",".33%"
"100
Miller County","37",".07%","100.00%","","","","37",".07%"
"101
Mitchell County","207",".41%","91.59%","19",".53%","8.41%","226",".42%"
"102
Monroe County","161",".32%","90.45%","17",".47%","9.55%","178",".33%"
"103
Montgomery County","40",".08%","100.00%","","","","40",".07%"
"104
Morgan County","152",".30%","91.57%","14",".39%","8.43%","166",".31%"
"105
Murray County","152",".30%","91.02%","15",".42%","8.98%","167",".31%"
"106
Muscogee County","1,323","2.61%","94.91%","71","1.97%","5.09%","1,394","2.57%"
"107
Newton County","647","1.28%","92.69%","51","1.41%","7.31%","698","1.29%"
"108
Oconee County","54",".11%","98.18%","1",".03%","1.82%","55",".10%"
"109
Oglethorpe County","62",".12%","96.88%","2",".06%","3.13%","64",".12%"
"110
Paulding County","274",".54%","92.26%","23",".64%","7.74%","297",".55%"
"111
Peach County","78",".15%","95.12%","4",".11%","4.88%","82",".15%"
"112
Pickens County","89",".18%","92.71%","7",".19%","7.29%","96",".18%"
"113
Pierce County","79",".16%","95.18%","4",".11%","4.82%","83",".15%"
