"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"115
Polk","143",".29%","95.33%","7",".19%","4.67%","150",".28%"
"116
Pulaski","77",".16%","89.53%","9",".24%","10.47%","86",".16%"
"117
Putnam","133",".27%","95.00%","7",".19%","5.00%","140",".26%"
"118
Quitman","18",".04%","94.74%","1",".03%","5.26%","19",".04%"
"119
Rabun","52",".10%","88.14%","7",".19%","11.86%","59",".11%"
"120
Randolph","55",".11%","91.67%","5",".14%","8.33%","60",".11%"
"121
Richmond","1,797","3.62%","94.33%","108","2.93%","5.67%","1,905","3.58%"
"122
Rockdale","455",".92%","90.82%","46","1.25%","9.18%","501",".94%"
"123
Schley","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"124
Screven","121",".24%","90.98%","12",".33%","9.02%","133",".25%"
"125
Seminole","60",".12%","86.96%","9",".24%","13.04%","69",".13%"
"126
Spalding","593","1.20%","91.51%","55","1.49%","8.49%","648","1.22%"
"127
Stephens","177",".36%","91.71%","16",".43%","8.29%","193",".36%"
"128
Stewart","32",".06%","94.12%","2",".05%","5.88%","34",".06%"
"129
Sumter","249",".50%","96.14%","10",".27%","3.86%","259",".49%"
"130
Talbot","45",".09%","95.74%","2",".05%","4.26%","47",".09%"
"131
Taliaferro","24",".05%","92.31%","2",".05%","7.69%","26",".05%"
"132
Tattnall","187",".38%","94.44%","11",".30%","5.56%","198",".37%"
"133
Taylor","87",".18%","94.57%","5",".14%","5.43%","92",".17%"
"134
Telfair","106",".21%","89.08%","13",".35%","10.92%","119",".22%"
"135
Terrell","79",".16%","97.53%","2",".05%","2.47%","81",".15%"
"136
Thomas","289",".58%","91.75%","26",".71%","8.25%","315",".59%"
"137
Tift","302",".61%","95.57%","14",".38%","4.43%","316",".59%"
"138
Toombs","317",".64%","91.88%","28",".76%","8.12%","345",".65%"
"139
Towns","53",".11%","92.98%","4",".11%","7.02%","57",".11%"
"140
Treutlen","84",".17%","97.67%","2",".05%","2.33%","86",".16%"
"141
Troup","667","1.35%","90.14%","73","1.98%","9.86%","740","1.39%"
"142
Turner","78",".16%","98.73%","1",".03%","1.27%","79",".15%"
"143
Twiggs","67",".14%","84.81%","12",".33%","15.19%","79",".15%"
"144
Union","79",".16%","86.81%","12",".33%","13.19%","91",".17%"
"145
Upson","227",".46%","91.53%","21",".57%","8.47%","248",".47%"
"146
Walker","404",".81%","89.38%","48","1.30%","10.62%","452",".85%"
"147
Walton","429",".87%","92.86%","33",".90%","7.14%","462",".87%"
"148
Ware","350",".71%","95.37%","17",".46%","4.63%","367",".69%"
"149
Warren","44",".09%","93.62%","3",".08%","6.38%","47",".09%"
"150
Washington","118",".24%","93.65%","8",".22%","6.35%","126",".24%"
"151
Wayne","179",".36%","91.79%","16",".43%","8.21%","195",".37%"
"152
Webster","6",".01%","85.71%","1",".03%","14.29%","7",".01%"
