"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","530","1.06%","93.47%","37","1.04%","6.53%","567","1.06%"
"Crawford County","23",".05%","100.00%","","","","23",".04%"
"Crisp County","290",".58%","96.03%","12",".34%","3.97%","302",".56%"
"Dade County","92",".18%","92.93%","7",".20%","7.07%","99",".19%"
"Dawson County","106",".21%","92.98%","8",".23%","7.02%","114",".21%"
"Decatur County","254",".51%","94.07%","16",".45%","5.93%","270",".50%"
"Dekalb County","2,995","6.00%","94.81%","164","4.61%","5.19%","3,159","5.90%"
"Dodge County","134",".27%","93.71%","9",".25%","6.29%","143",".27%"
"Dooly County","87",".17%","94.57%","5",".14%","5.43%","92",".17%"
"Dougherty County","915","1.83%","93.65%","62","1.74%","6.35%","977","1.83%"
"Douglas County","1,134","2.27%","90.07%","125","3.52%","9.93%","1,259","2.35%"
"Early County","97",".19%","95.10%","5",".14%","4.90%","102",".19%"
"Echols County","11",".02%","91.67%","1",".03%","8.33%","12",".02%"
"Effingham County","168",".34%","94.92%","9",".25%","5.08%","177",".33%"
"Elbert County","125",".25%","93.28%","9",".25%","6.72%","134",".25%"
"Emanuel County","165",".33%","94.83%","9",".25%","5.17%","174",".33%"
"Evans County","95",".19%","95.96%","4",".11%","4.04%","99",".19%"
"Fannin County","92",".18%","87.62%","13",".37%","12.38%","105",".20%"
"Fayette County","347",".69%","90.36%","37","1.04%","9.64%","384",".72%"
"Floyd County","834","1.67%","90.06%","92","2.59%","9.94%","926","1.73%"
"Forsyth County","348",".70%","90.63%","36","1.01%","9.38%","384",".72%"
"Franklin County","134",".27%","93.71%","9",".25%","6.29%","143",".27%"
"Fulton County","4,523","9.05%","96.34%","172","4.84%","3.66%","4,695","8.77%"
"Gilmer County","94",".19%","89.52%","11",".31%","10.48%","105",".20%"
"Glascock County","3",".01%","75.00%","1",".03%","25.00%","4",".01%"
"Glynn County","490",".98%","93.16%","36","1.01%","6.84%","526",".98%"
"Gordon County","378",".76%","89.36%","45","1.27%","10.64%","423",".79%"
"Grady County","175",".35%","95.63%","8",".23%","4.37%","183",".34%"
"Greene County","107",".21%","92.24%","9",".25%","7.76%","116",".22%"
"Gwinnett County","2,241","4.49%","92.68%","177","4.98%","7.32%","2,418","4.52%"
"Habersham County","106",".21%","94.64%","6",".17%","5.36%","112",".21%"
"Hall County","694","1.39%","92.04%","60","1.69%","7.96%","754","1.41%"
"Hancock County","35",".07%","92.11%","3",".08%","7.89%","38",".07%"
"Haralson County","171",".34%","94.48%","10",".28%","5.52%","181",".34%"
"Harris County","100",".20%","91.74%","9",".25%","8.26%","109",".20%"
"Hart County","168",".34%","95.45%","8",".23%","4.55%","176",".33%"
"Heard County","48",".10%","92.31%","4",".11%","7.69%","52",".10%"
"Henry County","476",".95%","90.15%","52","1.46%","9.85%","528",".99%"
