"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152 
Webster County","3",".01%","75.00%","1",".03%","25.00%","4",".01%"
"153 
Wheeler County","20",".04%","83.33%","4",".12%","16.67%","24",".05%"
"154 
White County","83",".18%","94.32%","5",".15%","5.68%","88",".18%"
"155 
Whitfield County","803","1.78%","88.05%","109","3.26%","11.95%","912","1.88%"
"156 
Wilcox County","60",".13%","88.24%","8",".24%","11.76%","68",".14%"
"157 
Wilkes County","66",".15%","97.06%","2",".06%","2.94%","68",".14%"
"158 
Wilkinson County","39",".09%","95.12%","2",".06%","4.88%","41",".08%"
"159 
Worth County","121",".27%","91.67%","11",".33%","8.33%","132",".27%"
"Total Rported","45,223","100%","93.11%","3,344","100%","6.89%","48,567","100%"
