"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","546","1.25%","95.29%","27",".92%","4.71%","573","1.23%"
"039
Crawford County","22",".05%","95.65%","1",".03%","4.35%","23",".05%"
"040
Crisp County","327",".75%","94.51%","19",".64%","5.49%","346",".74%"
"041
Dade County","84",".19%","97.67%","2",".07%","2.33%","86",".18%"
"042
Dawson County","93",".21%","93.00%","7",".24%","7.00%","100",".21%"
"043
Decatur County","223",".51%","96.54%","8",".27%","3.46%","231",".50%"
"044
Dekalb County","2,359","5.41%","95.31%","116","3.94%","4.69%","2,475","5.31%"
"045
Dodge County","101",".23%","92.66%","8",".27%","7.34%","109",".23%"
"046
Dooly County","121",".28%","95.28%","6",".20%","4.72%","127",".27%"
"047
Dougherty County","715","1.64%","96.75%","24",".81%","3.25%","739","1.59%"
"048
Douglas County","905","2.07%","91.88%","80","2.71%","8.12%","985","2.11%"
"049
Early County","79",".18%","98.75%","1",".03%","1.25%","80",".17%"
"050
Echols County","12",".03%","92.31%","1",".03%","7.69%","13",".03%"
"051
Effingham County","200",".46%","89.69%","23",".78%","10.31%","223",".48%"
"052
Elbert County","125",".29%","93.98%","8",".27%","6.02%","133",".29%"
"053
Emanuel County","141",".32%","90.97%","14",".48%","9.03%","155",".33%"
"054
Evans County","75",".17%","94.94%","4",".14%","5.06%","79",".17%"
"055
Fannin County","90",".21%","89.11%","11",".37%","10.89%","101",".22%"
"056
Fayette County","275",".63%","95.82%","12",".41%","4.18%","287",".62%"
"057
Floyd County","823","1.89%","90.84%","83","2.82%","9.16%","906","1.94%"
"058
Forsyth County","344",".79%","91.73%","31","1.05%","8.27%","375",".80%"
"059
Franklin County","143",".33%","86.67%","22",".75%","13.33%","165",".35%"
"060
Fulton County","4,303","9.86%","96.37%","162","5.50%","3.63%","4,465","9.58%"
"061
Gilmer County","94",".22%","93.07%","7",".24%","6.93%","101",".22%"
"062
Glascock County","8",".02%","100.00%","","","","8",".02%"
"063
Glynn County","499","1.14%","95.05%","26",".88%","4.95%","525","1.13%"
"064
Gordon County","344",".79%","91.25%","33","1.12%","8.75%","377",".81%"
"065
Grady County","139",".32%","95.21%","7",".24%","4.79%","146",".31%"
"066
Greene County","89",".20%","95.70%","4",".14%","4.30%","93",".20%"
"067
Gwinnett County","2,252","5.16%","94.30%","136","4.61%","5.70%","2,388","5.13%"
"068
Habersham County","112",".26%","92.56%","9",".31%","7.44%","121",".26%"
"069
Hall County","594","1.36%","92.81%","46","1.56%","7.19%","640","1.37%"
"070
Hancock County","37",".08%","92.50%","3",".10%","7.50%","40",".09%"
"071
Haralson County","114",".26%","92.68%","9",".31%","7.32%","123",".26%"
"072
Harris County","90",".21%","91.84%","8",".27%","8.16%","98",".21%"
"073
Hart County","158",".36%","93.49%","11",".37%","6.51%","169",".36%"
"074
Heard County","39",".09%","95.12%","2",".07%","4.88%","41",".09%"
"075
Henry County","562","1.29%","92.59%","45","1.53%","7.41%","607","1.30%"
