"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","97",".19%","93.27%","7",".19%","6.73%","104",".19%"
"Atkinson","47",".09%","97.92%","1",".03%","2.08%","48",".09%"
"Bacon","62",".12%","92.54%","5",".13%","7.46%","67",".12%"
"Baker","10",".02%","90.91%","1",".03%","9.09%","11",".02%"
"Baldwin","355",".71%","94.16%","22",".59%","5.84%","377",".70%"
"Banks","59",".12%","89.39%","7",".19%","10.61%","66",".12%"
"Barrow","246",".49%","92.13%","21",".56%","7.87%","267",".50%"
"Bartow","586","1.17%","89.74%","67","1.79%","10.26%","653","1.21%"
"Ben Hill","263",".52%","93.93%","17",".46%","6.07%","280",".52%"
"Berrien","88",".18%","96.70%","3",".08%","3.30%","91",".17%"
"Bibb","1,061","2.12%","94.99%","56","1.50%","5.01%","1,117","2.07%"
"Bleckley","81",".16%","88.04%","11",".29%","11.96%","92",".17%"
"Brantley","56",".11%","93.33%","4",".11%","6.67%","60",".11%"
"Brooks","52",".10%","94.55%","3",".08%","5.45%","55",".10%"
"Bryan","97",".19%","97.00%","3",".08%","3.00%","100",".19%"
"Bulloch","469",".94%","93.06%","35",".94%","6.94%","504",".94%"
"Burke","216",".43%","94.32%","13",".35%","5.68%","229",".43%"
"Butts","157",".31%","91.81%","14",".37%","8.19%","171",".32%"
"Calhoun","30",".06%","90.91%","3",".08%","9.09%","33",".06%"
"Camden","140",".28%","93.33%","10",".27%","6.67%","150",".28%"
"Candler","91",".18%","88.35%","12",".32%","11.65%","103",".19%"
"Carroll","578","1.15%","89.89%","65","1.74%","10.11%","643","1.19%"
"Catoosa","315",".63%","90.00%","35",".94%","10.00%","350",".65%"
"Charlton","61",".12%","95.31%","3",".08%","4.69%","64",".12%"
"Chatham","2,430","4.85%","95.37%","118","3.16%","4.63%","2,548","4.73%"
"Chattahoochee","33",".07%","94.29%","2",".05%","5.71%","35",".06%"
"Chattooga","236",".47%","90.42%","25",".67%","9.58%","261",".48%"
"Cherokee","578","1.15%","90.17%","63","1.69%","9.83%","641","1.19%"
"Clarke","381",".76%","94.31%","23",".62%","5.69%","404",".75%"
"Clay","31",".06%","91.18%","3",".08%","8.82%","34",".06%"
"Clayton","1,478","2.95%","92.43%","121","3.24%","7.57%","1,599","2.97%"
"Clinch","51",".10%","96.23%","2",".05%","3.77%","53",".10%"
"Cobb","2,824","5.64%","91.01%","279","7.47%","8.99%","3,103","5.76%"
"Coffee","248",".49%","93.58%","17",".46%","6.42%","265",".49%"
"Colquitt","311",".62%","94.24%","19",".51%","5.76%","330",".61%"
"Columbia","292",".58%","92.41%","24",".64%","7.59%","316",".59%"
"Cook","135",".27%","95.07%","7",".19%","4.93%","142",".26%"
"Coweta","502","1.00%","91.94%","44","1.18%","8.06%","546","1.01%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Crawford","20",".04%","86.96%","3",".08%","13.04%","23",".04%"
"Crisp","286",".57%","94.70%","16",".43%","5.30%","302",".56%"
"Dade","131",".26%","96.32%","5",".13%","3.68%","136",".25%"
"Dawson","103",".21%","92.79%","8",".21%","7.21%","111",".21%"
"Decatur","360",".72%","91.14%","35",".94%","8.86%","395",".73%"
"Dekalb","2,896","5.78%","94.86%","157","4.20%","5.14%","3,053","5.67%"
"Dodge","170",".34%","93.41%","12",".32%","6.59%","182",".34%"
"Dooly","112",".22%","95.73%","5",".13%","4.27%","117",".22%"
"Dougherty","952","1.90%","93.61%","65","1.74%","6.39%","1,017","1.89%"
"Douglas","1,097","2.19%","90.89%","110","2.94%","9.11%","1,207","2.24%"
"Early","77",".15%","96.25%","3",".08%","3.75%","80",".15%"
"Echols","10",".02%","100.00%","","","","10",".02%"
"Effingham","159",".32%","95.78%","7",".19%","4.22%","166",".31%"
"Elbert","155",".31%","96.27%","6",".16%","3.73%","161",".30%"
"Emanuel","172",".34%","97.18%","5",".13%","2.82%","177",".33%"
"Evans","90",".18%","96.77%","3",".08%","3.23%","93",".17%"
"Fannin","105",".21%","91.30%","10",".27%","8.70%","115",".21%"
"Fayette","368",".73%","89.98%","41","1.10%","10.02%","409",".76%"
"Floyd","882","1.76%","88.91%","110","2.94%","11.09%","992","1.84%"
"Forsyth","289",".58%","86.01%","47","1.26%","13.99%","336",".62%"
"Franklin","147",".29%","94.84%","8",".21%","5.16%","155",".29%"
"Fulton","4,474","8.93%","96.42%","166","4.44%","3.58%","4,640","8.62%"
"Gilmer","134",".27%","91.78%","12",".32%","8.22%","146",".27%"
"Glascock","8",".02%","80.00%","2",".05%","20.00%","10",".02%"
"Glynn","410",".82%","94.25%","25",".67%","5.75%","435",".81%"
"Gordon","312",".62%","91.23%","30",".80%","8.77%","342",".64%"
"Grady","244",".49%","95.69%","11",".29%","4.31%","255",".47%"
"Greene","161",".32%","94.71%","9",".24%","5.29%","170",".32%"
"Gwinnett","2,018","4.03%","92.57%","162","4.34%","7.43%","2,180","4.05%"
"Habersham","115",".23%","92.74%","9",".24%","7.26%","124",".23%"
"Hall","796","1.59%","92.77%","62","1.66%","7.23%","858","1.59%"
"Hancock","31",".06%","96.88%","1",".03%","3.13%","32",".06%"
"Haralson","90",".18%","96.77%","3",".08%","3.23%","93",".17%"
"Harris","115",".23%","97.46%","3",".08%","2.54%","118",".22%"
"Hart","138",".28%","93.24%","10",".27%","6.76%","148",".27%"
"Heard","58",".12%","87.88%","8",".21%","12.12%","66",".12%"
"Henry","554","1.11%","89.94%","62","1.66%","10.06%","616","1.14%"
"Houston","636","1.27%","92.85%","49","1.31%","7.15%","685","1.27%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Irwin","65",".13%","94.20%","4",".11%","5.80%","69",".13%"
"Jackson","220",".44%","92.83%","17",".46%","7.17%","237",".44%"
"Jasper","58",".12%","95.08%","3",".08%","4.92%","61",".11%"
"Jeff Davis","88",".18%","96.70%","3",".08%","3.30%","91",".17%"
"Jefferson","129",".26%","97.73%","3",".08%","2.27%","132",".25%"
"Jenkins","75",".15%","94.94%","4",".11%","5.06%","79",".15%"
"Johnson","58",".12%","95.08%","3",".08%","4.92%","61",".11%"
"Jones","158",".32%","93.49%","11",".29%","6.51%","169",".31%"
"Lamar","73",".15%","92.41%","6",".16%","7.59%","79",".15%"
"Lanier","49",".10%","98.00%","1",".03%","2.00%","50",".09%"
"Laurens","344",".69%","94.77%","19",".51%","5.23%","363",".67%"
"Lee","75",".15%","93.75%","5",".13%","6.25%","80",".15%"
"Liberty","300",".60%","93.46%","21",".56%","6.54%","321",".60%"
"Lincoln","31",".06%","100.00%","","","","31",".06%"
"Long","77",".15%","91.67%","7",".19%","8.33%","84",".16%"
"Lowndes","535","1.07%","93.70%","36",".96%","6.30%","571","1.06%"
"Lumpkin","105",".21%","90.52%","11",".29%","9.48%","116",".22%"
"Macon","72",".14%","93.51%","5",".13%","6.49%","77",".14%"
"Madison","121",".24%","91.67%","11",".29%","8.33%","132",".25%"
"Marion","48",".10%","96.00%","2",".05%","4.00%","50",".09%"
"Mcduffie","197",".39%","96.57%","7",".19%","3.43%","204",".38%"
"Mcintosh","60",".12%","98.36%","1",".03%","1.64%","61",".11%"
"Meriwether","218",".44%","94.78%","12",".32%","5.22%","230",".43%"
"Miller","34",".07%","94.44%","2",".05%","5.56%","36",".07%"
"Mitchell","181",".36%","92.35%","15",".40%","7.65%","196",".36%"
"Monroe","144",".29%","92.31%","12",".32%","7.69%","156",".29%"
"Montgomery","54",".11%","90.00%","6",".16%","10.00%","60",".11%"
"Morgan","161",".32%","94.71%","9",".24%","5.29%","170",".32%"
"Murray","203",".41%","90.63%","21",".56%","9.38%","224",".42%"
"Muscogee","1,814","3.62%","93.60%","124","3.32%","6.40%","1,938","3.60%"
"Newton","683","1.36%","90.11%","75","2.01%","9.89%","758","1.41%"
"Oconee","57",".11%","98.28%","1",".03%","1.72%","58",".11%"
"Oglethorpe","53",".11%","94.64%","3",".08%","5.36%","56",".10%"
"Paulding","255",".51%","92.06%","22",".59%","7.94%","277",".51%"
"Peach","86",".17%","97.73%","2",".05%","2.27%","88",".16%"
