"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","195",".38%","94.20%","12",".30%","5.80%","207",".37%"
"Appling County","120",".23%","95.24%","6",".15%","4.76%","126",".23%"
"Atkinson County","53",".10%","88.33%","7",".17%","11.67%","60",".11%"
"Bacon County","92",".18%","93.88%","6",".15%","6.12%","98",".18%"
"Baker County","9",".02%","75.00%","3",".07%","25.00%","12",".02%"
"Baldwin County","308",".60%","92.22%","26",".64%","7.78%","334",".60%"
"Banks County","71",".14%","94.67%","4",".10%","5.33%","75",".13%"
"Barrow County","351",".68%","90.23%","38",".94%","9.77%","389",".70%"
"Bartow County","609","1.18%","86.38%","96","2.38%","13.62%","705","1.27%"
"Ben Hill County","249",".48%","95.04%","13",".32%","4.96%","262",".47%"
"Berrien County","100",".19%","95.24%","5",".12%","4.76%","105",".19%"
"Bibb County","1,173","2.28%","94.22%","72","1.78%","5.78%","1,245","2.24%"
"Bleckley County","66",".13%","92.96%","5",".12%","7.04%","71",".13%"
"Brantley County","92",".18%","86.79%","14",".35%","13.21%","106",".19%"
"Brooks County","52",".10%","98.11%","1",".02%","1.89%","53",".10%"
"Bryan County","57",".11%","100.00%","","","","57",".10%"
"Bulloch County","541","1.05%","92.64%","43","1.07%","7.36%","584","1.05%"
"Burke County","228",".44%","96.61%","8",".20%","3.39%","236",".42%"
"Butts County","130",".25%","91.55%","12",".30%","8.45%","142",".26%"
"Calhoun County","29",".06%","90.63%","3",".07%","9.38%","32",".06%"
"Camden County","197",".38%","92.06%","17",".42%","7.94%","214",".39%"
"Candler County","114",".22%","94.21%","7",".17%","5.79%","121",".22%"
"Carroll County","627","1.22%","91.00%","62","1.54%","9.00%","689","1.24%"
"Catoosa County","347",".67%","89.66%","40",".99%","10.34%","387",".70%"
"Charlton County","76",".15%","90.48%","8",".20%","9.52%","84",".15%"
"Chatham County","1,983","3.85%","95.47%","94","2.33%","4.53%","2,077","3.74%"
"Chattahoochee County","24",".05%","100.00%","","","","24",".04%"
"Chattooga County","237",".46%","88.43%","31",".77%","11.57%","268",".48%"
"Cherokee County","587","1.14%","90.59%","61","1.51%","9.41%","648","1.17%"
"Clarke County","574","1.11%","92.73%","45","1.11%","7.27%","619","1.11%"
"Clay County","23",".04%","85.19%","4",".10%","14.81%","27",".05%"
"Clayton County","1,347","2.61%","93.54%","93","2.30%","6.46%","1,440","2.59%"
"Clinch County","45",".09%","91.84%","4",".10%","8.16%","49",".09%"
"Cobb County","2,691","5.22%","91.78%","241","5.97%","8.22%","2,932","5.28%"
"Coffee County","213",".41%","93.83%","14",".35%","6.17%","227",".41%"
"Colquitt County","229",".44%","96.62%","8",".20%","3.38%","237",".43%"
"Columbia County","432",".84%","90.38%","46","1.14%","9.62%","478",".86%"
"Cook County","111",".22%","91.74%","10",".25%","8.26%","121",".22%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","637","1.24%","93.13%","47","1.16%","6.87%","684","1.23%"
"Crawford County","24",".05%","96.00%","1",".02%","4.00%","25",".04%"
"Crisp County","343",".67%","93.72%","23",".57%","6.28%","366",".66%"
"Dade County","101",".20%","94.39%","6",".15%","5.61%","107",".19%"
"Dawson County","99",".19%","94.29%","6",".15%","5.71%","105",".19%"
"Decatur County","245",".48%","94.59%","14",".35%","5.41%","259",".47%"
"Dekalb County","2,928","5.68%","94.82%","160","3.96%","5.18%","3,088","5.56%"
"Dodge County","143",".28%","92.86%","11",".27%","7.14%","154",".28%"
"Dooly County","128",".25%","93.43%","9",".22%","6.57%","137",".25%"
"Dougherty County","832","1.61%","95.63%","38",".94%","4.37%","870","1.57%"
"Douglas County","1,025","1.99%","91.35%","97","2.40%","8.65%","1,122","2.02%"
"Early County","84",".16%","96.55%","3",".07%","3.45%","87",".16%"
"Echols County","11",".02%","84.62%","2",".05%","15.38%","13",".02%"
"Effingham County","264",".51%","89.19%","32",".79%","10.81%","296",".53%"
"Elbert County","145",".28%","92.95%","11",".27%","7.05%","156",".28%"
"Emanuel County","172",".33%","91.98%","15",".37%","8.02%","187",".34%"
"Evans County","92",".18%","94.85%","5",".12%","5.15%","97",".17%"
"Fannin County","98",".19%","87.50%","14",".35%","12.50%","112",".20%"
"Fayette County","345",".67%","91.76%","31",".77%","8.24%","376",".68%"
"Floyd County","878","1.70%","91.17%","85","2.11%","8.83%","963","1.73%"
"Forsyth County","370",".72%","91.58%","34",".84%","8.42%","404",".73%"
"Franklin County","156",".30%","86.67%","24",".59%","13.33%","180",".32%"
"Fulton County","5,036","9.78%","95.92%","214","5.30%","4.08%","5,250","9.45%"
"Gilmer County","105",".20%","91.30%","10",".25%","8.70%","115",".21%"
"Glascock County","9",".02%","100.00%","","","","9",".02%"
"Glynn County","548","1.06%","93.52%","38",".94%","6.48%","586","1.05%"
"Gordon County","406",".79%","88.65%","52","1.29%","11.35%","458",".82%"
"Grady County","151",".29%","96.79%","5",".12%","3.21%","156",".28%"
"Greene County","114",".22%","89.06%","14",".35%","10.94%","128",".23%"
"Gwinnett County","2,673","5.19%","93.07%","199","4.93%","6.93%","2,872","5.17%"
"Habersham County","131",".25%","90.34%","14",".35%","9.66%","145",".26%"
"Hall County","708","1.37%","91.12%","69","1.71%","8.88%","777","1.40%"
"Hancock County","42",".08%","91.30%","4",".10%","8.70%","46",".08%"
"Haralson County","111",".22%","89.52%","13",".32%","10.48%","124",".22%"
"Harris County","138",".27%","94.52%","8",".20%","5.48%","146",".26%"
"Hart County","186",".36%","93.00%","14",".35%","7.00%","200",".36%"
"Heard County","53",".10%","96.36%","2",".05%","3.64%","55",".10%"
"Henry County","749","1.45%","88.95%","93","2.30%","11.05%","842","1.52%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Houston County","705","1.37%","92.64%","56","1.39%","7.36%","761","1.37%"
"Irwin County","67",".13%","94.37%","4",".10%","5.63%","71",".13%"
"Jackson County","292",".57%","94.19%","18",".45%","5.81%","310",".56%"
"Jasper County","66",".13%","89.19%","8",".20%","10.81%","74",".13%"
"Jeff Davis County","92",".18%","94.85%","5",".12%","5.15%","97",".17%"
"Jefferson County","163",".32%","93.14%","12",".30%","6.86%","175",".31%"
"Jenkins County","79",".15%","95.18%","4",".10%","4.82%","83",".15%"
"Johnson County","42",".08%","93.33%","3",".07%","6.67%","45",".08%"
"Jones County","202",".39%","88.21%","27",".67%","11.79%","229",".41%"
"Lamar County","67",".13%","90.54%","7",".17%","9.46%","74",".13%"
"Lanier County","42",".08%","95.45%","2",".05%","4.55%","44",".08%"
"Laurens County","301",".58%","91.77%","27",".67%","8.23%","328",".59%"
"Lee County","72",".14%","87.80%","10",".25%","12.20%","82",".15%"
"Liberty County","226",".44%","94.96%","12",".30%","5.04%","238",".43%"
"Lincoln County","37",".07%","94.87%","2",".05%","5.13%","39",".07%"
"Long County","60",".12%","90.91%","6",".15%","9.09%","66",".12%"
"Lowndes County","455",".88%","95.59%","21",".52%","4.41%","476",".86%"
"Lumpkin County","97",".19%","90.65%","10",".25%","9.35%","107",".19%"
"Macon County","45",".09%","95.74%","2",".05%","4.26%","47",".08%"
"Madison County","150",".29%","89.29%","18",".45%","10.71%","168",".30%"
"Marion County","33",".06%","94.29%","2",".05%","5.71%","35",".06%"
"Mcduffie County","192",".37%","96.00%","8",".20%","4.00%","200",".36%"
"Mcintosh County","63",".12%","88.73%","8",".20%","11.27%","71",".13%"
"Meriwether County","194",".38%","91.51%","18",".45%","8.49%","212",".38%"
"Miller County","37",".07%","100.00%","","","","37",".07%"
"Mitchell County","147",".29%","94.23%","9",".22%","5.77%","156",".28%"
"Monroe County","155",".30%","93.37%","11",".27%","6.63%","166",".30%"
"Montgomery County","33",".06%","86.84%","5",".12%","13.16%","38",".07%"
"Morgan County","139",".27%","91.45%","13",".32%","8.55%","152",".27%"
"Murray County","228",".44%","91.94%","20",".50%","8.06%","248",".45%"
"Muscogee County","1,247","2.42%","94.33%","75","1.86%","5.67%","1,322","2.38%"
"Newton County","728","1.41%","91.34%","69","1.71%","8.66%","797","1.43%"
"Oconee County","53",".10%","98.15%","1",".02%","1.85%","54",".10%"
"Oglethorpe County","70",".14%","97.22%","2",".05%","2.78%","72",".13%"
"Paulding County","237",".46%","92.58%","19",".47%","7.42%","256",".46%"
"Peach County","88",".17%","95.65%","4",".10%","4.35%","92",".17%"
"Pickens County","105",".20%","88.24%","14",".35%","11.76%","119",".21%"
"Pierce County","124",".24%","91.85%","11",".27%","8.15%","135",".24%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Pike County","44",".09%","93.62%","3",".07%","6.38%","47",".08%"
"Polk County","198",".38%","90.00%","22",".54%","10.00%","220",".40%"
"Pulaski County","45",".09%","93.75%","3",".07%","6.25%","48",".09%"
"Putnam County","171",".33%","95.53%","8",".20%","4.47%","179",".32%"
"Quitman County","16",".03%","94.12%","1",".02%","5.88%","17",".03%"
"Rabun County","74",".14%","90.24%","8",".20%","9.76%","82",".15%"
"Randolph County","59",".11%","93.65%","4",".10%","6.35%","63",".11%"
"Richmond County","1,927","3.74%","93.32%","138","3.42%","6.68%","2,065","3.72%"
"Rockdale County","482",".94%","91.46%","45","1.11%","8.54%","527",".95%"
"Schley County","16",".03%","100.00%","","","","16",".03%"
"Screven County","121",".23%","96.03%","5",".12%","3.97%","126",".23%"
"Seminole County","67",".13%","88.16%","9",".22%","11.84%","76",".14%"
"Spalding County","510",".99%","91.40%","48","1.19%","8.60%","558","1.00%"
"Stephens County","142",".28%","89.31%","17",".42%","10.69%","159",".29%"
"Stewart County","31",".06%","93.94%","2",".05%","6.06%","33",".06%"
"Sumter County","207",".40%","94.52%","12",".30%","5.48%","219",".39%"
"Talbot County","25",".05%","92.59%","2",".05%","7.41%","27",".05%"
"Taliaferro County","12",".02%","92.31%","1",".02%","7.69%","13",".02%"
"Tattnall County","204",".40%","87.18%","30",".74%","12.82%","234",".42%"
"Taylor County","71",".14%","93.42%","5",".12%","6.58%","76",".14%"
"Telfair County","108",".21%","94.74%","6",".15%","5.26%","114",".21%"
"Terrell County","87",".17%","93.55%","6",".15%","6.45%","93",".17%"
"Thomas County","204",".40%","95.77%","9",".22%","4.23%","213",".38%"
"Tift County","329",".64%","94.00%","21",".52%","6.00%","350",".63%"
"Toombs County","330",".64%","89.92%","37",".92%","10.08%","367",".66%"
"Towns County","56",".11%","74.67%","19",".47%","25.33%","75",".13%"
"Treutlen County","72",".14%","94.74%","4",".10%","5.26%","76",".14%"
"Troup County","649","1.26%","92.85%","50","1.24%","7.15%","699","1.26%"
"Turner County","67",".13%","95.71%","3",".07%","4.29%","70",".13%"
"Twiggs County","53",".10%","94.64%","3",".07%","5.36%","56",".10%"
"Union County","127",".25%","82.47%","27",".67%","17.53%","154",".28%"
"Upson County","180",".35%","87.80%","25",".62%","12.20%","205",".37%"
"Walker County","447",".87%","90.12%","49","1.21%","9.88%","496",".89%"
"Walton County","683","1.33%","90.95%","68","1.68%","9.05%","751","1.35%"
"Ware County","308",".60%","91.94%","27",".67%","8.06%","335",".60%"
"Warren County","34",".07%","91.89%","3",".07%","8.11%","37",".07%"
"Washington County","196",".38%","92.02%","17",".42%","7.98%","213",".38%"
"Wayne County","182",".35%","90.10%","20",".50%","9.90%","202",".36%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Webster County","6",".01%","75.00%","2",".05%","25.00%","8",".01%"
