"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","418",".84%","91.47%","39","1.12%","8.53%","457",".86%"
"Appling County","89",".18%","92.71%","7",".20%","7.29%","96",".18%"
"Atkinson County","53",".11%","96.36%","2",".06%","3.64%","55",".10%"
"Bacon County","76",".15%","91.57%","7",".20%","8.43%","83",".16%"
"Baker County","12",".02%","92.31%","1",".03%","7.69%","13",".02%"
"Baldwin County","322",".65%","94.71%","18",".52%","5.29%","340",".64%"
"Banks County","60",".12%","90.91%","6",".17%","9.09%","66",".12%"
"Barrow County","261",".53%","92.55%","21",".60%","7.45%","282",".53%"
"Bartow County","628","1.27%","88.45%","82","2.35%","11.55%","710","1.34%"
"Ben Hill County","242",".49%","95.28%","12",".34%","4.72%","254",".48%"
"Berrien County","84",".17%","94.38%","5",".14%","5.62%","89",".17%"
"Bibb County","1,045","2.11%","94.83%","57","1.63%","5.17%","1,102","2.08%"
"Bleckley County","64",".13%","91.43%","6",".17%","8.57%","70",".13%"
"Brantley County","64",".13%","91.43%","6",".17%","8.57%","70",".13%"
"Brooks County","78",".16%","91.76%","7",".20%","8.24%","85",".16%"
"Bryan County","89",".18%","98.89%","1",".03%","1.11%","90",".17%"
"Bulloch County","501","1.01%","92.44%","41","1.17%","7.56%","542","1.02%"
"Burke County","202",".41%","96.19%","8",".23%","3.81%","210",".40%"
"Butts County","147",".30%","96.71%","5",".14%","3.29%","152",".29%"
"Calhoun County","30",".06%","93.75%","2",".06%","6.25%","32",".06%"
"Camden County","178",".36%","93.68%","12",".34%","6.32%","190",".36%"
"Candler County","112",".23%","89.60%","13",".37%","10.40%","125",".24%"
"Carroll County","546","1.10%","91.61%","50","1.43%","8.39%","596","1.12%"
"Catoosa County","338",".68%","91.85%","30",".86%","8.15%","368",".69%"
"Charlton County","66",".13%","92.96%","5",".14%","7.04%","71",".13%"
"Chatham County","2,101","4.24%","97.09%","63","1.80%","2.91%","2,164","4.08%"
"Chattahoochee County","34",".07%","94.44%","2",".06%","5.56%","36",".07%"
"Chattooga County","234",".47%","88.30%","31",".89%","11.70%","265",".50%"
"Cherokee County","492",".99%","92.66%","39","1.12%","7.34%","531","1.00%"
"Clarke County","436",".88%","95.20%","22",".63%","4.80%","458",".86%"
"Clay County","29",".06%","93.55%","2",".06%","6.45%","31",".06%"
"Clayton County","1,418","2.86%","93.78%","94","2.69%","6.22%","1,512","2.85%"
"Clinch County","45",".09%","95.74%","2",".06%","4.26%","47",".09%"
"Cobb County","2,520","5.09%","91.47%","235","6.73%","8.53%","2,755","5.20%"
"Coffee County","240",".48%","93.75%","16",".46%","6.25%","256",".48%"
"Colquitt County","239",".48%","95.60%","11",".31%","4.40%","250",".47%"
"Columbia County","370",".75%","91.13%","36","1.03%","8.87%","406",".77%"
"Cook County","116",".23%","95.87%","5",".14%","4.13%","121",".23%"
