"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","50",".09%","90.91%","5",".13%","9.09%","55",".10%"
"115
Polk County","167",".31%","90.27%","18",".46%","9.73%","185",".32%"
"116
Pulaski County","63",".12%","92.65%","5",".13%","7.35%","68",".12%"
"117
Putnam County","174",".32%","93.05%","13",".33%","6.95%","187",".32%"
"118
Quitman County","24",".04%","100.00%","","","","24",".04%"
"119
Rabun County","49",".09%","85.96%","8",".20%","14.04%","57",".10%"
"120
Randolph County","87",".16%","97.75%","2",".05%","2.25%","89",".15%"
"121
Richmond County","1,957","3.64%","94.40%","116","2.96%","5.60%","2,073","3.59%"
"122
Rockdale County","470",".87%","92.52%","38",".97%","7.48%","508",".88%"
"123
Schley County","21",".04%","100.00%","","","","21",".04%"
"124
Screven County","141",".26%","94.63%","8",".20%","5.37%","149",".26%"
"125
Seminole County","71",".13%","87.65%","10",".26%","12.35%","81",".14%"
"126
Spalding County","598","1.11%","91.58%","55","1.41%","8.42%","653","1.13%"
"127
Stephens County","168",".31%","93.33%","12",".31%","6.67%","180",".31%"
"128
Stewart County","33",".06%","97.06%","1",".03%","2.94%","34",".06%"
"129
Sumter County","242",".45%","94.90%","13",".33%","5.10%","255",".44%"
"130
Talbot County","54",".10%","94.74%","3",".08%","5.26%","57",".10%"
"131
Taliaferro County","23",".04%","82.14%","5",".13%","17.86%","28",".05%"
"132
Tattnall County","205",".38%","95.35%","10",".26%","4.65%","215",".37%"
"133
Taylor County","86",".16%","95.56%","4",".10%","4.44%","90",".16%"
"134
Telfair County","117",".22%","93.60%","8",".20%","6.40%","125",".22%"
"135
Terrell County","82",".15%","97.62%","2",".05%","2.38%","84",".15%"
"136
Thomas County","238",".44%","95.58%","11",".28%","4.42%","249",".43%"
"137
Tift County","297",".55%","96.43%","11",".28%","3.57%","308",".53%"
"138
Toombs County","361",".67%","89.80%","41","1.05%","10.20%","402",".70%"
"139
Towns County","40",".07%","80.00%","10",".26%","20.00%","50",".09%"
"140
Treutlen County","91",".17%","93.81%","6",".15%","6.19%","97",".17%"
"141
Troup County","691","1.28%","92.26%","58","1.48%","7.74%","749","1.30%"
"142
Turner County","74",".14%","93.67%","5",".13%","6.33%","79",".14%"
"143
Twiggs County","75",".14%","94.94%","4",".10%","5.06%","79",".14%"
"144
Union County","85",".16%","87.63%","12",".31%","12.37%","97",".17%"
"145
Upson County","185",".34%","95.85%","8",".20%","4.15%","193",".33%"
"146
Walker County","415",".77%","91.01%","41","1.05%","8.99%","456",".79%"
"147
Walton County","534",".99%","90.97%","53","1.35%","9.03%","587","1.02%"
"148
Ware County","347",".65%","94.55%","20",".51%","5.45%","367",".64%"
"149
Warren County","49",".09%","96.08%","2",".05%","3.92%","51",".09%"
"150
Washington County","183",".34%","90.59%","19",".49%","9.41%","202",".35%"
"151
Wayne County","123",".23%","90.44%","13",".33%","9.56%","136",".24%"
