"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"027   Chattooga County","177","0.36%","88.94%","22","0.55%","11.06%","199","0.37%"
"028   Cherokee County","678","1.37%","92.24%","57","1.42%","7.76%","735","1.37%"
"029   Clarke County","531","1.07%","93.32%","38","0.95%","6.68%","569","1.06%"
"030   Clay County","14","0.03%","93.33%","1","0.02%","6.67%","15","0.03%"
"031   Clayton County","1,154","2.33%","93.06%","86","2.15%","6.94%","1,240","2.31%"
"032   Clinch County","40","0.08%","93.02%","3","0.07%","6.98%","43","0.08%"
"033   Cobb County","2,186","4.41%","93.86%","143","3.57%","6.14%","2,329","4.35%"
"034   Coffee County","300","0.61%","91.74%","27","0.67%","8.26%","327","0.61%"
"035   Colquitt County","193","0.39%","96.98%","6","0.15%","3.02%","199","0.37%"
"036   Columbia County","519","1.05%","87.82%","72","1.8%","12.18%","591","1.1%"
"037   Cook County","134","0.27%","92.41%","11","0.27%","7.59%","145","0.27%"
"038   Coweta County","737","1.49%","93.41%","52","1.3%","6.59%","789","1.47%"
"039   Crawford County","36","0.07%","92.31%","3","0.07%","7.69%","39","0.07%"
"040   Crisp County","373","0.75%","91.42%","35","0.87%","8.58%","408","0.76%"
"041   Dade County","87","0.18%","87.0%","13","0.32%","13.0%","100","0.19%"
"042   Dawson County","138","0.28%","87.9%","19","0.47%","12.1%","157","0.29%"
"043   Decatur County","316","0.64%","90.29%","34","0.85%","9.71%","350","0.65%"
"044   Dekalb County","2,730","5.51%","94.53%","158","3.94%","5.47%","2,888","5.39%"
"045   Dodge County","133","0.27%","92.36%","11","0.27%","7.64%","144","0.27%"
"046   Dooly County","124","0.25%","89.21%","15","0.37%","10.79%","139","0.26%"
"047   Dougherty County","707","1.43%","95.8%","31","0.77%","4.2%","738","1.38%"
"048   Douglas County","842","1.7%","91.13%","82","2.05%","8.87%","924","1.72%"
"049   Early County","71","0.14%","95.95%","3","0.07%","4.05%","74","0.14%"
"050   Echols County","12","0.02%","92.31%","1","0.02%","7.69%","13","0.02%"
"051   Effingham County","337","0.68%","86.41%","53","1.32%","13.59%","390","0.73%"
"052   Elbert County","135","0.27%","91.22%","13","0.32%","8.78%","148","0.28%"
"053   Emanuel County","221","0.45%","93.64%","15","0.37%","6.36%","236","0.44%"
