"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","41",".08%","91.11%","4",".11%","8.89%","45",".08%"
"115
Polk County","197",".39%","93.81%","13",".34%","6.19%","210",".39%"
"116
Pulaski County","56",".11%","96.55%","2",".05%","3.45%","58",".11%"
"117
Putnam County","154",".30%","91.12%","15",".39%","8.88%","169",".31%"
"118
Quitman County","18",".04%","100.00%","","","","18",".03%"
"119
Rabun County","55",".11%","90.16%","6",".16%","9.84%","61",".11%"
"120
Randolph County","62",".12%","96.88%","2",".05%","3.13%","64",".12%"
"121
Richmond County","1,918","3.78%","93.24%","139","3.65%","6.76%","2,057","3.77%"
"122
Rockdale County","476",".94%","92.25%","40","1.05%","7.75%","516",".95%"
"123
Schley County","11",".02%","84.62%","2",".05%","15.38%","13",".02%"
"124
Screven County","119",".23%","95.97%","5",".13%","4.03%","124",".23%"
"125
Seminole County","72",".14%","83.72%","14",".37%","16.28%","86",".16%"
"126
Spalding County","497",".98%","93.42%","35",".92%","6.58%","532",".98%"
"127
Stephens County","165",".33%","87.77%","23",".60%","12.23%","188",".34%"
"128
Stewart County","35",".07%","97.22%","1",".03%","2.78%","36",".07%"
"129
Sumter County","191",".38%","95.02%","10",".26%","4.98%","201",".37%"
"130
Talbot County","39",".08%","90.70%","4",".11%","9.30%","43",".08%"
"131
Taliaferro County","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"132
Tattnall County","183",".36%","93.37%","13",".34%","6.63%","196",".36%"
"133
Taylor County","67",".13%","91.78%","6",".16%","8.22%","73",".13%"
"134
Telfair County","108",".21%","96.43%","4",".11%","3.57%","112",".21%"
"135
Terrell County","88",".17%","93.62%","6",".16%","6.38%","94",".17%"
"136
Thomas County","213",".42%","95.52%","10",".26%","4.48%","223",".41%"
"137
Tift County","335",".66%","94.10%","21",".55%","5.90%","356",".65%"
"138
Toombs County","330",".65%","91.16%","32",".84%","8.84%","362",".66%"
"139
Towns County","52",".10%","78.79%","14",".37%","21.21%","66",".12%"
"140
Treutlen County","77",".15%","95.06%","4",".11%","4.94%","81",".15%"
"141
Troup County","620","1.22%","91.04%","61","1.60%","8.96%","681","1.25%"
"142
Turner County","63",".12%","95.45%","3",".08%","4.55%","66",".12%"
"143
Twiggs County","49",".10%","94.23%","3",".08%","5.77%","52",".10%"
"144
Union County","89",".18%","85.58%","15",".39%","14.42%","104",".19%"
"145
Upson County","182",".36%","93.81%","12",".32%","6.19%","194",".36%"
"146
Walker County","432",".85%","90.95%","43","1.13%","9.05%","475",".87%"
"147
Walton County","544","1.07%","91.89%","48","1.26%","8.11%","592","1.09%"
"148
Ware County","338",".67%","93.89%","22",".58%","6.11%","360",".66%"
"149
Warren County","36",".07%","94.74%","2",".05%","5.26%","38",".07%"
"150
Washington County","189",".37%","89.57%","22",".58%","10.43%","211",".39%"
"151
Wayne County","163",".32%","94.77%","9",".24%","5.23%","172",".32%"
