"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","47",".11%","92.16%","4",".13%","7.84%","51",".11%"
"115
Polk County","184",".42%","91.09%","18",".60%","8.91%","202",".43%"
"116
Pulaski County","30",".07%","88.24%","4",".13%","11.76%","34",".07%"
"117
Putnam County","148",".34%","93.67%","10",".34%","6.33%","158",".34%"
"118
Quitman County","10",".02%","100.00%","","","","10",".02%"
"119
Rabun County","58",".13%","81.69%","13",".44%","18.31%","71",".15%"
"120
Randolph County","45",".10%","95.74%","2",".07%","4.26%","47",".10%"
"121
Richmond County","1,595","3.65%","94.66%","90","3.02%","5.34%","1,685","3.61%"
"122
Rockdale County","382",".87%","92.72%","30","1.01%","7.28%","412",".88%"
"123
Schley County","16",".04%","100.00%","","","","16",".03%"
"124
Screven County","99",".23%","95.19%","5",".17%","4.81%","104",".22%"
"125
Seminole County","55",".13%","88.71%","7",".23%","11.29%","62",".13%"
"126
Spalding County","415",".95%","92.63%","33","1.11%","7.37%","448",".96%"
"127
Stephens County","121",".28%","96.80%","4",".13%","3.20%","125",".27%"
"128
Stewart County","21",".05%","87.50%","3",".10%","12.50%","24",".05%"
"129
Sumter County","191",".44%","95.98%","8",".27%","4.02%","199",".43%"
"130
Talbot County","21",".05%","95.45%","1",".03%","4.55%","22",".05%"
"131
Taliaferro County","21",".05%","100.00%","","","","21",".05%"
"132
Tattnall County","164",".38%","89.62%","19",".64%","10.38%","183",".39%"
"133
Taylor County","45",".10%","90.00%","5",".17%","10.00%","50",".11%"
"134
Telfair County","94",".22%","94.00%","6",".20%","6.00%","100",".21%"
"135
Terrell County","75",".17%","97.40%","2",".07%","2.60%","77",".17%"
"136
Thomas County","176",".40%","96.70%","6",".20%","3.30%","182",".39%"
"137
Tift County","302",".69%","96.49%","11",".37%","3.51%","313",".67%"
"138
Toombs County","275",".63%","91.97%","24",".81%","8.03%","299",".64%"
"139
Towns County","48",".11%","78.69%","13",".44%","21.31%","61",".13%"
"140
Treutlen County","63",".14%","98.44%","1",".03%","1.56%","64",".14%"
"141
Troup County","531","1.22%","93.98%","34","1.14%","6.02%","565","1.21%"
"142
Turner County","58",".13%","95.08%","3",".10%","4.92%","61",".13%"
"143
Twiggs County","39",".09%","90.70%","4",".13%","9.30%","43",".09%"
"144
Union County","86",".20%","84.31%","16",".54%","15.69%","102",".22%"
"145
Upson County","149",".34%","92.55%","12",".40%","7.45%","161",".35%"
"146
Walker County","420",".96%","90.91%","42","1.41%","9.09%","462",".99%"
"147
Walton County","620","1.42%","90.64%","64","2.15%","9.36%","684","1.47%"
"148
Ware County","232",".53%","94.31%","14",".47%","5.69%","246",".53%"
"149
Warren County","26",".06%","86.67%","4",".13%","13.33%","30",".06%"
"150
Washington County","171",".39%","93.44%","12",".40%","6.56%","183",".39%"
"151
Wayne County","186",".43%","90.73%","19",".64%","9.27%","205",".44%"
