"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","529","1.02%","92.00%","46","1.21%","8.00%","575","1.03%"
"039
Crawford County","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"040
Crisp County","271",".52%","93.13%","20",".53%","6.87%","291",".52%"
"041
Dade County","143",".28%","91.67%","13",".34%","8.33%","156",".28%"
"042
Dawson County","128",".25%","91.43%","12",".32%","8.57%","140",".25%"
"043
Decatur County","297",".57%","90.55%","31",".82%","9.45%","328",".59%"
"044
Dekalb County","3,018","5.81%","94.91%","162","4.28%","5.09%","3,180","5.71%"
"045
Dodge County","165",".32%","93.22%","12",".32%","6.78%","177",".32%"
"046
Dooly County","95",".18%","95.96%","4",".11%","4.04%","99",".18%"
"047
Dougherty County","1,047","2.02%","94.84%","57","1.50%","5.16%","1,104","1.98%"
"048
Douglas County","1,225","2.36%","88.64%","157","4.14%","11.36%","1,382","2.48%"
"049
Early County","101",".19%","97.12%","3",".08%","2.88%","104",".19%"
"050
Echols County","7",".01%","100.00%","","","","7",".01%"
"051
Effingham County","166",".32%","93.26%","12",".32%","6.74%","178",".32%"
"052
Elbert County","132",".25%","91.67%","12",".32%","8.33%","144",".26%"
"053
Emanuel County","179",".34%","93.72%","12",".32%","6.28%","191",".34%"
"054
Evans County","105",".20%","97.22%","3",".08%","2.78%","108",".19%"
"055
Fannin County","116",".22%","92.06%","10",".26%","7.94%","126",".23%"
"056
Fayette County","384",".74%","91.65%","35",".92%","8.35%","419",".75%"
"057
Floyd County","807","1.55%","90.37%","86","2.27%","9.63%","893","1.60%"
"058
Forsyth County","299",".58%","86.92%","45","1.19%","13.08%","344",".62%"
"059
Franklin County","133",".26%","89.26%","16",".42%","10.74%","149",".27%"
"060
Fulton County","5,185","9.98%","96.05%","213","5.62%","3.95%","5,398","9.69%"
"061
Gilmer County","135",".26%","88.82%","17",".45%","11.18%","152",".27%"
"062
Glascock County","7",".01%","87.50%","1",".03%","12.50%","8",".01%"
"063
Glynn County","413",".80%","94.51%","24",".63%","5.49%","437",".78%"
"064
Gordon County","324",".62%","88.52%","42","1.11%","11.48%","366",".66%"
"065
Grady County","216",".42%","93.10%","16",".42%","6.90%","232",".42%"
"066
Greene County","162",".31%","93.64%","11",".29%","6.36%","173",".31%"
"067
Gwinnett County","2,325","4.48%","92.41%","191","5.04%","7.59%","2,516","4.51%"
"068
Habersham County","110",".21%","94.02%","7",".18%","5.98%","117",".21%"
"069
Hall County","728","1.40%","92.50%","59","1.56%","7.50%","787","1.41%"
"070
Hancock County","41",".08%","100.00%","","","","41",".07%"
"071
Haralson County","103",".20%","94.50%","6",".16%","5.50%","109",".20%"
"072
Harris County","113",".22%","95.76%","5",".13%","4.24%","118",".21%"
"073
Hart County","117",".23%","94.35%","7",".18%","5.65%","124",".22%"
"074
Heard County","59",".11%","95.16%","3",".08%","4.84%","62",".11%"
"075
Henry County","594","1.14%","90.55%","62","1.64%","9.45%","656","1.18%"
