"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"115
Polk","142",".29%","92.21%","12",".33%","7.79%","154",".29%"
"116
Pulaski","89",".18%","94.68%","5",".14%","5.32%","94",".18%"
"117
Putnam","141",".29%","95.92%","6",".17%","4.08%","147",".28%"
"118
Quitman","19",".04%","90.48%","2",".06%","9.52%","21",".04%"
"119
Rabun","52",".11%","83.87%","10",".28%","16.13%","62",".12%"
"120
Randolph","60",".12%","95.24%","3",".08%","4.76%","63",".12%"
"121
Richmond","1,695","3.46%","93.91%","110","3.04%","6.09%","1,805","3.43%"
"122
Rockdale","479",".98%","91.06%","47","1.30%","8.94%","526","1.00%"
"123
Schley","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"124
Screven","135",".28%","93.75%","9",".25%","6.25%","144",".27%"
"125
Seminole","55",".11%","83.33%","11",".30%","16.67%","66",".13%"
"126
Spalding","591","1.21%","91.63%","54","1.49%","8.37%","645","1.23%"
"127
Stephens","202",".41%","91.40%","19",".52%","8.60%","221",".42%"
"128
Stewart","27",".06%","96.43%","1",".03%","3.57%","28",".05%"
"129
Sumter","222",".45%","95.28%","11",".30%","4.72%","233",".44%"
"130
Talbot","60",".12%","96.77%","2",".06%","3.23%","62",".12%"
"131
Taliaferro","20",".04%","90.91%","2",".06%","9.09%","22",".04%"
"132
Tattnall","179",".37%","91.79%","16",".44%","8.21%","195",".37%"
"133
Taylor","92",".19%","94.85%","5",".14%","5.15%","97",".18%"
"134
Telfair","113",".23%","91.13%","11",".30%","8.87%","124",".24%"
"135
Terrell","72",".15%","97.30%","2",".06%","2.70%","74",".14%"
"136
Thomas","253",".52%","93.36%","18",".50%","6.64%","271",".51%"
"137
Tift","312",".64%","95.41%","15",".41%","4.59%","327",".62%"
"138
Toombs","317",".65%","92.96%","24",".66%","7.04%","341",".65%"
"139
Towns","45",".09%","86.54%","7",".19%","13.46%","52",".10%"
"140
Treutlen","67",".14%","93.06%","5",".14%","6.94%","72",".14%"
"141
Troup","667","1.36%","91.12%","65","1.79%","8.88%","732","1.39%"
"142
Turner","76",".16%","93.83%","5",".14%","6.17%","81",".15%"
"143
Twiggs","62",".13%","93.94%","4",".11%","6.06%","66",".13%"
"144
Union","86",".18%","86.00%","14",".39%","14.00%","100",".19%"
"145
Upson","176",".36%","89.34%","21",".58%","10.66%","197",".37%"
"146
Walker","422",".86%","90.95%","42","1.16%","9.05%","464",".88%"
"147
Walton","433",".88%","90.40%","46","1.27%","9.60%","479",".91%"
"148
Ware","317",".65%","94.91%","17",".47%","5.09%","334",".63%"
"149
Warren","43",".09%","93.48%","3",".08%","6.52%","46",".09%"
"150
Washington","136",".28%","88.89%","17",".47%","11.11%","153",".29%"
"151
Wayne","160",".33%","89.89%","18",".50%","10.11%","178",".34%"
"152
Webster","9",".02%","100.00%","","","","9",".02%"
