"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","6",".01%","85.71%","1",".03%","14.29%","7",".01%"
"153
Wheeler County","27",".05%","93.10%","2",".05%","6.90%","29",".05%"
"154
White County","93",".18%","87.74%","13",".34%","12.26%","106",".20%"
"155
Whitfield County","725","1.44%","89.18%","88","2.32%","10.82%","813","1.50%"
"156
Wilcox County","46",".09%","95.83%","2",".05%","4.17%","48",".09%"
"157
Wilkes County","79",".16%","91.86%","7",".18%","8.14%","86",".16%"
"158
Wilkinson County","47",".09%","94.00%","3",".08%","6.00%","50",".09%"
"159
Worth County","125",".25%","91.24%","12",".32%","8.76%","137",".25%"
"Total Rported","50,359","100%","93.01%","3,787","100%","6.99%","54,146","100%"
