"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","102",".21%","93.58%","7",".19%","6.42%","109",".21%"
"Atkinson","38",".08%","92.68%","3",".08%","7.32%","41",".08%"
"Bacon","50",".10%","98.04%","1",".03%","1.96%","51",".10%"
"Baker","14",".03%","100.00%","","","","14",".03%"
"Baldwin
1 2 3 4 5 6 7 8 9","291",".59%","93.27%","21",".58%","6.73%","312",".59%"
"Banks","55",".11%","90.16%","6",".17%","9.84%","61",".12%"
"Barrow","259",".53%","93.17%","19",".52%","6.83%","278",".53%"
"Bartow","560","1.14%","88.47%","73","2.01%","11.53%","633","1.20%"
"Ben Hill","251",".51%","95.08%","13",".36%","4.92%","264",".50%"
"10
Berrien","78",".16%","93.98%","5",".14%","6.02%","83",".16%"
"11
Bibb","1,011","2.06%","95.02%","53","1.46%","4.98%","1,064","2.02%"
"12
Bleckley","74",".15%","92.50%","6",".17%","7.50%","80",".15%"
"13
Brantley","56",".11%","94.92%","3",".08%","5.08%","59",".11%"
"14
Brooks","54",".11%","96.43%","2",".06%","3.57%","56",".11%"
"15
Bryan","93",".19%","96.88%","3",".08%","3.13%","96",".18%"
"16
Bulloch","481",".98%","92.15%","41","1.13%","7.85%","522",".99%"
"17
Burke","197",".40%","95.17%","10",".28%","4.83%","207",".39%"
"18
Butts","162",".33%","97.01%","5",".14%","2.99%","167",".32%"
"19
Calhoun","45",".09%","91.84%","4",".11%","8.16%","49",".09%"
"20
Camden","161",".33%","92.53%","13",".36%","7.47%","174",".33%"
"21
Candler","91",".19%","86.67%","14",".39%","13.33%","105",".20%"
"22
Carroll","585","1.19%","89.18%","71","1.96%","10.82%","656","1.25%"
"23
Catoosa","299",".61%","90.88%","30",".83%","9.12%","329",".63%"
"24
Charlton","60",".12%","92.31%","5",".14%","7.69%","65",".12%"
"25
Chatham","2,426","4.95%","95.47%","115","3.17%","4.53%","2,541","4.83%"
"26
Chattahoochee","25",".05%","100.00%","","","","25",".05%"
"27
Chattooga","245",".50%","89.74%","28",".77%","10.26%","273",".52%"
"28
Cherokee","621","1.27%","91.06%","61","1.68%","8.94%","682","1.30%"
"29
Clarke","430",".88%","93.28%","31",".86%","6.72%","461",".88%"
"30
Clay","33",".07%","91.67%","3",".08%","8.33%","36",".07%"
"31
Clayton","1,524","3.11%","93.15%","112","3.09%","6.85%","1,636","3.11%"
"32
Clinch","67",".14%","94.37%","4",".11%","5.63%","71",".13%"
"33
Cobb","2,675","5.46%","90.28%","288","7.95%","9.72%","2,963","5.63%"
"34
Coffee","251",".51%","93.66%","17",".47%","6.34%","268",".51%"
"35
Colquitt","290",".59%","95.71%","13",".36%","4.29%","303",".58%"
"36
Columbia","285",".58%","94.06%","18",".50%","5.94%","303",".58%"
"37
Cook","129",".26%","94.85%","7",".19%","5.15%","136",".26%"
"38
Coweta","485",".99%","92.38%","40","1.10%","7.62%","525","1.00%"
