"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","545","1.03%","92.84%","42","1.09%","7.16%","587","1.04%"
"Crawford County","18",".03%","100.00%","","","","18",".03%"
"Crisp County","280",".53%","94.28%","17",".44%","5.72%","297",".52%"
"Dade County","114",".22%","89.76%","13",".34%","10.24%","127",".22%"
"Dawson County","120",".23%","90.23%","13",".34%","9.77%","133",".24%"
"Decatur County","337",".64%","91.83%","30",".78%","8.17%","367",".65%"
"Dekalb County","3,209","6.09%","95.08%","166","4.30%","4.92%","3,375","5.96%"
"Dodge County","156",".30%","93.98%","10",".26%","6.02%","166",".29%"
"Dooly County","91",".17%","93.81%","6",".16%","6.19%","97",".17%"
"Dougherty County","1,024","1.94%","94.64%","58","1.50%","5.36%","1,082","1.91%"
"Douglas County","1,338","2.54%","89.86%","151","3.91%","10.14%","1,489","2.63%"
"Early County","95",".18%","95.00%","5",".13%","5.00%","100",".18%"
"Echols County","11",".02%","91.67%","1",".03%","8.33%","12",".02%"
"Effingham County","204",".39%","93.15%","15",".39%","6.85%","219",".39%"
"Elbert County","134",".25%","93.71%","9",".23%","6.29%","143",".25%"
"Emanuel County","169",".32%","91.35%","16",".41%","8.65%","185",".33%"
"Evans County","100",".19%","96.15%","4",".10%","3.85%","104",".18%"
"Fannin County","103",".20%","88.79%","13",".34%","11.21%","116",".20%"
"Fayette County","402",".76%","88.94%","50","1.29%","11.06%","452",".80%"
"Floyd County","823","1.56%","88.88%","103","2.67%","11.12%","926","1.64%"
"Forsyth County","362",".69%","86.60%","56","1.45%","13.40%","418",".74%"
"Franklin County","141",".27%","94.00%","9",".23%","6.00%","150",".27%"
"Fulton County","5,050","9.58%","95.48%","239","6.19%","4.52%","5,289","9.35%"
"Gilmer County","125",".24%","94.70%","7",".18%","5.30%","132",".23%"
"Glascock County","7",".01%","87.50%","1",".03%","12.50%","8",".01%"
"Glynn County","454",".86%","94.78%","25",".65%","5.22%","479",".85%"
"Gordon County","342",".65%","88.60%","44","1.14%","11.40%","386",".68%"
"Grady County","236",".45%","94.02%","15",".39%","5.98%","251",".44%"
"Greene County","143",".27%","94.08%","9",".23%","5.92%","152",".27%"
"Gwinnett County","2,559","4.85%","92.15%","218","5.64%","7.85%","2,777","4.91%"
"Habersham County","106",".20%","96.36%","4",".10%","3.64%","110",".19%"
"Hall County","725","1.38%","91.66%","66","1.71%","8.34%","791","1.40%"
"Hancock County","38",".07%","97.44%","1",".03%","2.56%","39",".07%"
"Haralson County","95",".18%","94.06%","6",".16%","5.94%","101",".18%"
"Harris County","119",".23%","95.20%","6",".16%","4.80%","125",".22%"
"Hart County","131",".25%","96.32%","5",".13%","3.68%","136",".24%"
"Heard County","50",".09%","90.91%","5",".13%","9.09%","55",".10%"
"Henry County","614","1.16%","91.78%","55","1.42%","8.22%","669","1.18%"
