"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"135   Terrell County","48","0.1%","94.12%","3","0.07%","5.88%","51","0.1%"
"136   Thomas County","231","0.47%","96.65%","8","0.2%","3.35%","239","0.45%"
"137   Tift County","301","0.61%","95.56%","14","0.35%","4.44%","315","0.59%"
"138   Toombs County","291","0.59%","92.09%","25","0.62%","7.91%","316","0.59%"
"139   Towns County","55","0.11%","80.88%","13","0.32%","19.12%","68","0.13%"
"140   Treutlen County","61","0.12%","95.31%","3","0.07%","4.69%","64","0.12%"
"141   Troup County","592","1.2%","92.64%","47","1.16%","7.36%","639","1.2%"
"142   Turner County","61","0.12%","96.83%","2","0.05%","3.17%","63","0.12%"
"143   Twiggs County","34","0.07%","89.47%","4","0.1%","10.53%","38","0.07%"
"144   Union County","80","0.16%","86.96%","12","0.3%","13.04%","92","0.17%"
"145   Upson County","216","0.44%","92.31%","18","0.44%","7.69%","234","0.44%"
"146   Walker County","392","0.8%","91.16%","38","0.94%","8.84%","430","0.81%"
"147   Walton County","651","1.32%","91.18%","63","1.56%","8.82%","714","1.34%"
"148   Ware County","268","0.54%","89.04%","33","0.82%","10.96%","301","0.56%"
"149   Warren County","27","0.05%","93.1%","2","0.05%","6.9%","29","0.05%"
"150   Washington County","176","0.36%","94.12%","11","0.27%","5.88%","187","0.35%"
"151   Wayne County","177","0.36%","89.39%","21","0.52%","10.61%","198","0.37%"
"152   Webster County","16","0.03%","94.12%","1","0.02%","5.88%","17","0.03%"
"153   Wheeler County","23","0.05%","85.19%","4","0.1%","14.81%","27","0.05%"
"154   White County","95","0.19%","93.14%","7","0.17%","6.86%","102","0.19%"
"155   Whitfield County","772","1.57%","88.13%","104","2.57%","11.87%","876","1.64%"
"156   Wilcox County","65","0.13%","94.2%","4","0.1%","5.8%","69","0.13%"
"157   Wilkes County","60","0.12%","96.77%","2","0.05%","3.23%","62","0.12%"
"158   Wilkinson County","38","0.08%","97.44%","1","0.02%","2.56%","39","0.07%"
"159   Worth County","128","0.26%","92.09%","11","0.27%","7.91%","139","0.26%"
"Total Reported","49,298","100.00%","92.42%","4,046","100.00%","7.58%","53,344","100.00%"
