"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","495","1.00%","92.87%","38","1.09%","7.13%","533","1.01%"
"039
Crawford County","15",".03%","100.00%","","","","15",".03%"
"040
Crisp County","254",".51%","94.42%","15",".43%","5.58%","269",".51%"
"041
Dade County","99",".20%","94.29%","6",".17%","5.71%","105",".20%"
"042
Dawson County","94",".19%","92.16%","8",".23%","7.84%","102",".19%"
"043
Decatur County","298",".60%","93.71%","20",".58%","6.29%","318",".60%"
"044
Dekalb County","3,105","6.27%","95.25%","155","4.46%","4.75%","3,260","6.15%"
"045
Dodge County","147",".30%","94.84%","8",".23%","5.16%","155",".29%"
"046
Dooly County","98",".20%","95.15%","5",".14%","4.85%","103",".19%"
"047
Dougherty County","1,001","2.02%","93.64%","68","1.96%","6.36%","1,069","2.02%"
"048
Douglas County","1,222","2.47%","90.38%","130","3.74%","9.62%","1,352","2.55%"
"049
Early County","91",".18%","96.81%","3",".09%","3.19%","94",".18%"
"050
Echols County","11",".02%","100.00%","","","","11",".02%"
"051
Effingham County","197",".40%","93.36%","14",".40%","6.64%","211",".40%"
"052
Elbert County","142",".29%","95.30%","7",".20%","4.70%","149",".28%"
"053
Emanuel County","175",".35%","91.62%","16",".46%","8.38%","191",".36%"
"054
Evans County","93",".19%","94.90%","5",".14%","5.10%","98",".18%"
"055
Fannin County","90",".18%","87.38%","13",".37%","12.62%","103",".19%"
"056
Fayette County","334",".67%","89.30%","40","1.15%","10.70%","374",".71%"
"057
Floyd County","802","1.62%","89.81%","91","2.62%","10.19%","893","1.68%"
"058
Forsyth County","341",".69%","88.80%","43","1.24%","11.20%","384",".72%"
"059
Franklin County","139",".28%","91.45%","13",".37%","8.55%","152",".29%"
"060
Fulton County","4,835","9.76%","95.72%","216","6.21%","4.28%","5,051","9.53%"
"061
Gilmer County","104",".21%","92.86%","8",".23%","7.14%","112",".21%"
"062
Glascock County","6",".01%","85.71%","1",".03%","14.29%","7",".01%"
"063
Glynn County","496","1.00%","94.66%","28",".81%","5.34%","524",".99%"
"064
Gordon County","358",".72%","86.89%","54","1.55%","13.11%","412",".78%"
"065
Grady County","200",".40%","95.24%","10",".29%","4.76%","210",".40%"
"066
Greene County","120",".24%","91.60%","11",".32%","8.40%","131",".25%"
"067
Gwinnett County","2,414","4.87%","93.49%","168","4.83%","6.51%","2,582","4.87%"
"068
Habersham County","101",".20%","96.19%","4",".12%","3.81%","105",".20%"
"069
Hall County","694","1.40%","90.96%","69","1.99%","9.04%","763","1.44%"
"070
Hancock County","39",".08%","95.12%","2",".06%","4.88%","41",".08%"
"071
Haralson County","152",".31%","91.02%","15",".43%","8.98%","167",".32%"
"072
Harris County","102",".21%","94.44%","6",".17%","5.56%","108",".20%"
"073
Hart County","152",".31%","93.83%","10",".29%","6.17%","162",".31%"
"074
Heard County","47",".09%","87.04%","7",".20%","12.96%","54",".10%"
"075
Henry County","517","1.04%","91.50%","48","1.38%","8.50%","565","1.07%"
