"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","100",".20%","93.46%","7",".19%","6.54%","107",".20%"
"Atkinson","39",".08%","92.86%","3",".08%","7.14%","42",".08%"
"Bacon","48",".10%","96.00%","2",".05%","4.00%","50",".10%"
"Baker","11",".02%","91.67%","1",".03%","8.33%","12",".02%"
"Baldwin
1 2 3 4 5 6 7 8 9","299",".61%","92.28%","25",".66%","7.72%","324",".62%"
"Banks","58",".12%","90.63%","6",".16%","9.38%","64",".12%"
"Barrow","255",".52%","92.73%","20",".53%","7.27%","275",".52%"
"Bartow","573","1.17%","88.70%","73","1.93%","11.30%","646","1.23%"
"Ben Hill","250",".51%","94.70%","14",".37%","5.30%","264",".50%"
"Berrien","86",".18%","94.51%","5",".13%","5.49%","91",".17%"
"Bibb","1,021","2.09%","95.07%","53","1.40%","4.93%","1,074","2.04%"
"Bleckley","77",".16%","91.67%","7",".19%","8.33%","84",".16%"
"Brantley","53",".11%","94.64%","3",".08%","5.36%","56",".11%"
"Brooks","56",".11%","94.92%","3",".08%","5.08%","59",".11%"
"Bryan","87",".18%","93.55%","6",".16%","6.45%","93",".18%"
"Bulloch","471",".96%","92.17%","40","1.06%","7.83%","511",".97%"
"Burke","198",".41%","95.65%","9",".24%","4.35%","207",".39%"
"Butts","171",".35%","97.16%","5",".13%","2.84%","176",".33%"
"Calhoun","40",".08%","90.91%","4",".11%","9.09%","44",".08%"
"Camden","155",".32%","91.72%","14",".37%","8.28%","169",".32%"
"Candler","93",".19%","87.74%","13",".34%","12.26%","106",".20%"
"Carroll","591","1.21%","89.41%","70","1.85%","10.59%","661","1.26%"
"Catoosa","302",".62%","91.52%","28",".74%","8.48%","330",".63%"
"Charlton","57",".12%","93.44%","4",".11%","6.56%","61",".12%"
"Chatham","2,443","5.00%","95.39%","118","3.12%","4.61%","2,561","4.87%"
"Chattahoochee","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"Chattooga","251",".51%","90.61%","26",".69%","9.39%","277",".53%"
"Cherokee","607","1.24%","89.53%","71","1.88%","10.47%","678","1.29%"
"Clarke","407",".83%","92.92%","31",".82%","7.08%","438",".83%"
"Clay","31",".06%","88.57%","4",".11%","11.43%","35",".07%"
"Clayton","1,489","3.05%","92.26%","125","3.31%","7.74%","1,614","3.07%"
"Clinch","60",".12%","93.75%","4",".11%","6.25%","64",".12%"
"Cobb","2,756","5.64%","90.15%","301","7.96%","9.85%","3,057","5.81%"
"Coffee","262",".54%","93.57%","18",".48%","6.43%","280",".53%"
"Colquitt","279",".57%","95.22%","14",".37%","4.78%","293",".56%"
"Columbia","288",".59%","94.74%","16",".42%","5.26%","304",".58%"
"Cook","127",".26%","94.78%","7",".19%","5.22%","134",".25%"
"Coweta","476",".97%","91.36%","45","1.19%","8.64%","521",".99%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Crawford","20",".04%","95.24%","1",".03%","4.76%","21",".04%"
"Crisp","287",".59%","92.88%","22",".58%","7.12%","309",".59%"
"Dade","118",".24%","97.52%","3",".08%","2.48%","121",".23%"
"Dawson","118",".24%","91.47%","11",".29%","8.53%","129",".25%"
"Decatur","345",".71%","92.00%","30",".79%","8.00%","375",".71%"
"Dekalb","2,926","5.99%","94.60%","167","4.42%","5.40%","3,093","5.88%"
"Dodge","141",".29%","90.97%","14",".37%","9.03%","155",".29%"
"Dooly","96",".20%","94.12%","6",".16%","5.88%","102",".19%"
"Dougherty","954","1.95%","94.46%","56","1.48%","5.54%","1,010","1.92%"
"Douglas","1,171","2.40%","88.98%","145","3.84%","11.02%","1,316","2.50%"
"Early","85",".17%","95.51%","4",".11%","4.49%","89",".17%"
"Echols","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"Effingham","159",".33%","92.44%","13",".34%","7.56%","172",".33%"
"Elbert","143",".29%","95.33%","7",".19%","4.67%","150",".29%"
"Emanuel","173",".35%","96.11%","7",".19%","3.89%","180",".34%"
"Evans","96",".20%","95.05%","5",".13%","4.95%","101",".19%"
"Fannin","103",".21%","92.79%","8",".21%","7.21%","111",".21%"
"Fayette","336",".69%","92.05%","29",".77%","7.95%","365",".69%"
