"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","592","1.29%","94.72%","33",".94%","5.28%","625","1.26%"
"039
Crawford County","19",".04%","100.00%","","","","19",".04%"
"040
Crisp County","367",".80%","93.38%","26",".74%","6.62%","393",".80%"
"041
Dade County","81",".18%","88.04%","11",".31%","11.96%","92",".19%"
"042
Dawson County","122",".27%","88.41%","16",".46%","11.59%","138",".28%"
"043
Decatur County","276",".60%","91.39%","26",".74%","8.61%","302",".61%"
"044
Dekalb County","2,348","5.11%","95.52%","110","3.13%","4.48%","2,458","4.97%"
"045
Dodge County","142",".31%","89.31%","17",".48%","10.69%","159",".32%"
"046
Dooly County","136",".30%","88.31%","18",".51%","11.69%","154",".31%"
"047
Dougherty County","749","1.63%","95.66%","34",".97%","4.34%","783","1.58%"
"048
Douglas County","858","1.87%","90.89%","86","2.45%","9.11%","944","1.91%"
"049
Early County","82",".18%","97.62%","2",".06%","2.38%","84",".17%"
"050
Echols County","9",".02%","69.23%","4",".11%","30.77%","13",".03%"
"051
Effingham County","331",".72%","89.95%","37","1.05%","10.05%","368",".74%"
"052
Elbert County","126",".27%","93.33%","9",".26%","6.67%","135",".27%"
"053
Emanuel County","186",".41%","92.08%","16",".46%","7.92%","202",".41%"
"054
Evans County","70",".15%","90.91%","7",".20%","9.09%","77",".16%"
"055
Fannin County","103",".22%","91.15%","10",".28%","8.85%","113",".23%"
"056
Fayette County","332",".72%","89.25%","40","1.14%","10.75%","372",".75%"
"057
Floyd County","823","1.79%","89.75%","94","2.67%","10.25%","917","1.86%"
"058
Forsyth County","373",".81%","89.88%","42","1.19%","10.12%","415",".84%"
"059
Franklin County","157",".34%","84.86%","28",".80%","15.14%","185",".37%"
"060
Fulton County","4,157","9.05%","96.23%","163","4.64%","3.77%","4,320","8.74%"
"061
Gilmer County","96",".21%","89.72%","11",".31%","10.28%","107",".22%"
"062
Glascock County","14",".03%","100.00%","","","","14",".03%"
"063
Glynn County","505","1.10%","94.04%","32",".91%","5.96%","537","1.09%"
"064
Gordon County","355",".77%","85.75%","59","1.68%","14.25%","414",".84%"
"065
Grady County","177",".39%","94.15%","11",".31%","5.85%","188",".38%"
"066
Greene County","110",".24%","90.91%","11",".31%","9.09%","121",".24%"
"067
Gwinnett County","2,324","5.06%","93.67%","157","4.47%","6.33%","2,481","5.02%"
"068
Habersham County","127",".28%","88.19%","17",".48%","11.81%","144",".29%"
"069
Hall County","651","1.42%","91.56%","60","1.71%","8.44%","711","1.44%"
"070
Hancock County","40",".09%","95.24%","2",".06%","4.76%","42",".08%"
"071
Haralson County","179",".39%","93.23%","13",".37%","6.77%","192",".39%"
"072
Harris County","85",".19%","97.70%","2",".06%","2.30%","87",".18%"
"073
Hart County","170",".37%","91.40%","16",".46%","8.60%","186",".38%"
"074
Heard County","45",".10%","90.00%","5",".14%","10.00%","50",".10%"
"075
Henry County","710","1.55%","93.18%","52","1.48%","6.82%","762","1.54%"
