"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","82",".17%","92.13%","7",".21%","7.87%","89",".17%"
"Atkinson","40",".08%","93.02%","3",".09%","6.98%","43",".08%"
"Bacon","62",".13%","98.41%","1",".03%","1.59%","63",".12%"
"Baker","11",".02%","100.00%","","","","11",".02%"
"Baldwin
1 2 3 4 5 6 7 8 9 1","337",".71%","94.13%","21",".62%","5.87%","358",".70%"
"Banks","77",".16%","90.59%","8",".24%","9.41%","85",".17%"
"Barrow","255",".53%","94.80%","14",".41%","5.20%","269",".53%"
"Bartow","560","1.17%","90.03%","62","1.84%","9.97%","622","1.22%"
"Ben Hill","242",".51%","92.72%","19",".56%","7.28%","261",".51%"
"Berrien","86",".18%","89.58%","10",".30%","10.42%","96",".19%"
"Bibb","1,002","2.10%","95.07%","52","1.54%","4.93%","1,054","2.06%"
"Bleckley","95",".20%","90.48%","10",".30%","9.52%","105",".21%"
"Brantley","51",".11%","91.07%","5",".15%","8.93%","56",".11%"
"Brooks","71",".15%","98.61%","1",".03%","1.39%","72",".14%"
"Bryan","95",".20%","95.00%","5",".15%","5.00%","100",".20%"
"Bulloch","469",".98%","94.75%","26",".77%","5.25%","495",".97%"
"Burke","204",".43%","95.33%","10",".30%","4.67%","214",".42%"
"Butts","150",".31%","95.54%","7",".21%","4.46%","157",".31%"
"Calhoun","45",".09%","91.84%","4",".12%","8.16%","49",".10%"
"Camden","144",".30%","94.12%","9",".27%","5.88%","153",".30%"
"Candler","90",".19%","95.74%","4",".12%","4.26%","94",".18%"
"Carroll","561","1.18%","90.78%","57","1.69%","9.22%","618","1.21%"
"Catoosa","267",".56%","91.44%","25",".74%","8.56%","292",".57%"
"Charlton","63",".13%","96.92%","2",".06%","3.08%","65",".13%"
"Chatham","2,295","4.81%","94.48%","134","3.97%","5.52%","2,429","4.75%"
"Chattahoochee","21",".04%","95.45%","1",".03%","4.55%","22",".04%"
"Chattooga","231",".48%","89.88%","26",".77%","10.12%","257",".50%"
"Cherokee","517","1.08%","90.38%","55","1.63%","9.62%","572","1.12%"
"Clarke","458",".96%","95.02%","24",".71%","4.98%","482",".94%"
"Clay","22",".05%","91.67%","2",".06%","8.33%","24",".05%"
"Clayton","1,542","3.23%","92.89%","118","3.50%","7.11%","1,660","3.25%"
"Clinch","48",".10%","97.96%","1",".03%","2.04%","49",".10%"
"Cobb","2,598","5.45%","91.25%","249","7.38%","8.75%","2,847","5.57%"
"Coffee","215",".45%","91.88%","19",".56%","8.12%","234",".46%"
"Colquitt","303",".64%","95.58%","14",".41%","4.42%","317",".62%"
"Columbia","284",".60%","91.61%","26",".77%","8.39%","310",".61%"
"Cook","129",".27%","92.14%","11",".33%","7.86%","140",".27%"
"Coweta","541","1.13%","91.69%","49","1.45%","8.31%","590","1.15%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Crawford","22",".05%","84.62%","4",".12%","15.38%","26",".05%"
"Crisp","273",".57%","92.86%","21",".62%","7.14%","294",".58%"
"Dade","145",".30%","93.55%","10",".30%","6.45%","155",".30%"
"Dawson","83",".17%","89.25%","10",".30%","10.75%","93",".18%"
"Decatur","292",".61%","92.99%","22",".65%","7.01%","314",".61%"
"Dekalb","2,912","6.10%","94.98%","154","4.56%","5.02%","3,066","6.00%"
"Dodge","167",".35%","94.35%","10",".30%","5.65%","177",".35%"
"Dooly","104",".22%","95.41%","5",".15%","4.59%","109",".21%"
"Dougherty","981","2.06%","94.06%","62","1.84%","5.94%","1,043","2.04%"
"Douglas","1,087","2.28%","89.98%","121","3.58%","10.02%","1,208","2.36%"
"Early","74",".16%","100.00%","","","","74",".14%"
"Echols","11",".02%","100.00%","","","","11",".02%"
"Effingham","153",".32%","91.62%","14",".41%","8.38%","167",".33%"
"Elbert","144",".30%","92.90%","11",".33%","7.10%","155",".30%"
"Emanuel","143",".30%","94.08%","9",".27%","5.92%","152",".30%"
"Evans","86",".18%","97.73%","2",".06%","2.27%","88",".17%"
"Fannin","99",".21%","94.29%","6",".18%","5.71%","105",".21%"
"Fayette","275",".58%","90.76%","28",".83%","9.24%","303",".59%"
"Floyd","815","1.71%","90.86%","82","2.43%","9.14%","897","1.76%"
"Forsyth","285",".60%","89.91%","32",".95%","10.09%","317",".62%"
"Franklin","140",".29%","91.50%","13",".39%","8.50%","153",".30%"
"Fulton","4,180","8.76%","96.51%","151","4.47%","3.49%","4,331","8.48%"
"Gilmer","113",".24%","91.87%","10",".30%","8.13%","123",".24%"
"Glascock","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Glynn","440",".92%","95.86%","19",".56%","4.14%","459",".90%"
"Gordon","293",".61%","90.43%","31",".92%","9.57%","324",".63%"
"Grady","224",".47%","94.51%","13",".39%","5.49%","237",".46%"
"Greene","104",".22%","93.69%","7",".21%","6.31%","111",".22%"
"Gwinnett","1,666","3.49%","92.40%","137","4.06%","7.60%","1,803","3.53%"
"Habersham","119",".25%","92.25%","10",".30%","7.75%","129",".25%"
"Hall","768","1.61%","92.31%","64","1.90%","7.69%","832","1.63%"
"Hancock","33",".07%","94.29%","2",".06%","5.71%","35",".07%"
"Haralson","84",".18%","94.38%","5",".15%","5.62%","89",".17%"
"Harris","111",".23%","96.52%","4",".12%","3.48%","115",".23%"
"Hart","115",".24%","95.04%","6",".18%","4.96%","121",".24%"
"Heard","59",".12%","89.39%","7",".21%","10.61%","66",".13%"
"Henry","539","1.13%","90.59%","56","1.66%","9.41%","595","1.16%"
"Houston","575","1.21%","92.44%","47","1.39%","7.56%","622","1.22%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Irwin","70",".15%","97.22%","2",".06%","2.78%","72",".14%"
"Jackson","207",".43%","92.83%","16",".47%","7.17%","223",".44%"
"Jasper","56",".12%","94.92%","3",".09%","5.08%","59",".12%"
"Jeff Davis","65",".14%","94.20%","4",".12%","5.80%","69",".14%"
"Jefferson","103",".22%","96.26%","4",".12%","3.74%","107",".21%"
"Jenkins","72",".15%","93.51%","5",".15%","6.49%","77",".15%"
"Johnson","59",".12%","95.16%","3",".09%","4.84%","62",".12%"
"Jones","131",".27%","94.24%","8",".24%","5.76%","139",".27%"
"Lamar","83",".17%","92.22%","7",".21%","7.78%","90",".18%"
"Lanier","40",".08%","90.91%","4",".12%","9.09%","44",".09%"
"Laurens","299",".63%","92.86%","23",".68%","7.14%","322",".63%"
"Lee","68",".14%","97.14%","2",".06%","2.86%","70",".14%"
"Liberty","257",".54%","94.49%","15",".44%","5.51%","272",".53%"
"Lincoln","39",".08%","100.00%","","","","39",".08%"
"Long","85",".18%","96.59%","3",".09%","3.41%","88",".17%"
"Lowndes","604","1.27%","95.27%","30",".89%","4.73%","634","1.24%"
"Lumpkin","92",".19%","92.00%","8",".24%","8.00%","100",".20%"
"Macon","70",".15%","94.59%","4",".12%","5.41%","74",".14%"
"Madison","141",".30%","94.63%","8",".24%","5.37%","149",".29%"
"Marion","57",".12%","93.44%","4",".12%","6.56%","61",".12%"
"Mcduffie","197",".41%","95.17%","10",".30%","4.83%","207",".41%"
"Mcintosh","68",".14%","97.14%","2",".06%","2.86%","70",".14%"
"Meriwether","188",".39%","94.47%","11",".33%","5.53%","199",".39%"
"Miller","34",".07%","97.14%","1",".03%","2.86%","35",".07%"
"Mitchell","172",".36%","91.49%","16",".47%","8.51%","188",".37%"
"Monroe","181",".38%","92.82%","14",".41%","7.18%","195",".38%"
"Montgomery","46",".10%","97.87%","1",".03%","2.13%","47",".09%"
"Morgan","84",".18%","91.30%","8",".24%","8.70%","92",".18%"
"Murray","258",".54%","92.14%","22",".65%","7.86%","280",".55%"
"Muscogee","1,760","3.69%","93.92%","114","3.38%","6.08%","1,874","3.67%"
"Newton","526","1.10%","92.12%","45","1.33%","7.88%","571","1.12%"
"Oconee","54",".11%","96.43%","2",".06%","3.57%","56",".11%"
"Oglethorpe","54",".11%","93.10%","4",".12%","6.90%","58",".11%"
"Paulding","215",".45%","93.48%","15",".44%","6.52%","230",".45%"
"Peach","91",".19%","98.91%","1",".03%","1.09%","92",".18%"
"Pickens","81",".17%","93.10%","6",".18%","6.90%","87",".17%"
"Pierce","55",".12%","98.21%","1",".03%","1.79%","56",".11%"
"Pike","47",".10%","94.00%","3",".09%","6.00%","50",".10%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Polk","132",".28%","94.29%","8",".24%","5.71%","140",".27%"
"Pulaski","67",".14%","85.90%","11",".33%","14.10%","78",".15%"
