"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","9",".02%","100.00%","","","","9",".02%"
"153
Wheeler County","34",".07%","97.14%","1",".03%","2.86%","35",".06%"
"154
White County","113",".22%","89.68%","13",".34%","10.32%","126",".23%"
"155
Whitfield County","599","1.15%","90.35%","64","1.69%","9.65%","663","1.19%"
"156
Wilcox County","46",".09%","88.46%","6",".16%","11.54%","52",".09%"
"157
Wilkes County","66",".13%","95.65%","3",".08%","4.35%","69",".12%"
"158
Wilkinson County","47",".09%","92.16%","4",".11%","7.84%","51",".09%"
"159
Worth County","114",".22%","95.00%","6",".16%","5.00%","120",".22%"
"Total Rported","51,971","100%","93.23%","3,776","100%","6.77%","55,747","100%"
