"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","523","1.04%","93.23%","38","1.07%","6.77%","561","1.04%"
"039
Crawford County","16",".03%","100.00%","","","","16",".03%"
"040
Crisp County","262",".52%","94.93%","14",".39%","5.07%","276",".51%"
"041
Dade County","105",".21%","93.75%","7",".20%","6.25%","112",".21%"
"042
Dawson County","98",".20%","93.33%","7",".20%","6.67%","105",".20%"
"043
Decatur County","296",".59%","93.67%","20",".56%","6.33%","316",".59%"
"044
Dekalb County","3,144","6.26%","95.53%","147","4.14%","4.47%","3,291","6.12%"
"045
Dodge County","150",".30%","93.17%","11",".31%","6.83%","161",".30%"
"046
Dooly County","95",".19%","94.06%","6",".17%","5.94%","101",".19%"
"047
Dougherty County","1,007","2.01%","93.76%","67","1.89%","6.24%","1,074","2.00%"
"048
Douglas County","1,238","2.47%","90.10%","136","3.83%","9.90%","1,374","2.56%"
"049
Early County","95",".19%","95.96%","4",".11%","4.04%","99",".18%"
"050
Echols County","12",".02%","100.00%","","","","12",".02%"
"051
Effingham County","204",".41%","93.58%","14",".39%","6.42%","218",".41%"
"052
Elbert County","147",".29%","94.23%","9",".25%","5.77%","156",".29%"
"053
Emanuel County","173",".34%","91.53%","16",".45%","8.47%","189",".35%"
"054
Evans County","89",".18%","94.68%","5",".14%","5.32%","94",".17%"
"055
Fannin County","93",".19%","86.92%","14",".39%","13.08%","107",".20%"
"056
Fayette County","355",".71%","89.65%","41","1.15%","10.35%","396",".74%"
"057
Floyd County","821","1.64%","89.73%","94","2.65%","10.27%","915","1.70%"
"058
Forsyth County","345",".69%","88.69%","44","1.24%","11.31%","389",".72%"
"059
Franklin County","143",".28%","90.51%","15",".42%","9.49%","158",".29%"
"060
Fulton County","4,900","9.76%","95.80%","215","6.05%","4.20%","5,115","9.52%"
"061
Gilmer County","110",".22%","94.02%","7",".20%","5.98%","117",".22%"
"062
Glascock County","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"063
Glynn County","499",".99%","95.05%","26",".73%","4.95%","525",".98%"
"064
Gordon County","342",".68%","87.69%","48","1.35%","12.31%","390",".73%"
"065
Grady County","221",".44%","94.85%","12",".34%","5.15%","233",".43%"
"066
Greene County","123",".25%","93.18%","9",".25%","6.82%","132",".25%"
"067
Gwinnett County","2,415","4.81%","93.14%","178","5.01%","6.86%","2,593","4.83%"
"068
Habersham County","102",".20%","96.23%","4",".11%","3.77%","106",".20%"
"069
Hall County","693","1.38%","90.71%","71","2.00%","9.29%","764","1.42%"
"070
Hancock County","39",".08%","97.50%","1",".03%","2.50%","40",".07%"
"071
Haralson County","134",".27%","92.41%","11",".31%","7.59%","145",".27%"
"072
Harris County","103",".21%","94.50%","6",".17%","5.50%","109",".20%"
"073
Hart County","141",".28%","92.16%","12",".34%","7.84%","153",".28%"
"074
Heard County","48",".10%","87.27%","7",".20%","12.73%","55",".10%"
"075
Henry County","531","1.06%","91.08%","52","1.46%","8.92%","583","1.08%"
