"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","249",".47%","93.26%","18",".46%","6.74%","267",".47%"
"Appling County","97",".18%","95.10%","5",".13%","4.90%","102",".18%"
"Atkinson County","56",".10%","93.33%","4",".10%","6.67%","60",".10%"
"Bacon County","69",".13%","94.52%","4",".10%","5.48%","73",".13%"
"Baker County","15",".03%","100.00%","","","","15",".03%"
"Baldwin County","340",".64%","94.71%","19",".49%","5.29%","359",".63%"
"Banks County","63",".12%","95.45%","3",".08%","4.55%","66",".12%"
"Barrow County","267",".50%","91.44%","25",".65%","8.56%","292",".51%"
"Bartow County","699","1.31%","88.15%","94","2.43%","11.85%","793","1.39%"
"Ben Hill County","225",".42%","94.54%","13",".34%","5.46%","238",".42%"
"Berrien County","98",".18%","91.59%","9",".23%","8.41%","107",".19%"
"Bibb County","1,117","2.09%","95.06%","58","1.50%","4.94%","1,175","2.05%"
"Bleckley County","76",".14%","90.48%","8",".21%","9.52%","84",".15%"
"Brantley County","63",".12%","90.00%","7",".18%","10.00%","70",".12%"
"Brooks County","69",".13%","95.83%","3",".08%","4.17%","72",".13%"
"Bryan County","124",".23%","99.20%","1",".03%",".80%","125",".22%"
"Bulloch County","542","1.02%","92.18%","46","1.19%","7.82%","588","1.03%"
"Burke County","230",".43%","96.64%","8",".21%","3.36%","238",".42%"
"Butts County","177",".33%","97.79%","4",".10%","2.21%","181",".32%"
"Calhoun County","40",".07%","83.33%","8",".21%","16.67%","48",".08%"
"Camden County","159",".30%","92.44%","13",".34%","7.56%","172",".30%"
"Candler County","129",".24%","91.49%","12",".31%","8.51%","141",".25%"
"Carroll County","634","1.19%","90.44%","67","1.73%","9.56%","701","1.22%"
"Catoosa County","361",".68%","88.92%","45","1.16%","11.08%","406",".71%"
"Charlton County","55",".10%","93.22%","4",".10%","6.78%","59",".10%"
"Chatham County","2,361","4.42%","96.05%","97","2.51%","3.95%","2,458","4.29%"
"Chattahoochee County","35",".07%","92.11%","3",".08%","7.89%","38",".07%"
"Chattooga County","258",".48%","87.76%","36",".93%","12.24%","294",".51%"
"Cherokee County","563","1.05%","93.68%","38",".98%","6.32%","601","1.05%"
"Clarke County","468",".88%","95.32%","23",".59%","4.68%","491",".86%"
"Clay County","36",".07%","92.31%","3",".08%","7.69%","39",".07%"
"Clayton County","1,604","3.01%","93.64%","109","2.82%","6.36%","1,713","2.99%"
"Clinch County","68",".13%","98.55%","1",".03%","1.45%","69",".12%"
"Cobb County","2,709","5.08%","91.18%","262","6.77%","8.82%","2,971","5.19%"
"Coffee County","267",".50%","93.36%","19",".49%","6.64%","286",".50%"
"Colquitt County","276",".52%","94.52%","16",".41%","5.48%","292",".51%"
"Columbia County","370",".69%","91.81%","33",".85%","8.19%","403",".70%"
"Cook County","138",".26%","95.17%","7",".18%","4.83%","145",".25%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","556","1.04%","92.21%","47","1.21%","7.79%","603","1.05%"
"Crawford County","18",".03%","100.00%","","","","18",".03%"
"Crisp County","287",".54%","93.79%","19",".49%","6.21%","306",".53%"
"Dade County","123",".23%","92.48%","10",".26%","7.52%","133",".23%"
"Dawson County","123",".23%","91.79%","11",".28%","8.21%","134",".23%"
"Decatur County","336",".63%","91.80%","30",".77%","8.20%","366",".64%"
"Dekalb County","3,292","6.17%","95.17%","167","4.31%","4.83%","3,459","6.04%"
"Dodge County","162",".30%","95.86%","7",".18%","4.14%","169",".30%"
"Dooly County","93",".17%","94.90%","5",".13%","5.10%","98",".17%"
"Dougherty County","1,052","1.97%","94.60%","60","1.55%","5.40%","1,112","1.94%"
"Douglas County","1,334","2.50%","89.47%","157","4.06%","10.53%","1,491","2.60%"
"Early County","97",".18%","95.10%","5",".13%","4.90%","102",".18%"
"Echols County","10",".02%","90.91%","1",".03%","9.09%","11",".02%"
"Effingham County","207",".39%","94.09%","13",".34%","5.91%","220",".38%"
"Elbert County","135",".25%","93.75%","9",".23%","6.25%","144",".25%"
"Emanuel County","163",".31%","91.57%","15",".39%","8.43%","178",".31%"
"Evans County","101",".19%","98.06%","2",".05%","1.94%","103",".18%"
"Fannin County","100",".19%","89.29%","12",".31%","10.71%","112",".20%"
"Fayette County","424",".79%","89.83%","48","1.24%","10.17%","472",".82%"
"Floyd County","820","1.54%","89.91%","92","2.38%","10.09%","912","1.59%"
"Forsyth County","361",".68%","87.41%","52","1.34%","12.59%","413",".72%"
"Franklin County","132",".25%","93.62%","9",".23%","6.38%","141",".25%"
"Fulton County","5,085","9.53%","95.64%","232","5.99%","4.36%","5,317","9.29%"
"Gilmer County","126",".24%","94.74%","7",".18%","5.26%","133",".23%"
"Glascock County","10",".02%","90.91%","1",".03%","9.09%","11",".02%"
"Glynn County","432",".81%","94.95%","23",".59%","5.05%","455",".79%"
"Gordon County","347",".65%","88.30%","46","1.19%","11.70%","393",".69%"
"Grady County","238",".45%","94.44%","14",".36%","5.56%","252",".44%"
"Greene County","146",".27%","93.59%","10",".26%","6.41%","156",".27%"
"Gwinnett County","2,517","4.72%","93.02%","189","4.88%","6.98%","2,706","4.73%"
"Habersham County","110",".21%","95.65%","5",".13%","4.35%","115",".20%"
"Hall County","753","1.41%","91.38%","71","1.83%","8.62%","824","1.44%"
"Hancock County","38",".07%","97.44%","1",".03%","2.56%","39",".07%"
"Haralson County","94",".18%","94.00%","6",".15%","6.00%","100",".17%"
"Harris County","123",".23%","95.35%","6",".15%","4.65%","129",".23%"
"Hart County","122",".23%","96.06%","5",".13%","3.94%","127",".22%"
"Heard County","53",".10%","89.83%","6",".15%","10.17%","59",".10%"
"Henry County","620","1.16%","91.58%","57","1.47%","8.42%","677","1.18%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
